ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM	REPLACEMENT ID	NOTE	REFERENCE	CONFIDENCE SCORE
RXN3O-9783	alpha-D-mannosyl-[protein] alpha-1,2 mannosyltransferase	GDP-alpha-D-mannose[s] + O-D-MANNOSYL-PROTEIN[s] => GDP[s] + Man-12-Man-Proteins[s] + H+[s]	ec-code/2.4.1	jgi|Cocim1|2177|CIMG_00718T0 or jgi|Cocim1|3844|CIMG_06472T0 or jgi|Cocim1|8174|CIMG_09228T0	0	1000				protein O-mannosylation I (yeast)				2
RXN3O-9782	ergosteryl-beta-D-glucosidase	ergosterol 3-O-beta-D-glucoside[s] + H2O[s] => ergosterol[s] + Glucopyranose[s]	ec-code/3.2.1.104	jgi|Cocim1|5873|CIMG_07690T0	0	1000								2
RXN3O-75	5-demethoxyubiquinol hydroxylase	6-methoxy-3-methyl-2-all-trans-hexaprenyl-1,4-benzoquinol[s] + Donor-H2[s] + oxygen[s] => 3-demethylubiquinol-6[s] + Acceptor[s] + H2O[s]	ec-code/1.14.99.60	jgi|Cocim1|7366|CIMG_05595T0	0	1000				ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast);ubiquinol-6 bypass biosynthesis (eukaryotic)				2
RXN3O-663	inositol phosphorylceramide mannosyltransferase	GDP-alpha-D-mannose[s] + IPC[s] => GDP[s] + MIPC[s] + H+[s]	ec-code/2.4.1	jgi|Cocim1|151|CIMG_02806T0	0	1000				sphingolipid biosynthesis (yeast)				2
RXN3O-581	inositol phosphorylceramide synthase	Alpha-hydroxyphytoceramides[s] + L-1-phosphatidyl-inositols[s] => DIACYLGLYCEROL[s] + IPC[s]	ec-code/2.7.1	jgi|Cocim1|9593|CIMG_03953T0	0	1000				sphingolipid biosynthesis (yeast)				2
RXN3O-58	3-hexaprenyl-4-hydroxybenzoate monooxygenase	3-hexaprenyl-4-hydroxybenzoate[s] + oxygen[s] + 2 H+[s] + 2 Reduced-ferredoxins[s] => 3,4-dihydroxy-5-all-trans-hexaprenylbenzoate[s] + 2 Oxidized-ferredoxins[s] + H2O[s]	ec-code/1.14.15.M7	jgi|Cocim1|2273|CIMG_00622T0	0	1000				ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);superpathway of ubiquinol-6 biosynthesis (eukaryotic)				2
RXN3O-54	2-hexaprenyl-6-methoxy-1,4-benzoquinol C-methyltransferase	2-methoxy-6-all trans-hexaprenyl-1,4-benzoquinol[s] + S-ADENOSYLMETHIONINE[s] => 6-methoxy-3-methyl-2-all-trans-hexaprenyl-1,4-benzoquinol[s] + S-adenosyl-L-homocysteine[s] + H+[s]	ec-code/2.1.1.201	jgi|Cocim1|1542|CIMG_01356T0	0	1000			kegg.reaction/R04990;rhea/28286	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast);ubiquinol-6 bypass biosynthesis (eukaryotic)				2
RXN-16089	peramine synthetase	L-arginine[s] + 2 ATP[s] + (S)-1-pyrroline-5-carboxylate[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + 2 AMP[s] + peramine[s] + 2 diphosphate[s] + 2 H+[s] + H2O[s]	ec-code/6.3.2	jgi|Cocim1|1464|CIMG_01429T0	0	1000				peramine biosynthesis			pubmed/16091042	2
RXN-16088	andilesin D reductase	andilesin D[s] + Donor-H2[s] => Acceptor[s] + andilesin A[s]	ec-code/1.1.99	jgi|Cocim1|6512|CIMG_11375T0	0	1000				anditomin biosynthesis			pubmed/25216349	2
RXN3O-470	acetoin synthase	2 acetaldehyde[s] => ACETOIN[s]		jgi|Cocim1|9060|CIMG_03414T0 or jgi|Cocim1|9438|CIMG_03789T0	0	1000				pyruvate fermentation to acetoin III				2
RXN-16087	andiconin monooxygenase	andiconin[s] + NADPH[s] + oxygen[s] + H+[s] => andilesin D[s] + NADP+[s] + H2O[s]	ec-code/1.14.13	jgi|Cocim1|1026|CIMG_01870T0	0	1000				anditomin biosynthesis			pubmed/25216349	2
KYNURENINASE-RXN	kynureninase;kynurenine hydrolase	L-kynurenine[s] + H2O[s] => anthranilate[s] + L-alanine[s] + H+[s]	ec-code/3.7.1.3	jgi|Cocim1|6190|CIMG_04357T0	0	1000			rhea/16814;kegg.reaction/R00987	L-tryptophan degradation XI (mammalian, via kynurenine);L-tryptophan degradation I (via anthranilate)				2
RXN3O-4113	tyrosol dehydrogenase;tyrosol:NAD+oxidoreductase	(4-hydroxyphenyl)acetaldehyde[s] + NADH[s] + H+[s] => 4-tyrosol[s] + NAD+[s]	ec-code/1.1.1.1	jgi|Cocim1|3415|CIMG_06053T0 or jgi|Cocim1|6049|CIMG_07517T0 or jgi|Cocim1|8659|CIMG_03030T0	0	1000			kegg.reaction/R04304	salidroside biosynthesis;L-tyrosine degradation III				2
RXN-16074	5,7-dihydroxy-4,6-dimethylphthalide synthase	4,6-dihydroxy-2-(hydroxymethyl)-3,5-dimethylbenzoate[s] + H+[s] => 5,7-dihydroxy-4,6-dimethylphthalide[s] + H2O[s]	ec-code/3.1.1	jgi|Cocim1|2757|CIMG_00153T0 or jgi|Cocim1|6506|CIMG_04681T0	0	1000				anditomin biosynthesis			pubmed/25216349	2
RXN-16073	3,5-dimethylorsellinate hydroxylase	3,5-dimethylorsellinate[s] + Donor-H2[s] + oxygen[s] => Acceptor[s] + 4,6-dihydroxy-2-(hydroxymethyl)-3,5-dimethylbenzoate[s] + H2O[s]	ec-code/1.14.99	jgi|Cocim1|2757|CIMG_00153T0 or jgi|Cocim1|6506|CIMG_04681T0	0	1000				anditomin biosynthesis			pubmed/25216349	2
KETOGLUTREDUCT-RXN	2-oxoglutarate reductase;2-oxoglutarate reductase ((R)-2-hydroxyglutarate-forming)	NAD+[s] + (R)-2-hydroxyglutarate[s] <=> 2-oxoglutarate[s] + NADH[s] + H+[s]	ec-code/1.1.1.399	jgi|Cocim1|3720|CIMG_06353T0 or jgi|Cocim1|3721|CIMG_06353T1	-1000	1000			kegg.reaction/R11337;rhea/49615	L-glutamate degradation V (via hydroxyglutarate)				2
RXN-16072	3,5-dimethylorsellinate synthase	acetyl-CoA[s] + 3 malonyl-CoA[s] + 2 S-ADENOSYLMETHIONINE[s] => 2 S-adenosyl-L-homocysteine[s] + 3 CO2[s] + 4 coenzyme A[s] + 3,5-dimethylorsellinate[s]	ec-code/2.3.1	jgi|Cocim1|6515|CIMG_04689T0	0	1000			rhea/49629	anditomin biosynthesis				2
RXN3O-227	C-22 sterol desaturase	ergosta-5,7,24(28)-trien-3beta-ol[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => ergosta-5,7,22,24(28)-tetraen-3-beta-ol[s] + Ox-NADPH-Hemoprotein-Reductases[s] + 2 H2O[s]	ec-code/1.14.19.41	jgi|Cocim1|6837|CIMG_05009T0	0	1000			rhea/33468;kegg.reaction/R07506	ergosterol biosynthesis I				2
RXN3O-218	C-5 sterol desaturase;episterol C-5 desaturase;epi-sterol-desaturase	episterol[s] + 2 FERROCYTOCHROME-B5[s] + oxygen[s] + 2 H+[s] => ergosta-5,7,24(28)-trien-3beta-ol[s] + 2 FERRICYTOCHROME-B5[s] + 2 H2O[s]	ec-code/1.14.19.20	jgi|Cocim1|323|CIMG_02610T0	0	1000			rhea/33464;kegg.reaction/R07505;kegg.reaction/R07491	plant sterol biosynthesis;ergosterol biosynthesis I				2
RXN3O-178	SAM:C-24 sterol methyltransferase	S-ADENOSYLMETHIONINE[s] + zymosterol[s] => S-adenosyl-L-homocysteine[s] + fecosterol[s] + H+[s]	ec-code/2.1.1.41	jgi|Cocim1|3500|CIMG_06139T0 or jgi|Cocim1|5174|CIMG_08444T0	0	1000			rhea/21129;kegg.reaction/R04427	ergosterol biosynthesis I				2
RXN3O-1380	sphinganine 4-hydroxylase;sphinganine C4-hydroxylase	D-erythro-sphinganine[s] + 2 FERROCYTOCHROME-B5[s] + oxygen[s] + 2 H+[s] => 2 FERRICYTOCHROME-B5[s] + phytosphingosine[s] + H2O[s]	ec-code/1.14.18.5	jgi|Cocim1|1686|CIMG_01209T0	0	1000			rhea/33522;kegg.reaction/R06525	sphingolipid biosynthesis (plants);sphingolipid biosynthesis (yeast)				2
RXN3DJ-170	5-hydroxy-L-tryptophan decarboxylase;5-hydroxytryptophan decarboxylase	5-hydroxy-L-tryptophan[s] + H+[s] => CO2[s] + serotonin[s]	ec-code/4.1.1.28	jgi|Cocim1|5166|CIMG_08453T0	0	1000			rhea/18534;kegg.reaction/R02701	serotonin and melatonin biosynthesis				2
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	isocitrate dehydrogenase;NAD+-dependent isocitrate dehydrogenase	NAD+[s] + D-threo-isocitrate[s] => 2-oxoglutarate[s] + CO2[s] + NADH[s]	ec-code/1.1.1.286;ec-code/1.1.1.41	jgi|Cocim1|4211|CIMG_06836T0 or jgi|Cocim1|4612|CIMG_07263T1 or jgi|Cocim1|4613|CIMG_07263T0	0	1000			rhea/23632;kegg.reaction/R00709	TCA cycle II (plants and fungi);TCA cycle III (animals);L-glutamine biosynthesis III				2
ISOCIT-CLEAV-RXN	isocitrate lyase	D-threo-isocitrate[s] <=> glyoxylate[s] + succinate[s]	ec-code/4.1.3.1	jgi|Cocim1|906|CIMG_01988T0 or jgi|Cocim1|7690|CIMG_10137T0	-1000	1000			rhea/13248;kegg.reaction/R00479	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase);TCA cycle IV (2-oxoglutarate decarboxylase);glyoxylate cycle				2
IPPISOM-RXN	isopentenyl-diphosphate Delta-isomerase;isopentenyl-diphosphate delta-isomerase;isopentenyl diphosphate isomerase;isopentenyl pyrophosphate isomerase;IPP isomerase	isopentenyl diphosphate[s] <=> dimethylallyl diphosphate[s]	ec-code/5.3.3.2	jgi|Cocim1|2670|CIMG_00236T0	-1000	1000			rhea/23287;kegg.reaction/R01123	mono-trans, poly-cis decaprenyl phosphate biosynthesis;mevalonate pathway III (archaea);mevalonate pathway I;trans, trans-farnesyl diphosphate biosynthesis;all-trans-farnesol biosynthesis;methylerythritol phosphate pathway I;methylerythritol phosphate pathway II;isoprene biosynthesis II (engineered);bisabolene biosynthesis (engineered);mevalonate pathway II (archaea)				2
INOPHOSPHOR-RXN	inosine phosphorylase	inosine[s] + phosphate[s] <=> hypoxanthine[s] + alpha-D-ribose-1-phosphate[s]	ec-code/2.4.2.1	jgi|Cocim1|354|CIMG_02566T0	-1000	1000			rhea/27649;kegg.reaction/R01863	purine ribonucleosides degradation;adenosine nucleotides degradation II;adenine and adenosine salvage III			pubmed/11337031	2
IMPCYCLOHYDROLASE-RXN	inosine monophosphate cyclohydrolase;IMP cyclohydrolase	IMP[s] + H2O[s] <=> 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide[s]	ec-code/3.5.4.10	jgi|Cocim1|8514|CIMG_09571T0	-1000	1000			rhea/18448;kegg.reaction/R01127	inosine-5'-phosphate biosynthesis III;inosine-5'-phosphate biosynthesis I;inosine-5'-phosphate biosynthesis II				2
IMP-DEHYDROG-RXN	IMP dehydrogenase;inosine-5'-monophosphate dehydrogenase;inosine 5'-monophosphate dehydrogenase	IMP[s] + NAD+[s] + H2O[s] <=> NADH[s] + H+[s] + XMP[s]	ec-code/1.1.1.205	jgi|Cocim1|6325|CIMG_04496T0	-1000	1000			rhea/11711;kegg.reaction/R01130	guanosine ribonucleotides de novo biosynthesis;inosine 5'-phosphate degradation;adenosine nucleotides degradation I				2
IMIDPHOSDEHYD-RXN	imidazoleglycerol-phosphate dehydratase;imidazoleglycerolphosphate dehydratase;imidazoleglycerol phosphate dehydratase	D-erythro-imidazole-glycerol-phosphate[s] => imidazole acetol-phosphate[s] + H2O[s]	ec-code/4.2.1.19	jgi|Cocim1|158|CIMG_02799T0	0	1000			rhea/11041;kegg.reaction/R03457	L-histidine biosynthesis				2
HYPOXANPRIBOSYLTRAN-RXN	hypoxanthine phosphoribosyltransferase	hypoxanthine[s] + 5-phospho-alpha-D-ribose 1-diphosphate[s] => IMP[s] + diphosphate[s]	ec-code/2.4.2.8	jgi|Cocim1|5057|CIMG_08553T0	0	1000			rhea/17973;kegg.reaction/R01132	adenine salvage;adenine and adenosine salvage III				2
RXN-15910	alpha-glucosidase	MALTOSE[s] + H2O[s] => 2 Glucopyranose[s]	ec-code/3.2.1.20	jgi|Cocim1|8695|CIMG_13675T0	0	1000			kegg.reaction/R00028	starch degradation I				2
RXN-15881	cysteine desulfurase;L-cysteine desulfurase	L-cysteine[s] + L-Cysteine-Desulfurases[s] => L-alanine[s] + Persulfurated-L-cysteine-desulfurases[s]	ec-code/2.8.1.7	jgi|Cocim1|2784|CIMG_00125T0	0	1000				[2Fe-2S] iron-sulfur cluster biosynthesis				2
RXN-15855	syringaldehyde dehydrogenase	syringaldehyde[s] + NAD+[s] + H2O[s] => syringate[s] + NADH[s] + 2 H+[s]	ec-code/1.2.1	jgi|Cocim1|8892|CIMG_03252T0	0	1000							pubmed/24916011	2
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	hydroxymethylglutaryl CoA synthase;hydroxymethylglutaryl-CoA synthase;hydroxymethyl glutaryl-CoA synthase	acetoacetyl-CoA[s] + acetyl-CoA[s] + H2O[s] <=> (S)-3-hydroxy-3-methylglutaryl-CoA[s] + coenzyme A[s] + H+[s]	ec-code/2.3.3.10	jgi|Cocim1|9277|CIMG_03635T0	-1000	1000			rhea/10191;kegg.reaction/R01978	mevalonate pathway III (archaea);mevalonate pathway I;ferrichrome A biosynthesis;isoprene biosynthesis II (engineered);ketogenesis;mevalonate pathway II (archaea)				2
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	hydroxymethylglutaryl-CoA lyase	(S)-3-hydroxy-3-methylglutaryl-CoA[s] => acetoacetate[s] + acetyl-CoA[s]	ec-code/4.1.3.4	jgi|Cocim1|7015|CIMG_05209T0	0	1000			rhea/24405;kegg.reaction/R01360	mevalonate degradation;L-leucine degradation I;ketogenesis				2
RXN-15843	25S rRNA (cytosine2870-C5)-methyltransferase	Cytosine2870-in-25S-rRNA[s] + S-ADENOSYLMETHIONINE[s] => 5-methylcytosine2870-in-25S-rRNA[s] + S-adenosyl-L-homocysteine[s] + H+[s]	ec-code/2.1.1.310	jgi|Cocim1|3748|CIMG_06380T0	0	1000			rhea/43177					2
RXN-15842	18S rRNA (guanine1575-N7)-methyltransferase	Guanine1575-in-18StRNAs[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + N7-methylGuanine1575-in-18StRNAs[s]	ec-code/2.1.1.309	jgi|Cocim1|4615|CIMG_07265T0	0	1000								2
RXN-15820	4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene dioxygenase	4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene[s] + oxygen[s] => 5-formylferulate[s] + vanillin[s]	ec-code/1.13.11	jgi|Cocim1|6678|CIMG_04860T0	0	1000				(-)-dehydrodiconiferyl alcohol degradation			pubmed/24916011	2
RXN-15819	(-)-dehydrodiconiferyl aldehyde dehydrogenase	(-)-dehydrodiconiferyl aldehyde[s] + NAD+[s] + H2O[s] => (-)-dehydrodiconiferyl acid[s] + NADH[s] + 2 H+[s]	ec-code/1.2.1	jgi|Cocim1|8892|CIMG_03252T0	0	1000				(-)-dehydrodiconiferyl alcohol degradation			pubmed/24916011	2
RXN-15801	hercynylcysteine S-oxide synthase	hercynine[s] + L-cysteine[s] + oxygen[s] => S-(hercyn-2-yl)-L-cysteine S-oxide[s] + H2O[s]	ec-code/1.14.99.51	jgi|Cocim1|2632|CIMG_00276T0	0	1000			rhea/42705	ergothioneine biosynthesis II (fungi)				2
HOMOSERINE-O-ACETYLTRANSFERASE-RXN	homoserine O-acetyltransferase	acetyl-CoA[s] + L-homoserine[s] <=> coenzyme A[s] + O-acetyl-L-homoserine[s]	ec-code/2.3.1.31	jgi|Cocim1|3433|CIMG_06070T0 or jgi|Cocim1|4139|CIMG_11830T0	-1000	1000			rhea/13704;kegg.reaction/R01776	L-homocysteine biosynthesis				2
HOMOSERDEHYDROG-RXN	homoserine dehydrogenase	L-aspartate 4-semialdehyde[s] + NADH-P-OR-NOP[s] + H+[s] => L-homoserine[s] + NAD-P-OR-NOP[s]	ec-code/1.1.1.3	jgi|Cocim1|9301|CIMG_03660T0	0	1000			rhea/15759;kegg.reaction/R01773;kegg.reaction/R01775	L-homoserine biosynthesis				2
RXN-15775	diphthine synthase	2-3-CARBOXY-3-AMINOPROPYL-L-HISTIDINE[s] + 4 S-ADENOSYLMETHIONINE[s] => 4 S-adenosyl-L-homocysteine[s] + Diphthine-methyl-ester-EF2[s] + 3 H+[s]	ec-code/2.1.1.314	jgi|Cocim1|9011|CIMG_03364T0	0	1000			rhea/42653	diphthamide biosynthesis II (eukaryotes)			pubmed/15485916	2
HOMOGENTISATE-12-DIOXYGENASE-RXN	homogentisate 1,2-dioxygenase;homogentisate dioxygenase;homogentisate oxygenase	homogentisate[s] + oxygen[s] => 4-maleyl-acetoacetate[s] + H+[s]	ec-code/1.13.11.5	jgi|Cocim1|1584|CIMG_01312T0	0	1000			rhea/15450;kegg.reaction/R02519	L-tyrosine degradation I				2
HOMOCYSMET-RXN	cobalamin-independent homocysteine transmethylase;cobalamin-independent methionine synthase;5-methyltetrahydropteroyltriglutamate:homocysteine S-methyltransferase;homocysteine methyltransferase	5-methyltetrahydropteroyl tri-L-glutamate[s] + L-homocysteine[s] <=> tetrahydropteroyl tri-L-glutamate[s] + L-methionine[s]	ec-code/2.1.1.14	jgi|Cocim1|9705|CIMG_04062T0	-1000	1000			rhea/21199;kegg.reaction/R04405	L-methionine biosynthesis II (plants);L-methionine biosynthesis I;L-methionine biosynthesis III;S-adenosyl-L-methionine cycle I;S-adenosyl-L-methionine cycle II				2
HOMOCITRATE-SYNTHASE-RXN	(R)-homocitrate synthase	2-oxoglutarate[s] + acetyl-CoA[s] + H2O[s] <=> coenzyme A[s] + (2R)-homocitrate[s] + H+[s]	ec-code/2.3.3.14	jgi|Cocim1|8015|CIMG_09081T0	-1000	1000			rhea/12932;kegg.reaction/R00271	FeMo cofactor biosynthesis;L-lysine biosynthesis IV;coenzyme B biosynthesis;L-lysine biosynthesis V				2
HISTOLDEHYD-RXN	histidinol dehydrogenase	histidinol[s] + NAD+[s] <=> histidinal[s] + NADH[s] + H+[s]		jgi|Cocim1|8952|CIMG_03310T0	-1000	1000			rhea/33799;kegg.reaction/R03012	L-histidine biosynthesis			pubmed/8037463;pubmed/22303266	2
RXN0-901	xanthine:NAD+ oxidoreductase;xanthine dehydrogenase	NAD+[s] + H2O[s] + xanthine[s] <=> NADH[s] + H+[s] + urate[s]	ec-code/1.17.1.4	jgi|Cocim1|1400|CIMG_01495T0	-1000	1000			rhea/16672;kegg.reaction/R02103	purine nucleobases degradation II (anaerobic);purine nucleobases degradation I (anaerobic);theophylline degradation;caffeine degradation III (bacteria, via demethylation);inosine 5'-phosphate degradation;adenosine nucleotides degradation II;guanosine nucleotides degradation III;guanosine nucleotides degradation I;guanosine nucleotides degradation II;adenosine nucleotides degradation I				2
HISTALDEHYD-RXN	histidinol dehydrogenase;histidinal dehydrogenase	histidinal[s] + NAD+[s] + H2O[s] => L-histidine[s] + NADH[s] + 2 H+[s]		jgi|Cocim1|8952|CIMG_03310T0	0	1000			rhea/33804;kegg.reaction/R01163	L-histidine biosynthesis			pubmed/8037463;pubmed/22303266	2
RXN-15718	2-methylbutanoate polyketide synthase	Holo-LovF[s] + 2 malonyl-CoA[s] + 2 NADPH[s] + 3 H+[s] + S-ADENOSYLMETHIONINE[s] => 2-methylbutanoyl-LovF[s] + S-adenosyl-L-homocysteine[s] + 2 CO2[s] + 2 coenzyme A[s] + 2 NADP+[s] + H2O[s]	ec-code/2.3.1.244	jgi|Cocim1|7340|CIMG_05569T0	0	1000			rhea/42853	lovastatin biosynthesis				2
H2PTEROATESYNTH-RXN	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase;dihydropteroate synthase	(7,8-dihydropterin-6-yl)methyl diphosphate[s] + 4-aminobenzoate[s] => 7,8-dihydropteroate[s] + diphosphate[s]	ec-code/2.5.1.15	jgi|Cocim1|5742|CIMG_07826T0	0	1000			rhea/19950;kegg.reaction/R03067	tetrahydrofolate biosynthesis				2
RXN-15667	benzodiazepinedione synthetase	anthranilate[s] + 2 ATP[s] + L-tryptophan[s] => 2 ADP[s] + (R)-benzodiazepinedione[s] + H+[s] + 2 phosphate[s]	ec-code/6.3.2	jgi|Cocim1|507|CIMG_10949T0	0	1000				acetylaszonalenin biosynthesis			pubmed/20225828	2
RXN-15664	2-amino-2-deoxy-D-mannitol dehydrogenase	2-amino-2-deoxy-D-mannitol[s] + NAD+[s] => (2R,3R,4S,5S)1,3,4,5-tetrahydroxy-6-oxohexan-2-aminium[s] + NADH[s] + H+[s]	ec-code/1.1.1	jgi|Cocim1|6766|CIMG_04945T0	0	1000				mannojirimycin biosynthesis			pubmed/24354768	2
GUANYL-KIN-RXN	GMP kinase;guanylate kinase	ATP[s] + GMP[s] <=> ADP[s] + GDP[s]	ec-code/2.7.4.8	jgi|Cocim1|4557|CIMG_07197T0	-1000	1000			rhea/20780;kegg.reaction/R00332	guanosine ribonucleotides de novo biosynthesis				2
RXN0-7141	D-ribulose 5-phosphate 1-dehydrogenase	NADH[s] + H+[s] + D-ribulose 5-phosphate[s] => 1-deoxy-D-xylulose 5-phosphate[s] + NAD+[s] + H2O[s]	ec-code/1.17.1	jgi|Cocim1|4530|CIMG_07172T0	0	1000							pubmed/25326299	2
GUANPRIBOSYLTRAN-RXN	guanine phosphoribosyltransferase	guanine[s] + 5-phospho-alpha-D-ribose 1-diphosphate[s] => GMP[s] + diphosphate[s]	ec-code/2.4.2.8	jgi|Cocim1|5057|CIMG_08553T0	0	1000			rhea/25427;kegg.reaction/R01229	guanine and guanosine salvage;guanine and guanosine salvage II				2
GUANINE-DEAMINASE-RXN	guanine deaminase	guanine[s] + H+[s] + H2O[s] => ammonium[s] + xanthine[s]	ec-code/3.5.4.3	jgi|Cocim1|5168|CIMG_08451T0	0	1000			rhea/14666;kegg.reaction/R01676	purine nucleobases degradation II (anaerobic);purine nucleobases degradation I (anaerobic);guanosine nucleotides degradation III;guanosine nucleotides degradation II				2
