keggID	kegg_pathway_name
R01164	Histidine metabolism;beta-Alanine metabolism
R01991	Arginine and proline metabolism
R00112	Nicotinate and nicotinamide metabolism
R01457	Steroid biosynthesis
R05703	Steroid biosynthesis
R00685	Tryptophan metabolism;Indole alkaloid biosynthesis;Biosynthesis of secondary metabolites
R00699	Phenylalanine metabolism
R02701	Tryptophan metabolism
R01360	Synthesis and degradation of ketone bodies;Valine, leucine and isoleucine degradation;Butanoate metabolism
R08615	Ascorbate and aldarate metabolism
R01717	Ubiquinone and other terpenoid-quinone biosynthesis;Biosynthesis of siderophore group nonribosomal peptides;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics
R00131	Arginine biosynthesis;Purine metabolism;Atrazine degradation;Microbial metabolism in diverse environments
R00586	Cysteine and methionine metabolism;Sulfur metabolism;NA;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;Biosynthesis of amino acids
R02322	Nicotinate and nicotinamide metabolism
R01372	Phenylalanine metabolism
R02521	Ubiquinone and other terpenoid-quinone biosynthesis;Tyrosine metabolism
R01215	Valine, leucine and isoleucine biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics
R00362	NA
R01615	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R02193	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R02220	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R00228	Phenylalanine metabolism;Benzoate degradation;Pyruvate metabolism;Dioxin degradation;Xylene degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R01066	Pentose phosphate pathway
R02411	Galactose metabolism
R01184	Ascorbate and aldarate metabolism;Inositol phosphate metabolism
R04286	Folate biosynthesis
R03774	Fructose and mannose metabolism;Microbial metabolism in diverse environments
R07280	Riboflavin metabolism;Biosynthesis of secondary metabolites
R00315	Taurine and hypotaurine metabolism;Pyruvate metabolism;Methane metabolism;Carbon fixation pathways in prokaryotes;Microbial metabolism in diverse environments;Carbon metabolism
R00491	Alanine, aspartate and glutamate metabolism
R01456	Steroid biosynthesis
R07658	Amino sugar and nucleotide sugar metabolism
R00111	Arginine and proline metabolism
R00557	Arginine biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics
R03353	Steroid biosynthesis
R04804	Steroid biosynthesis
R09247	Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites
R03037	Biosynthesis of siderophore group nonribosomal peptides;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics
R03181	Tyrosine metabolism;Styrene degradation;Microbial metabolism in diverse environments
R01087	Butanoate metabolism;Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments
R02752	Ascorbate and aldarate metabolism
R01904	Pentose and glucuronate interconversions
R06601	Purine metabolism;Microbial metabolism in diverse environments
R03192	Amino sugar and nucleotide sugar metabolism;Peptidoglycan biosynthesis
R07405	Purine metabolism;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics
R01885	Purine metabolism
R04955	Fatty acid biosynthesis;Fatty acid metabolism
R01034	Glycerolipid metabolism
R02593	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R03918	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R03210	Biotin metabolism
R05706	Riboflavin metabolism
R00409	Propanoate metabolism
R01361	Synthesis and degradation of ketone bodies;Butanoate metabolism
R01154	Arginine and proline metabolism
R10848	Pentose and glucuronate interconversions
R01519	Pentose phosphate pathway;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism
R02933	Ascorbate and aldarate metabolism
R03751	Caprolactam degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R01570	Pyrimidine metabolism
R03546	Nitrogen metabolism
R10079	NA
R01718	Starch and sucrose metabolism
R10705	Propanoate metabolism
R00818	Dioxin degradation;Polycyclic aromatic hydrocarbon degradation;Naphthalene degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R00271	Lysine biosynthesis;Pyruvate metabolism;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids
R00837	Starch and sucrose metabolism
R00578	Alanine, aspartate and glutamate metabolism;Biosynthesis of secondary metabolites;Biosynthesis of amino acids
R01295	Benzoate degradation;Aminobenzoate degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R01528	Pentose phosphate pathway;Glutathione metabolism;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism
R10221	Pentose phosphate pathway;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism
R01130	Purine metabolism;Biosynthesis of secondary metabolites
R09796	Pyruvate metabolism;Microbial metabolism in diverse environments
R06982	Methane metabolism;Microbial metabolism in diverse environments;Carbon metabolism
R00359	Alanine, aspartate and glutamate metabolism
R01513	Glycine, serine and threonine metabolism;Methane metabolism;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;Biosynthesis of amino acids
R03772	Fructose and mannose metabolism;Microbial metabolism in diverse environments
R01872	Phenylalanine, tyrosine and tryptophan biosynthesis
R00344	Citrate cycle (TCA cycle);Pyruvate metabolism;Carbon fixation pathways in prokaryotes;Microbial metabolism in diverse environments;Carbon metabolism;Biosynthesis of amino acids
R09249	Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites
R10532	Pentose and glucuronate interconversions
R06291	Diterpenoid biosynthesis;Biosynthesis of secondary metabolites
R06292	Diterpenoid biosynthesis;Biosynthesis of secondary metabolites
R06293	Diterpenoid biosynthesis;Biosynthesis of secondary metabolites
R00618	Thiamine metabolism
R00650	Cysteine and methionine metabolism;Biosynthesis of secondary metabolites
R09756	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10399	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10400	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10563	Pentose and glucuronate interconversions
R00868	Fructose and mannose metabolism
R00684	Tryptophan metabolism
R02133	Thiamine metabolism
R03471	Thiamine metabolism
R04509	Thiamine metabolism
R09993	Thiamine metabolism
R01764	Aminobenzoate degradation;Microbial metabolism in diverse environments
R00778	Atrazine degradation;Microbial metabolism in diverse environments
R02231	Caprolactam degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R01845	Carbon fixation in photosynthetic organisms;Microbial metabolism in diverse environments;Carbon metabolism
R10352	Indole diterpene alkaloid biosynthesis;Biosynthesis of secondary metabolites
R10353	Indole diterpene alkaloid biosynthesis;Biosynthesis of secondary metabolites
R01440	Methane metabolism;Microbial metabolism in diverse environments;Carbon metabolism
R00216	Pyruvate metabolism;Carbon fixation in photosynthetic organisms;Microbial metabolism in diverse environments;Carbon metabolism
R02656	Tyrosine metabolism;Microbial metabolism in diverse environments
R10722	Phosphonate and phosphinate metabolism
R01876	Pyrimidine metabolism
R01213	Valine, leucine and isoleucine biosynthesis;Pyruvate metabolism;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids
R05287	Chlorocyclohexane and chlorobenzene degradation;Chloroalkane and chloroalkene degradation;Microbial metabolism in diverse environments
R10310	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10311	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R04152	Phosphonate and phosphinate metabolism;Microbial metabolism in diverse environments
R00747	Phosphonate and phosphinate metabolism;Microbial metabolism in diverse environments
R03824	Carotenoid biosynthesis;Biosynthesis of secondary metabolites
R05341	Carotenoid biosynthesis;Biosynthesis of secondary metabolites
R10508	Carotenoid biosynthesis
R00571	Pyrimidine metabolism
R00573	Pyrimidine metabolism
R07143	Pentose and glucuronate interconversions
R07144	Pentose and glucuronate interconversions
R03942	Fructose and mannose metabolism;Microbial metabolism in diverse environments
R01914	Arginine and proline metabolism;beta-Alanine metabolism
R03276	Fatty acid degradation;Butanoate metabolism
R05092	Diterpenoid biosynthesis;Biosynthesis of secondary metabolites
R10724	Phosphonate and phosphinate metabolism
R02123	Retinol metabolism
R02454	Pentose and glucuronate interconversions
R09782	Carotenoid biosynthesis
R10317	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10318	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R02243	C5-Branched dibasic acid metabolism
R01408	Cyanoamino acid metabolism
R10550	Pentose and glucuronate interconversions
R01945	Phenylpropanoid biosynthesis;Flavonoid biosynthesis;Stilbenoid, diarylheptanoid and gingerol biosynthesis;Biosynthesis of secondary metabolites
R02991	Benzoate degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R01152	Arginine and proline metabolism
R02492	Nitrogen metabolism;Microbial metabolism in diverse environments
R09446	Nitrogen metabolism;Microbial metabolism in diverse environments
R07396	Cysteine and methionine metabolism
R00502	Galactose metabolism;Amino sugar and nucleotide sugar metabolism
R02728	NA
R02306	Sesquiterpenoid and triterpenoid biosynthesis
R00465	Glyoxylate and dicarboxylate metabolism;Microbial metabolism in diverse environments
R01392	Glycine, serine and threonine metabolism;Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites
R01942	Phenylalanine metabolism;Phenylpropanoid biosynthesis;Flavonoid biosynthesis;Stilbenoid, diarylheptanoid and gingerol biosynthesis;Biosynthesis of secondary metabolites
R06578	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R00078	Porphyrin and chlorophyll metabolism
R00179	Cysteine and methionine metabolism;Biosynthesis of secondary metabolites
R00293	Amino sugar and nucleotide sugar metabolism
R00469	Purine metabolism;Microbial metabolism in diverse environments
R00608	Methane metabolism;Microbial metabolism in diverse environments;Carbon metabolism
R01058	Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Microbial metabolism in diverse environments;Carbon metabolism
R01151	Arginine and proline metabolism
R01274	Fatty acid elongation;Biosynthesis of unsaturated fatty acids;Fatty acid metabolism
R01468	Glycerophospholipid metabolism
R01595	Arachidonic acid metabolism
R02125	Retinol metabolism
R02150	Histidine metabolism
R02350	Steroid hormone biosynthesis
R02676	Cyanoamino acid metabolism;Biosynthesis of secondary metabolites
R02681	Tryptophan metabolism
R03058	Arachidonic acid metabolism
R03111	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R03288	Histidine metabolism;beta-Alanine metabolism
R03893	Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments
R06838	Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments
R07061	Linoleic acid metabolism
R07558	Carotenoid biosynthesis;Biosynthesis of secondary metabolites
R07559	Carotenoid biosynthesis;Biosynthesis of secondary metabolites
R08527	NA
R10178	Alanine, aspartate and glutamate metabolism;Butanoate metabolism;Microbial metabolism in diverse environments
R10307	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10319	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10351	Indole diterpene alkaloid biosynthesis;Biosynthesis of secondary metabolites
R10358	Indole diterpene alkaloid biosynthesis;Biosynthesis of secondary metabolites
R10398	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10401	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10402	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10475	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10925	Insect hormone biosynthesis
NA	NA
R01903	Pentose and glucuronate interconversions
R00987	Tryptophan metabolism
R10851	Glycine, serine and threonine metabolism
R10361	Indole diterpene alkaloid biosynthesis;Biosynthesis of secondary metabolites
NA	NA
R01990	Arginine and proline metabolism
R10614	NA
NA	NA
R01333	Glyoxylate and dicarboxylate metabolism;Microbial metabolism in diverse environments
NA	NA
R01041	Glycerolipid metabolism
NA	NA
NA	NA
NA	NA
R00719	Purine metabolism
R02528	Propanoate metabolism
R03545	Butanoate metabolism;Microbial metabolism in diverse environments
R06126	NA
NA	NA
R07659	Amino sugar and nucleotide sugar metabolism
NA	NA
R01627	Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics
R06758	Novobiocin biosynthesis;Biosynthesis of antibiotics
R06757	Novobiocin biosynthesis;Biosynthesis of antibiotics
R09363	NA
NA	NA
R00895	Cysteine and methionine metabolism
NA	NA
NA	NA
R01740	NA
R09786	Sulfur metabolism
R08211	Glycine, serine and threonine metabolism
R01022	Glycine, serine and threonine metabolism
R02997	NA
NA	NA
NA	NA
NA	NA
R01487	NA
R10478	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10477	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R10476	Aflatoxin biosynthesis;Biosynthesis of antibiotics
R02549	Arginine and proline metabolism;beta-Alanine metabolism
R00355	Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids
R06892	Bisphenol degradation;Microbial metabolism in diverse environments
R07634	Cysteine and methionine metabolism
R04001	Valine, leucine and isoleucine biosynthesis;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism
R09289	Pyrimidine metabolism;Carbon fixation pathways in prokaryotes;Microbial metabolism in diverse environments;Carbon metabolism
R01518	Glycolysis / Gluconeogenesis;Glycine, serine and threonine metabolism;Methane metabolism;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;Biosynthesis of amino acids
NA	NA
NA	NA
R10161	Propanoate metabolism
R01431	Pentose and glucuronate interconversions
NA	NA
R05282	Xylene degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R05347	Xylene degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R00904	beta-Alanine metabolism
R02025	Cysteine and methionine metabolism
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
R02619	Cysteine and methionine metabolism
R01608	beta-Alanine metabolism;Propanoate metabolism;Carbon metabolism
R05064	Valine, leucine and isoleucine degradation
R00272	NA
R03898	Valine, leucine and isoleucine biosynthesis;C5-Branched dibasic acid metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids
R00875	Fructose and mannose metabolism
R08146	Insect hormone biosynthesis
R07265	NA
R05050	Arginine and proline metabolism
R01108	Ascorbate and aldarate metabolism;Glutathione metabolism
NA	NA
R10789	NA
NA	NA
NA	NA
R04891	Tyrosine metabolism
R04882	Tyrosine metabolism
NA	NA
R02539	Phenylalanine metabolism;Microbial metabolism in diverse environments
R04903	Tryptophan metabolism
R00306	Starch and sucrose metabolism
R09495	NA
R02680	Tryptophan metabolism
R02678	Tryptophan metabolism
NA	NA
R09123	Diterpenoid biosynthesis;Biosynthesis of secondary metabolites
R08212	NA
R03891	Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments
NA	NA
NA	NA
R05441	Chlorocyclohexane and chlorobenzene degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
NA	NA
NA	NA
R02368	Retinol metabolism
R07136	Cysteine and methionine metabolism;Methane metabolism;Microbial metabolism in diverse environments
R02484	Pyrimidine metabolism
R10704	Propanoate metabolism
R02722	Glycine, serine and threonine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics;Biosynthesis of amino acids
R02156	NA
NA	NA
R01155	Arginine and proline metabolism
NA	NA
R01373	Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics;Biosynthesis of amino acids
R00714	Alanine, aspartate and glutamate metabolism;Tyrosine metabolism;Butanoate metabolism;Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments
R00713	Alanine, aspartate and glutamate metabolism;Tyrosine metabolism;Butanoate metabolism;Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments
R02536	Phenylalanine metabolism;Styrene degradation;Microbial metabolism in diverse environments
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
R01908	Glyoxylate and dicarboxylate metabolism
NA	NA
R00799	NA
NA	NA
R01704	Fatty acid degradation
NA	NA
NA	NA
NA	NA
NA	NA
R03300	Tyrosine metabolism
R03106	NA
NA	NA
R01817	NA
R00710	Glycolysis / Gluconeogenesis;Pyruvate metabolism;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics
NA	NA
R00026	NA
R07042	Arachidonic acid metabolism
R07043	Arachidonic acid metabolism
R07048	Arachidonic acid metabolism
R07050	Arachidonic acid metabolism
R07051	Arachidonic acid metabolism
R07052	Arachidonic acid metabolism
R03088	Steroid hormone biosynthesis
R03090	Steroid hormone biosynthesis
R07080	Metabolism of xenobiotics by cytochrome P450
R09416	Metabolism of xenobiotics by cytochrome P450
R09442	Metabolism of xenobiotics by cytochrome P450
R03816	Ubiquinone and other terpenoid-quinone biosynthesis;Biosynthesis of secondary metabolites
R02354	Steroid hormone biosynthesis
R02355	Steroid hormone biosynthesis
R03089	Steroid hormone biosynthesis
R07000	Metabolism of xenobiotics by cytochrome P450
R07001	Metabolism of xenobiotics by cytochrome P450
R07022	Metabolism of xenobiotics by cytochrome P450
R02487	Fatty acid degradation
