complex type	sequence id	index	ortholog
Atg1/ULK1 kinase complex	Schizosaccharomyces_pombe@Seq_2684	121_2683	OG1879
Atg1/ULK1 kinase complex	Schizosaccharomyces_pombe@Seq_2983	121_2982	OG3727
Atg1/ULK1 kinase complex	Schizosaccharomyces_pombe@Seq_94	121_93	OG5171
Bfa1-Bub2 complex	Schizosaccharomyces_pombe@Seq_1339	121_1338	OG4146
Bfa1-Bub2 complex	Schizosaccharomyces_pombe@Seq_2905	121_2904	OG9887
CAAX-protein geranylgeranyltransferase complex	Schizosaccharomyces_pombe@Seq_2144	121_2143	OG3911
CAAX-protein geranylgeranyltransferase complex	Schizosaccharomyces_pombe@Seq_3218	121_3217	OG3200
CAF-1 complex	Schizosaccharomyces_pombe@Seq_3301	121_3300	OG4144
CAF-1 complex	Schizosaccharomyces_pombe@Seq_5044	121_5043	OG190831
CAF-1 complex	Schizosaccharomyces_pombe@Seq_877	121_876	OG2093
CCAAT-binding factor complex	Schizosaccharomyces_pombe@Seq_1977	121_1976	OG4103
CCAAT-binding factor complex	Schizosaccharomyces_pombe@Seq_2704	121_2703	OG3251
CCAAT-binding factor complex	Schizosaccharomyces_pombe@Seq_3161	121_3160	OG2751
CCAAT-binding factor complex	Schizosaccharomyces_pombe@Seq_3751	121_3750	OG151617
CCR4-NOT complex	Schizosaccharomyces_pombe@Seq_1423	121_1422	OG2561
CCR4-NOT complex	Schizosaccharomyces_pombe@Seq_1636	121_1635	OG1769
CCR4-NOT complex	Schizosaccharomyces_pombe@Seq_4969	121_4968	OG1803
CCR4-NOT complex	Schizosaccharomyces_pombe@Seq_767	121_766	OG1582
CCR4-NOT complex	Schizosaccharomyces_pombe@Seq_788	121_787	OG4153
CCR4-NOT complex	Schizosaccharomyces_pombe@Seq_790	121_789	OG3389
CCR4-NOT complex	Schizosaccharomyces_pombe@Seq_851	121_850	OG1613
CCR4-NOT core complex	Schizosaccharomyces_pombe@Seq_1423	121_1422	OG2561
CCR4-NOT core complex	Schizosaccharomyces_pombe@Seq_1636	121_1635	OG1769
CCR4-NOT core complex	Schizosaccharomyces_pombe@Seq_3397	121_3396	OG3644
CCR4-NOT core complex	Schizosaccharomyces_pombe@Seq_382	121_381	OG4572
CCR4-NOT core complex	Schizosaccharomyces_pombe@Seq_4969	121_4968	OG1803
CCR4-NOT core complex	Schizosaccharomyces_pombe@Seq_694	121_693	OG78068
CCR4-NOT core complex	Schizosaccharomyces_pombe@Seq_767	121_766	OG1582
CCR4-NOT core complex	Schizosaccharomyces_pombe@Seq_788	121_787	OG4153
CCR4-NOT core complex	Schizosaccharomyces_pombe@Seq_790	121_789	OG3389
CCR4-NOT core complex	Schizosaccharomyces_pombe@Seq_851	121_850	OG1613
CENP-A containing nucleosome	Schizosaccharomyces_pombe@Seq_1081	121_1080	OG8133
CENP-A containing nucleosome	Schizosaccharomyces_pombe@Seq_3453	121_3452	OG4681
CENP-A containing nucleosome	Schizosaccharomyces_pombe@Seq_3477	121_3476	OG126312
CENP-A containing nucleosome	Schizosaccharomyces_pombe@Seq_4421	121_4420	OG164237
CENP-A containing nucleosome	Schizosaccharomyces_pombe@Seq_4450	121_4449	OG3375
CENP-A recruiting complex	Schizosaccharomyces_pombe@Seq_1184	121_1183	OG9352
CENP-A recruiting complex	Schizosaccharomyces_pombe@Seq_3185	121_3184	OG2300
CENP-A recruiting complex	Schizosaccharomyces_pombe@Seq_3700	121_3699	OG76862
CENP-A recruiting complex	Schizosaccharomyces_pombe@Seq_409	121_408	OG74558
CLRC ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_200	121_199	OG11968
CLRC ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_231	121_230	OG87793
CLRC ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_2514	121_2513	OG3051
CLRC ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_3658	121_3657	OG72390
CLRC ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_4528	121_4527	OG11579
CLRC ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_5006	121_5005	OG7754
COP9 signalosome	Schizosaccharomyces_pombe@Seq_1114	121_1113	OG3426
COP9 signalosome	Schizosaccharomyces_pombe@Seq_1348	121_1347	OG7674
COP9 signalosome	Schizosaccharomyces_pombe@Seq_2481	121_2480	OG4460
COP9 signalosome	Schizosaccharomyces_pombe@Seq_2538	121_2537	OG4538
COP9 signalosome	Schizosaccharomyces_pombe@Seq_2789	121_2788	OG75522
COP9 signalosome	Schizosaccharomyces_pombe@Seq_3921	121_3920	OG128814
COP9 signalosome	Schizosaccharomyces_pombe@Seq_4751	121_4750	OG7161
COP9 signalosome	Schizosaccharomyces_pombe@Seq_4873	121_4872	OG4529
COPI vesicle coat	Schizosaccharomyces_pombe@Seq_1205	121_1204	OG1846
COPI vesicle coat	Schizosaccharomyces_pombe@Seq_1805	121_1804	OG1766
COPI vesicle coat	Schizosaccharomyces_pombe@Seq_2454	121_2453	OG1861
COPI vesicle coat	Schizosaccharomyces_pombe@Seq_3140	121_3139	OG4574
COPI vesicle coat	Schizosaccharomyces_pombe@Seq_4194	121_4193	OG3040
COPI vesicle coat	Schizosaccharomyces_pombe@Seq_5054	121_5053	OG3035
COPI vesicle coat	Schizosaccharomyces_pombe@Seq_679	121_678	OG1725
COPI vesicle coat	Schizosaccharomyces_pombe@Seq_69	121_68	OG2128
COPII vesicle coat	Schizosaccharomyces_pombe@Seq_1829	121_1828	OG3118
COPII vesicle coat	Schizosaccharomyces_pombe@Seq_3266	121_3265	OG1293
COPII vesicle coat	Schizosaccharomyces_pombe@Seq_3584	121_3583	OG1075
COPII vesicle coat	Schizosaccharomyces_pombe@Seq_3866	121_3865	OG1075
COPII vesicle coat	Schizosaccharomyces_pombe@Seq_3973	121_3972	OG3646
COPII vesicle coat	Schizosaccharomyces_pombe@Seq_4120	121_4119	OG1717
COPII vesicle coat	Schizosaccharomyces_pombe@Seq_496	121_495	OG9244
COPII vesicle coat	Schizosaccharomyces_pombe@Seq_935	121_934	OG1549
CORVET complex	Schizosaccharomyces_pombe@Seq_1537	121_1536	OG2233
CORVET complex	Schizosaccharomyces_pombe@Seq_1573	121_1572	OG2415
CORVET complex	Schizosaccharomyces_pombe@Seq_203	121_202	OG2803
CORVET complex	Schizosaccharomyces_pombe@Seq_2282	121_2281	OG4557
CORVET complex	Schizosaccharomyces_pombe@Seq_3083	121_3082	OG3672
CORVET complex	Schizosaccharomyces_pombe@Seq_3254	121_3253	OG2511
CST complex	Schizosaccharomyces_pombe@Seq_530	121_529	OG13024
CST complex	Schizosaccharomyces_pombe@Seq_912	121_911	OG206894
CTDK-1 complex	Schizosaccharomyces_pombe@Seq_3737	121_3736	OG3468
CTDK-1 complex	Schizosaccharomyces_pombe@Seq_3913	121_3912	OG3501
CTDK-1 complex	Schizosaccharomyces_pombe@Seq_3947	121_3946	OG4397
Cdc42 GTPase complex	Schizosaccharomyces_pombe@Seq_172	121_171	OG2346
Cdc42 GTPase complex	Schizosaccharomyces_pombe@Seq_2370	121_2369	OG1409
Cdc42 GTPase complex	Schizosaccharomyces_pombe@Seq_241	121_240	OG3144
Cdc42 GTPase complex	Schizosaccharomyces_pombe@Seq_290	121_289	OG1483
Cdc42 GTPase complex	Schizosaccharomyces_pombe@Seq_3484	121_3483	OG4289
Cdc42 GTPase complex	Schizosaccharomyces_pombe@Seq_4944	121_4943	OG2217
Cdc48p-Npl4p-Vms1p AAA ATPase complex	Schizosaccharomyces_pombe@Seq_1489	121_1488	OG1505
Cdc48p-Npl4p-Vms1p AAA ATPase complex	Schizosaccharomyces_pombe@Seq_1814	121_1813	OG4176
Cdc48p-Npl4p-Vms1p AAA ATPase complex	Schizosaccharomyces_pombe@Seq_1879	121_1878	OG3688
Cdc73/Paf1 complex	Schizosaccharomyces_pombe@Seq_1064	121_1063	OG3293
Cdc73/Paf1 complex	Schizosaccharomyces_pombe@Seq_174	121_173	OG3086
Cdc73/Paf1 complex	Schizosaccharomyces_pombe@Seq_4069	121_4068	OG3893
Cdc73/Paf1 complex	Schizosaccharomyces_pombe@Seq_4632	121_4631	OG1903
Cdr2 medial cortical node complex	Schizosaccharomyces_pombe@Seq_279	121_278	OG1552
Cdr2 medial cortical node complex	Schizosaccharomyces_pombe@Seq_3246	121_3245	OG2801
Cdr2 medial cortical node complex	Schizosaccharomyces_pombe@Seq_4223	121_4222	OG2801
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_1139	121_1138	OG4857
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_1921	121_1920	OG3094
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_1964	121_1963	OG2373
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_2001	121_2000	OG220363
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_25	121_24	OG1363
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_2849	121_2848	OG213596
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_2902	121_2901	OG143602
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_3168	121_3167	OG204341
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_3906	121_3905	OG10605
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_4535	121_4534	OG122737
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_4728	121_4727	OG1453
Clr6 histone deacetylase complex I''	Schizosaccharomyces_pombe@Seq_5088	121_5087	OG4826
Ctf18 RFC-like complex	Schizosaccharomyces_pombe@Seq_1686	121_1685	OG2330
Ctf18 RFC-like complex	Schizosaccharomyces_pombe@Seq_2563	121_2562	OG2291
Ctf18 RFC-like complex	Schizosaccharomyces_pombe@Seq_326	121_325	OG2996
Ctf18 RFC-like complex	Schizosaccharomyces_pombe@Seq_3343	121_3342	OG4443
Ctf18 RFC-like complex	Schizosaccharomyces_pombe@Seq_3977	121_3976	OG81895
Ctf18 RFC-like complex	Schizosaccharomyces_pombe@Seq_4556	121_4555	OG2839
Ctf18 RFC-like complex	Schizosaccharomyces_pombe@Seq_4772	121_4771	OG2883
Cul3-RING ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_3567	121_3566	OG2623
Cul4-RING E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_2159	121_2158	OG12517
Cul4-RING E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_2947	121_2946	OG7676
Cul4-RING E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_3263	121_3262	OG5691
Cul4-RING E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_3419	121_3418	OG4209
Cul4-RING E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_4045	121_4044	OG11162
Cul4-RING E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_461	121_460	OG7859
Cul8-RING ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_2550	121_2549	OG12497
DASH complex	Schizosaccharomyces_pombe@Seq_1065	121_1064	OG4359
DASH complex	Schizosaccharomyces_pombe@Seq_1569	121_1568	OG5079
DASH complex	Schizosaccharomyces_pombe@Seq_1582	121_1581	OG4135
DASH complex	Schizosaccharomyces_pombe@Seq_195	121_194	OG5406
DASH complex	Schizosaccharomyces_pombe@Seq_2154	121_2153	OG118211
DASH complex	Schizosaccharomyces_pombe@Seq_2455	121_2454	OG5084
DASH complex	Schizosaccharomyces_pombe@Seq_3230	121_3229	OG5135
DASH complex	Schizosaccharomyces_pombe@Seq_3295	121_3294	OG5184
DASH complex	Schizosaccharomyces_pombe@Seq_3910	121_3909	OG14388
DASH complex	Schizosaccharomyces_pombe@Seq_428	121_427	OG3434
DNA helicase A complex	Schizosaccharomyces_pombe@Seq_1982	121_1981	OG2454
DNA ligase IV complex	Schizosaccharomyces_pombe@Seq_2838	121_2837	OG192363
DNA ligase IV complex	Schizosaccharomyces_pombe@Seq_3284	121_3283	OG2668
DNA ligase IV complex	Schizosaccharomyces_pombe@Seq_4002	121_4001	OG214183
DNA replication factor A complex	Schizosaccharomyces_pombe@Seq_1280	121_1279	OG2220
DNA replication factor A complex	Schizosaccharomyces_pombe@Seq_2458	121_2457	OG4022
DNA replication factor A complex	Schizosaccharomyces_pombe@Seq_4129	121_4128	OG4607
DPS complex	Schizosaccharomyces_pombe@Seq_2287	121_2286	OG10802
DPS complex	Schizosaccharomyces_pombe@Seq_306	121_305	OG2143
DPS complex	Schizosaccharomyces_pombe@Seq_4357	121_4356	OG1452
DSIF complex	Schizosaccharomyces_pombe@Seq_3656	121_3655	OG2342
DSIF complex	Schizosaccharomyces_pombe@Seq_75	121_74	OG4093
Dbf4-dependent protein kinase complex	Schizosaccharomyces_pombe@Seq_189	121_188	OG3951
Dbf4-dependent protein kinase complex	Schizosaccharomyces_pombe@Seq_4233	121_4232	OG1775
Dcp1-Dcp2 complex	Schizosaccharomyces_pombe@Seq_1158	121_1157	OG1818
Dcp1-Dcp2 complex	Schizosaccharomyces_pombe@Seq_2182	121_2181	OG66892
Dcp1-Dcp2 complex	Schizosaccharomyces_pombe@Seq_2243	121_2242	OG13664
Ddb1-Ckn1 complex	Schizosaccharomyces_pombe@Seq_461	121_460	OG7859
Ddb1-Ckn1 complex	Schizosaccharomyces_pombe@Seq_4849	121_4848	OG3613
Ddb1-Wdr21 complex	Schizosaccharomyces_pombe@Seq_2159	121_2158	OG12517
Ddb1-Wdr21 complex	Schizosaccharomyces_pombe@Seq_461	121_460	OG7859
Dom34-Hbs1 complex	Schizosaccharomyces_pombe@Seq_2673	121_2672	OG2417
Dom34-Hbs1 complex	Schizosaccharomyces_pombe@Seq_330	121_329	OG1117
Dsc E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_1218	121_1217	OG2476
Dsc E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_1231	121_1230	OG4092
Dsc E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_2540	121_2539	OG3532
Dsc E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_3527	121_3526	OG7866
Dsc E3 ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_366	121_365	OG3064
EKC/KEOPS complex	Schizosaccharomyces_pombe@Seq_1326	121_1325	OG115087
EKC/KEOPS complex	Schizosaccharomyces_pombe@Seq_2043	121_2042	OG2613
EKC/KEOPS complex	Schizosaccharomyces_pombe@Seq_2808	121_2807	OG3997
EKC/KEOPS complex	Schizosaccharomyces_pombe@Seq_4187	121_4186	OG4626
EKC/KEOPS complex	Schizosaccharomyces_pombe@Seq_914	121_913	OG3649
ELL-EAF complex	Schizosaccharomyces_pombe@Seq_2218	121_2217	OG118159
ELL-EAF complex	Schizosaccharomyces_pombe@Seq_695	121_694	OG7627
ER membrane protein complex	Schizosaccharomyces_pombe@Seq_1076	121_1075	OG6931
ER membrane protein complex	Schizosaccharomyces_pombe@Seq_1618	121_1617	OG2943
ER membrane protein complex	Schizosaccharomyces_pombe@Seq_1786	121_1785	OG3931
ER membrane protein complex	Schizosaccharomyces_pombe@Seq_179	121_178	OG2344
ER membrane protein complex	Schizosaccharomyces_pombe@Seq_2267	121_2266	OG3249
ER membrane protein complex	Schizosaccharomyces_pombe@Seq_2963	121_2962	OG104512
ER membrane protein complex	Schizosaccharomyces_pombe@Seq_4721	121_4720	OG3977
ERMES complex	Schizosaccharomyces_pombe@Seq_4222	121_4221	OG3314
ERMES complex	Schizosaccharomyces_pombe@Seq_4358	121_4357	OG3220
ERMES complex	Schizosaccharomyces_pombe@Seq_4925	121_4924	OG2368
ERMES complex	Schizosaccharomyces_pombe@Seq_5004	121_5003	OG2158
ERMES complex	Schizosaccharomyces_pombe@Seq_572	121_571	OG4455
ESCRT I complex	Schizosaccharomyces_pombe@Seq_2859	121_2858	OG85849
ESCRT I complex	Schizosaccharomyces_pombe@Seq_2892	121_2891	OG3628
ESCRT II complex	Schizosaccharomyces_pombe@Seq_3221	121_3220	OG3705
ESCRT II complex	Schizosaccharomyces_pombe@Seq_3321	121_3320	OG3324
ESCRT II complex	Schizosaccharomyces_pombe@Seq_40	121_39	OG2800
ESCRT III complex	Schizosaccharomyces_pombe@Seq_1723	121_1722	OG3239
ESCRT III complex	Schizosaccharomyces_pombe@Seq_2228	121_2227	OG4051
ESCRT III complex	Schizosaccharomyces_pombe@Seq_4230	121_4229	OG2559
ESCRT III complex	Schizosaccharomyces_pombe@Seq_4418	121_4417	OG2789
ESCRT III complex	Schizosaccharomyces_pombe@Seq_565	121_564	OG2203
ESCRT III complex	Schizosaccharomyces_pombe@Seq_672	121_671	OG4072
ESCRT-0 complex	Schizosaccharomyces_pombe@Seq_1966	121_1965	OG3181
ESCRT-0 complex	Schizosaccharomyces_pombe@Seq_4667	121_4666	OG1894
Elg1 RFC-like complex	Schizosaccharomyces_pombe@Seq_1686	121_1685	OG2330
Elg1 RFC-like complex	Schizosaccharomyces_pombe@Seq_2563	121_2562	OG2291
Elg1 RFC-like complex	Schizosaccharomyces_pombe@Seq_3159	121_3158	OG12230
Elg1 RFC-like complex	Schizosaccharomyces_pombe@Seq_326	121_325	OG2996
Elg1 RFC-like complex	Schizosaccharomyces_pombe@Seq_4556	121_4555	OG2839
Elongator holoenzyme complex	Schizosaccharomyces_pombe@Seq_1293	121_1292	OG2632
Elongator holoenzyme complex	Schizosaccharomyces_pombe@Seq_1453	121_1452	OG2251
Elongator holoenzyme complex	Schizosaccharomyces_pombe@Seq_1918	121_1917	OG12491
Elongator holoenzyme complex	Schizosaccharomyces_pombe@Seq_2098	121_2097	OG1723
Elongator holoenzyme complex	Schizosaccharomyces_pombe@Seq_2192	121_2191	OG1885
Elongator holoenzyme complex	Schizosaccharomyces_pombe@Seq_3024	121_3023	OG2414
F-actin capping protein complex	Schizosaccharomyces_pombe@Seq_351	121_350	OG4064
F-actin capping protein complex	Schizosaccharomyces_pombe@Seq_4591	121_4590	OG3889
FACT complex	Schizosaccharomyces_pombe@Seq_2551	121_2550	OG2063
FACT complex	Schizosaccharomyces_pombe@Seq_2659	121_2658	OG2169
FANCM-MHF complex	Schizosaccharomyces_pombe@Seq_1061	121_1060	OG2016
FANCM-MHF complex	Schizosaccharomyces_pombe@Seq_3453	121_3452	OG4681
FANCM-MHF complex	Schizosaccharomyces_pombe@Seq_3477	121_3476	OG126312
FAR/SIN/STRIPAK complex	Schizosaccharomyces_pombe@Seq_1563	121_1562	OG7480
FAR/SIN/STRIPAK complex	Schizosaccharomyces_pombe@Seq_1831	121_1830	OG182849
FAR/SIN/STRIPAK complex	Schizosaccharomyces_pombe@Seq_2390	121_2389	OG3808
FAR/SIN/STRIPAK complex	Schizosaccharomyces_pombe@Seq_3631	121_3630	OG1535
FAR/SIN/STRIPAK complex	Schizosaccharomyces_pombe@Seq_4374	121_4373	OG3348
FAR/SIN/STRIPAK complex	Schizosaccharomyces_pombe@Seq_4738	121_4737	OG2446
G protein-coupled receptor homodimeric complex	Schizosaccharomyces_pombe@Seq_1892	121_1891	OG3233
GARP complex	Schizosaccharomyces_pombe@Seq_2012	121_2011	OG2122
GARP complex	Schizosaccharomyces_pombe@Seq_2103	121_2102	OG7987
GARP complex	Schizosaccharomyces_pombe@Seq_2964	121_2963	OG3536
GARP complex	Schizosaccharomyces_pombe@Seq_4786	121_4785	OG1958
GATOR1 complex	Schizosaccharomyces_pombe@Seq_1178	121_1177	OG3561
GATOR1 complex	Schizosaccharomyces_pombe@Seq_4430	121_4429	OG3106
GATOR1 complex	Schizosaccharomyces_pombe@Seq_547	121_546	OG1504
GET complex	Schizosaccharomyces_pombe@Seq_1578	121_1577	OG3284
GET complex	Schizosaccharomyces_pombe@Seq_1667	121_1666	OG8195
GET complex	Schizosaccharomyces_pombe@Seq_4402	121_4401	OG2441
GID complex	Schizosaccharomyces_pombe@Seq_1890	121_1889	OG5233
GID complex	Schizosaccharomyces_pombe@Seq_2593	121_2592	OG3194
GID complex	Schizosaccharomyces_pombe@Seq_3028	121_3027	OG2599
GID complex	Schizosaccharomyces_pombe@Seq_3967	121_3966	OG4542
GID complex	Schizosaccharomyces_pombe@Seq_4322	121_4321	OG4717
GID complex	Schizosaccharomyces_pombe@Seq_541	121_540	OG4594
GID complex	Schizosaccharomyces_pombe@Seq_634	121_633	OG4752
GINS complex	Schizosaccharomyces_pombe@Seq_2211	121_2210	OG3307
GINS complex	Schizosaccharomyces_pombe@Seq_253	121_252	OG3283
GINS complex	Schizosaccharomyces_pombe@Seq_3255	121_3254	OG2873
GINS complex	Schizosaccharomyces_pombe@Seq_4526	121_4525	OG3537
GPI-anchor transamidase complex	Schizosaccharomyces_pombe@Seq_1102	121_1101	OG3912
GPI-anchor transamidase complex	Schizosaccharomyces_pombe@Seq_3543	121_3542	OG2872
GPI-anchor transamidase complex	Schizosaccharomyces_pombe@Seq_3934	121_3933	OG1948
GPI-anchor transamidase complex	Schizosaccharomyces_pombe@Seq_3961	121_3960	OG2254
GPI-anchor transamidase complex	Schizosaccharomyces_pombe@Seq_524	121_523	OG2568
Golgi transport complex	Schizosaccharomyces_pombe@Seq_2031	121_2030	OG170750
Golgi transport complex	Schizosaccharomyces_pombe@Seq_2358	121_2357	OG111751
Golgi transport complex	Schizosaccharomyces_pombe@Seq_3042	121_3041	OG3765
Golgi transport complex	Schizosaccharomyces_pombe@Seq_4563	121_4562	OG3868
Golgi transport complex	Schizosaccharomyces_pombe@Seq_563	121_562	OG2492
Golgi transport complex	Schizosaccharomyces_pombe@Seq_783	121_782	OG2115
Golgi transport complex	Schizosaccharomyces_pombe@Seq_979	121_978	OG2659
Gtr1-Gtr2 GTPase complex	Schizosaccharomyces_pombe@Seq_1496	121_1495	OG2931
Gtr1-Gtr2 GTPase complex	Schizosaccharomyces_pombe@Seq_4989	121_4988	OG2929
HIR complex	Schizosaccharomyces_pombe@Seq_2286	121_2285	OG4955
HIR complex	Schizosaccharomyces_pombe@Seq_396	121_395	OG4087
HIR complex	Schizosaccharomyces_pombe@Seq_3960	121_3959	OG3301
HIR complex	Schizosaccharomyces_pombe@Seq_4399	121_4398	OG3972
HULC complex	Schizosaccharomyces_pombe@Seq_2577	121_2576	OG172326
HULC complex	Schizosaccharomyces_pombe@Seq_2760	121_2759	OG3182
HULC complex	Schizosaccharomyces_pombe@Seq_4139	121_4138	OG3182
HULC complex	Schizosaccharomyces_pombe@Seq_994	121_993	OG3492
Holliday junction resolvase complex	Schizosaccharomyces_pombe@Seq_1008	121_1007	OG7259
Holliday junction resolvase complex	Schizosaccharomyces_pombe@Seq_599	121_598	OG3963
Hrd1p ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_1489	121_1488	OG1505
Hrd1p ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_1765	121_1764	OG4220
Hrd1p ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_1814	121_1813	OG4176
Hrd1p ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_2861	121_2860	OG2998
Hrd1p ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_4242	121_4241	OG3875
Hrd1p ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_4281	121_4280	OG2940
Hrd1p ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_452	121_451	OG3550
Hrd1p ubiquitin ligase complex	Schizosaccharomyces_pombe@Seq_876	121_875	OG3886
Ino80 complex	Schizosaccharomyces_pombe@Seq_1370	121_1369	OG2118
Ino80 complex	Schizosaccharomyces_pombe@Seq_1539	121_1538	OG13708
Ino80 complex	Schizosaccharomyces_pombe@Seq_2250	121_2249	OG2949
Ino80 complex	Schizosaccharomyces_pombe@Seq_2674	121_2673	OG7111
Ino80 complex	Schizosaccharomyces_pombe@Seq_2679	121_2678	OG1721
Ino80 complex	Schizosaccharomyces_pombe@Seq_2697	121_2696	OG1464
Ino80 complex	Schizosaccharomyces_pombe@Seq_2795	121_2794	OG19837
Ino80 complex	Schizosaccharomyces_pombe@Seq_3124	121_3123	OG3887
Ino80 complex	Schizosaccharomyces_pombe@Seq_3352	121_3351	OG97972
Ino80 complex	Schizosaccharomyces_pombe@Seq_3880	121_3879	OG81339
Ino80 complex	Schizosaccharomyces_pombe@Seq_389	121_388	OG1896
Ino80 complex	Schizosaccharomyces_pombe@Seq_3982	121_3981	OG195110
Ino80 complex	Schizosaccharomyces_pombe@Seq_4137	121_4136	OG3768
