"species"	"expanded"	"extracted"	"ratio_of_expanded_to_extracted"
"yHMPu5000034933_Kuraishia_molischiana"	7	8	0.875
"yHAB147_Kazachstania_taianensis"	8	48	0.166666666666667
"Ogataea_polymorpha"	3	35	0.0857142857142857
"yHAB154_Kazachstania_transvaalensis"	1	37	0.027027027027027
"yHMPu5000035684_Kloeckera_hatyaiensis"	5	7	0.714285714285714
"yHMPu5000041678_Debaryomyces_prosopidis"	46	53	0.867924528301887
"yHMPu5000034760_Lipomyces_kononenkoae"	6	11	0.545454545454545
"yHMPu5000035297_Priceomyces_castillae"	18	40	0.45
"Lachancea_fermentati"	4	13	0.307692307692308
"yHMPu5000034613_Saturnispora_serradocipensis"	35	56	0.625
"yHMPu5000035301_Pichia_terricola"	23	18	1.27777777777778
"Saccharomyces_kudriavzevii"	2	55	0.0363636363636364
"yHMPu5000041693_Debaryomyces_nepalensis"	14	63	0.222222222222222
"yHMPu5000035271_Wickerhamomyces_bovis"	13	41	0.317073170731707
"Torulaspora_delbrueckii"	0	28	0
"yHMPu5000035640_Yamadazyma_philogaea"	9	58	0.155172413793103
"yHMPu5000026197_Brettanomyces_custersianus"	11	42	0.261904761904762
"yHMPu5000034637_Ogataea_populiabae"	8	31	0.258064516129032
"Candida_infanticola"	9	38	0.236842105263158
"Candida_boidinii_JCM9604"	18	34	0.529411764705882
"Zygosaccharomyces_rouxii"	4	29	0.137931034482759
"yHMPu5000034761_Lipomyces_lipofer"	36	8	4.5
"yHMPu5000034999_Cephaloascus_fragrans"	10	18	0.555555555555556
"yHMPu5000034604_Sporopachydermia_lactativora"	4	8	0.5
"yHMPu5000034988_Candida_fructus"	17	33	0.515151515151515
"yHMPu5000035667_Kurtzmaniella_cleridarum"	14	14	1
"Saccharomyces_arboricola"	4	47	0.0851063829787234
"Wickerhamomyces_anomalus"	22	15	1.46666666666667
"Candida_glabrata"	3	6	0.5
"yHMPu5000035296_Priceomyces_carsonii"	25	54	0.462962962962963
"yHMPu5000034610_Saturnispora_hagleri"	28	28	1
"yHMPu5000035641_Yamadazyma_scolyti"	18	99	0.181818181818182
"Ambrosiozyma_kashinagacola"	8	21	0.380952380952381
"yHMPu5000034623_Pichia_norvegensis"	16	45	0.355555555555556
"yHMPu5000034749_Lipomyces_mesembrius"	3	13	0.230769230769231
"Lachancea_mirantina"	7	39	0.179487179487179
"yHMPu5000034671_Blastobotrys_peoriensis"	4	8	0.5
"Metschnikowia_shivogae"	20	31	0.645161290322581
"Candida_arabinofermentans"	5	32	0.15625
"yHMPu5000034974_Deakozyma_indianensis"	3	13	0.230769230769231
"Kuraishia_capsulata"	11	9	1.22222222222222
"yHMPu5000034978_Cyberlindnera_mrakii"	4	12	0.333333333333333
"yHMPu5000034891_Ogataea_pini"	7	11	0.636363636363636
"yHMPu5000035318_Hyphopichia_heimii"	14	16	0.875
"yHAB132_Kazachstania_martiniae"	13	40	0.325
"yHMPu5000041840_Candida_wancherniae"	30	84	0.357142857142857
"yHMPu5000035695_Hanseniaspora_pseudoguilliermondii"	1	9	0.111111111111111
"Eremothecium_coryli"	1	17	0.0588235294117647
"yHMPu5000035011_Candida_pyralidae"	10	51	0.196078431372549
"yHMPu5000034673_Blastobotrys_nivea"	51	15	3.4
"Pichia_membranifaciens"	12	53	0.226415094339623
"yHMPu5000034998_Cephaloascus_albidus"	18	23	0.782608695652174
"yHAB166_Kazachstania_yakushimaensis"	20	10	2
"yHMPu5000035261_Candida_ponderosae"	26	33	0.787878787878788
"Kazachstania_africana"	11	27	0.407407407407407
"yHMPu5000034892_Ogataea_pilisensis"	11	17	0.647058823529412
"yHMPu5000034660_Diddensiella_caesifluorescens"	7	27	0.259259259259259
"Alloascoidea_hylecoeti"	123	42	2.92857142857143
"Metschnikowia_similis"	42	46	0.91304347826087
"Wickerhamiella_domercqiae"	6	59	0.101694915254237
"Metschnikowia_kipukae"	35	64	0.546875
"yHMPu5000034973_Danielozyma_ontarioensis"	12	64	0.1875
"yHMPu5000026274_Komagataella_populi"	4	9	0.444444444444444
"Tetrapisispora_blattae"	8	13	0.615384615384615
"Lodderomyces_elongisporus"	20	24	0.833333333333333
"yHMPu5000026137_Ambrosiozyma_ambrosiae"	11	25	0.44
"Lachancea_fantastica"	2	11	0.181818181818182
"Yarrowia_lipolytica"	1	5	0.2
"yHMPu5000035047_Barnettozyma_pratensis"	8	21	0.380952380952381
"Lachancea_dasiensis"	12	20	0.6
"yHMPu5000035703_Cyberlindnera_americana"	7	16	0.4375
"yHMPu5000034605_Spencermartinsiella_europaea"	18	25	0.72
"yHMPu5000034952_Citeromyces_siamensis"	210	13	16.1538461538462
"Zygosaccharomyces_bailii"	1	25	0.04
"yHMPu5000034963_Hanseniaspora_clermontiae"	2	11	0.181818181818182
"Kluyveromyces_marxianus"	1	14	0.0714285714285714
"yHMPu5000034950_Citeromyces_hawaiiensis"	16	32	0.5
"yHMPu5000035032_Candida_gatunensis"	7	74	0.0945945945945946
"Tortispora_caseinolytica"	1	23	0.0434782608695652
"yHMPu5000035022_Candida_emberorum"	9	34	0.264705882352941
"Candida_homilentoma"	16	29	0.551724137931034
"Wickerhamia_fluorescens"	14	56	0.25
"yHMPu5000034881_Torulaspora_pretoriensis"	68	13	5.23076923076923
"Lachancea_thermotolerans"	2	13	0.153846153846154
"Scheffersomyces_stipitis"	16	20	0.8
"Lipomyces_starkeyi"	9	6	1.5
"Spathaspora_hagerdaliae"	24	21	1.14285714285714
"yHMPu5000035689_Candida_mycetangii"	11	20	0.55
"yHMPu5000035629_Yueomyces_sinensis"	7	29	0.241379310344828
"yHMPu5000034674_Blastobotrys_muscicola"	15	42	0.357142857142857
"yHMPu5000035252_Yamadazyma_nakazawae"	16	27	0.592592592592593
"Metschnikowia_cerradonensis"	37	48	0.770833333333333
"yHMPu5000026142_Citeromyces_matritensis"	28	28	1
"yHMPu5000034883_Peterozyma_xylosa"	7	13	0.538461538461538
"yHMPu5000035650_Trigonopsis_variabilis"	10	10	1
"yHAB153_Kazachstania_rosinii"	5	27	0.185185185185185
"yHMPu5000035268_Wickerhamomyces_hampshirensis"	22	32	0.6875
"Sporopachydermia_quercuum"	11	3	3.66666666666667
"yHMPu5000035242_Zygoascus_ofunaensis"	11	18	0.611111111111111
"Scheffersomyces_lignosus"	23	13	1.76923076923077
"Metschnikowia_borealis"	39	52	0.75
"yHMPu5000041833_Candida_tammaniensis"	21	37	0.567567567567568
"yHMPu5000035681_Candida_gotoi"	18	30	0.6
"yHMPu5000035302_Candida_fragi"	25	28	0.892857142857143
"yHMPu5000034629_Pichia_exigua"	13	65	0.2
"Candida_orthopsilosis"	6	20	0.3
"Metschnikowia_drakensbergensis"	19	43	0.441860465116279
"yHMPu5000034648_Candida_restingae"	12	22	0.545454545454545
"Candida_sojae"	22	63	0.349206349206349
"Hyphopichia_burtonii"	16	72	0.222222222222222
"yHMPu5000035282_Trigonopsis_vinaria"	10	13	0.769230769230769
"yHMPu5000035286_Candida_azyma"	5	6	0.833333333333333
"Lachancea_kluyveri"	13	18	0.722222222222222
"Vanderwaltozyma_polyspora"	17	16	1.0625
"yHMPu5000034876_Tetrapisispora_iriomotensis"	32	16	2
"yHMPu5000034669_Blastobotrys_raffinofermentans"	17	4	4.25
"yHMPu5000035672_Phaffomyces_thermotolerans"	3	15	0.2
"Spathaspora_arborariae"	11	33	0.333333333333333
"yHAB143_Kazachstania_siamensis"	6	26	0.230769230769231
"Pachysolen_tannophilus"	14	38	0.368421052631579
"Candida_tropicalis"	21	21	1
"yHMPu5000035044_Barnettozyma_californica"	12	13	0.923076923076923
"yHMPu5000035243_Zygoascus_meyerae"	13	8	1.625
"yHMPu5000034612_Saturnispora_saitoi"	27	50	0.54
"yHMPu5000034887_Ogataea_trehaloabstinens"	12	20	0.6
"Lachancea_quebecensis"	3	22	0.136363636363636
"yHMPu5000034758_Lipomyces_japonicus"	13	10	1.3
"yHMPu5000035244_Candida_incommunis"	10	9	1.11111111111111
"yHAB160_Kazachstania_kunashirensis"	17	20	0.85
"Nakazawaea_peltata"	9	14	0.642857142857143
"yHMPu5000034615_Saturnispora_zaruensis"	30	27	1.11111111111111
"yHMPu5000034646_Wickerhamiella_cacticola"	37	43	0.86046511627907
"yHMPu5000034902_Ogataea_minuta"	7	61	0.114754098360656
"yHMPu5000026145_Ambrosiozyma_vanderkliftii"	10	13	0.769230769230769
"Lachancea_nothofagi"	4	19	0.210526315789474
"yHMPu5000034748_Lipomyces_oligophaga"	5	14	0.357142857142857
"yHMPu5000035665_Middelhovenomyces_tepae"	21	26	0.807692307692308
"yHMPu5000041863_Candida_gorgasii"	25	40	0.625
"yHMPu5000035018_Candida_canberraensis"	21	20	1.05
"Tetrapisispora_phaffii"	0	10	0
"yHMPu5000034875_Tetrapisispora_fleetii"	0	11	0
"Naumovozyma_castellii"	5	33	0.151515151515152
"Candida_intermedia"	24	35	0.685714285714286
"yHMPu5000035639_Wickerhamomyces_canadensis"	6	19	0.315789473684211
"Kluyveromyces_lactis"	4	5	0.8
"yHMPu5000034754_Lipomyces_arxii"	8	6	1.33333333333333
"Ogataea_parapolymorpha"	7	11	0.636363636363636
"Metschnikowia_matae_maris"	42	43	0.976744186046512
"yHMPu5000034655_Botryozyma_nematodophila"	58	25	2.32
"yHMPu5000034947_Ambrosiozyma_philentoma"	25	25	1
"yHMPu5000035662_Meyerozyma_caribbica"	9	31	0.290322580645161
"yHMPu5000034979_Cyberlindnera_misumaiensis"	6	18	0.333333333333333
"Metschnikowia_bowlesiae"	44	39	1.12820512820513
"Candida_sorboxylosa"	10	62	0.161290322580645
"Arxula_adeninivorans"	0	6	0
"yHMPu5000035033_Candida_cretensis"	9	34	0.264705882352941
"yHMPu5000041713_Debaryomyces_maramus"	22	54	0.407407407407407
"yHMPu5000034710_Kluyveromyces_dobzhanskii"	1	11	0.0909090909090909
"yHMPu5000034903_Ogataea_naganishii"	10	23	0.434782608695652
"yHMPu5000035654_Tortispora_ganteri"	6	2	3
"yHMPu5000034597_Candida_stellimalicola"	6	12	0.5
"Nadsonia_fulvescens_var_elongata"	2	8	0.25
"Metschnikowia_dekortum"	29	49	0.591836734693878
"yHMPu5000035658_Starmera_amethionina"	13	30	0.433333333333333
"Eremothecium_sinecaudum"	5	32	0.15625
"yHMPu5000035041_Ambrosiozyma_pseudovanderkliftii"	9	7	1.28571428571429
"yHMPu5000034742_Lipomyces_suomiensis"	14	12	1.16666666666667
"yHMPu5000035671_Phaffomyces_antillensis"	5	13	0.384615384615385
"yHMPu5000034631_Martiniozyma_abiesophila"	66	43	1.53488372093023
"yHMPu5000035325_Cyberlindnera_petersonii"	6	26	0.230769230769231
"Saccharomyces_cerevisiae"	18	4	4.5
"Nakaseomyces_bacillisporus"	4	23	0.173913043478261
"Hanseniaspora_valbyensis"	21	12	1.75
"Kazachstania_naganishii"	8	28	0.285714285714286
"yHMPu5000034636_Ogataea_nitratoaversa"	6	12	0.5
"Yarrowia_deformans"	2	1	2
"yHMPu5000035040_Ambrosiozyma_maleeae"	9	35	0.257142857142857
"yHMPu5000035688_Cyberlindnera_xylosilytica"	30	18	1.66666666666667
"Nakaseomyces_bracarensis"	3	10	0.3
"yHMPu5000034986_Candida_oregonensis"	28	69	0.405797101449275
"yHMPu5000035691_Candida_salmanticensis"	12	27	0.444444444444444
"yHMPu5000034627_Pichia_heedii"	12	22	0.545454545454545
"yHMPu5000034667_Blastobotrys_serpentis"	17	15	1.13333333333333
"yHAB164_Kazachstania_aerobia"	5	15	0.333333333333333
"Spathaspora_girioi"	21	29	0.724137931034483
"Nakaseomyces_delphensis"	2	14	0.142857142857143
"Hanseniaspora_vinae"	3	10	0.3
"Lachancea_waltii"	19	30	0.633333333333333
"yHAB158_Kazachstania_viticola"	25	31	0.806451612903226
"Metschnikowia_santaceciliae"	37	52	0.711538461538462
"yHMPu5000035677_Kodamaea_ohmeri"	17	27	0.62962962962963
"Candida_versatilis"	29	24	1.20833333333333
"yHMPu5000026256_Zygotorulaspora_mrakii"	2	18	0.111111111111111
"Cyberlindnera_jadinii"	15	14	1.07142857142857
"Candida_albicans"	25	1	25
"yHAB155_Kazachstania_spencerorum"	30	36	0.833333333333333
"Cyberlindnera_fabianii_JCM3601"	8	14	0.571428571428571
"yHMPu5000035046_Barnettozyma_populi"	5	16	0.3125
"yHMPu5000041824_Debaryomyces_subglobosus"	12	25	0.48
"yHMPu5000034625_Pichia_kudriavzevii"	25	34	0.735294117647059
"yHMPu5000034622_Pichia_occidentalis"	18	11	1.63636363636364
