sce:YNL113W	ko:K03020
sce:YGR061C	ko:K01952
sce:YGR085C	ko:K02868
sce:YGR094W	ko:K01873
sce:YGR108W	ko:K02220
sce:YGR118W	ko:K02973
sce:YGR124W	ko:K01953
sce:YGR135W	ko:K02728
sce:YGR144W	ko:K03146
sce:YGR148C	ko:K02896
sce:YGR155W	ko:K01697
sce:YGR162W	ko:K03260
sce:YGR170W	ko:K01613
sce:YGR175C	ko:K00511
sce:YGR177C	ko:K00664
sce:YGR185C	ko:K01866
sce:YGR186W	ko:K03138
sce:YGR192C	ko:K00134
sce:YGR202C	ko:K00968
sce:YGR208W	ko:K01079
sce:YGR214W	ko:K02998
sce:YGR240C	ko:K00850
sce:YGR248W	ko:K01057
sce:YGR253C	ko:K02729
sce:YGR254W	ko:K01689
sce:YGR256W	ko:K00033
sce:YGR267C	ko:K01495
sce:YGR274C	ko:K03125
sce:YGR282C	ko:K01210
sce:YHL001W	ko:K02875
sce:YHL011C	ko:K00948
sce:YHL012W	ko:K00963
sce:YHL015W	ko:K02969
sce:YHL032C	ko:K00864
sce:YHL033C	ko:K02936
sce:YHR010W	ko:K02901
sce:YHR011W	ko:K01875
sce:YHR018C	ko:K01755
sce:YHR019C	ko:K01893
sce:YDR429C	ko:K03248
sce:YDR447C	ko:K02962
sce:YDR450W	ko:K02964
sce:YDR471W	ko:K02901
sce:YDR487C	ko:K02858
sce:YDR500C	ko:K02922
sce:YDR530C	ko:K00988
sce:YEL011W	ko:K00700
sce:YEL021W	ko:K01591
sce:YEL032W	ko:K02541
sce:YEL034W	ko:K03263
sce:YEL042W	ko:K01526
sce:YEL046C	ko:K01620
sce:YEL054C	ko:K02870
sce:YEL058W	ko:K01836
sce:YEL060C	ko:K01336
sce:YER003C	ko:K01809
sce:YER012W	ko:K02734
sce:YER014W	ko:K00231
sce:YER015W	ko:K01897
sce:YER021W	ko:K03033
sce:YER023W	ko:K00286
sce:YER025W	ko:K03242
sce:YER043C	ko:K01251
sce:YER052C	ko:K00928
sce:YER056C-A	ko:K02915
sce:YER065C	ko:K01637
sce:YER073W	ko:K00128
sce:YER074W	ko:K02974
sce:YER081W	ko:K00058
sce:YER087W	ko:K01881
sce:YER090W	ko:K01657
sce:YER091C	ko:K00549
sce:YER094C	ko:K02735
sce:YER099C	ko:K00948
sce:YER102W	ko:K02995
sce:YER117W	ko:K02894
sce:YER131W	ko:K02976
sce:YER141W	ko:K02259
sce:YER148W	ko:K03120
sce:YER166W	ko:K01530
sce:YER170W	ko:K00939
sce:YER178W	ko:K00161
sce:YFL009W	ko:K03361
sce:YFL017C	ko:K00621
sce:YFL018C	ko:K00382
sce:YFL022C	ko:K01889
sce:YFL034C-A	ko:K02891
sce:YFL053W	ko:K00863
sce:YFR004W	ko:K03030
sce:YFR030W	ko:K00380
sce:YFR031C-A	ko:K02938
sce:YFR032C-A	ko:K02905
sce:YFR047C	ko:K00767
sce:YFR050C	ko:K02736
sce:YFR052W	ko:K03031
sce:YFR053C	ko:K00844
sce:YFR055W	ko:K01760
sce:YGL006W	ko:K01537
sce:YGL011C	ko:K02730
sce:YGL017W	ko:K00685
sce:YGL027C	ko:K01228
sce:YGL030W	ko:K02908
sce:YGL031C	ko:K02896
sce:YGL040C	ko:K01698
sce:YGL043W	ko:K03145
sce:YGL048C	ko:K03066
sce:YGL049C	ko:K03260
sce:YGL070C	ko:K03017
sce:YGL076C	ko:K02937
sce:YGL103W	ko:K02900
sce:YGL112C	ko:K03131
sce:YGL116W	ko:K03363
sce:YJL164C	ko:K04345
sce:YPL203W	ko:K04345
sce:YFR025C	ko:K04486
sce:YHR189W	ko:K01056
sce:YHR020W	ko:K01881
sce:YHR021C	ko:K02978
sce:YHR024C	ko:K01412
sce:YHR027C	ko:K03028
sce:YHR028C	ko:K01282
sce:YHR037W	ko:K00294
sce:YHR038W	ko:K02838
sce:YHR042W	ko:K00327
sce:YHR043C	ko:K01111
sce:YHR044C	ko:K01111
sce:YHR051W	ko:K02264
sce:YHR057C	ko:K01802
sce:YHR072W	ko:K01852
sce:YHR091C	ko:K01887
sce:YHR118C	ko:K02608
sce:YHR128W	ko:K00761
sce:YHR141C	ko:K02929
sce:YHR143W-A	ko:K03009
sce:YHR144C	ko:K01493
sce:YHR163W	ko:K01057
sce:YHR174W	ko:K01689
sce:YHR183W	ko:K00033
sce:YHR190W	ko:K00801
sce:YHR200W	ko:K03029
sce:YHR201C	ko:K01514
sce:YHR203C	ko:K02987
sce:YHR208W	ko:K00826
sce:YHR215W	ko:K01078
sce:YHR216W	ko:K00088
sce:YIL009W	ko:K01897
sce:YIL018W	ko:K02938
sce:YIL021W	ko:K03011
sce:YIL043C	ko:K00326
sce:YIL048W	ko:K01530
sce:YIL052C	ko:K02915
sce:YIL069C	ko:K02974
sce:YIL074C	ko:K00058
sce:YIL075C	ko:K03032
sce:YIL078W	ko:K01868
sce:YIL099W	ko:K01178
sce:YIL111W	ko:K02263
sce:YIL116W	ko:K00817
sce:YIL133C	ko:K02872
sce:YIL148W	ko:K02927
sce:YIL155C	ko:K00111
sce:YIR008C	ko:K02684
sce:YIR027C	ko:K01466
sce:YIR034C	ko:K00290
sce:YJL005W	ko:K01768
sce:YJL030W	ko:K02537
sce:YJL052W	ko:K00134
sce:YJL088W	ko:K00611
sce:YJL102W	ko:K02355
sce:YJL121C	ko:K01783
sce:YJL136C	ko:K02971
sce:YJL138C	ko:K03257
sce:YJL140W	ko:K03012
sce:YJL148W	ko:K03003
sce:YJL153C	ko:K01858
sce:YJL172W	ko:K01293
sce:YJL177W	ko:K02880
sce:YJL189W	ko:K02924
sce:YJL190C	ko:K02957
sce:YJL191W	ko:K02955
sce:YJL194W	ko:K02213
sce:YJR007W	ko:K03237
sce:YBL057C	ko:K04794
sce:YBL087C	ko:K02894
sce:YBL091C	ko:K01265
sce:YBL092W	ko:K02912
sce:YBR001C	ko:K01194
sce:YBR006W	ko:K00135
sce:YBR011C	ko:K01507
sce:YBR023C	ko:K00698
sce:YBR029C	ko:K00981
sce:YBR031W	ko:K02930
sce:YBR035C	ko:K00275
sce:YBR038W	ko:K00698
sce:YBR048W	ko:K02949
sce:YBR060C	ko:K02604
sce:YBR079C	ko:K03254
sce:YBR084C-A	ko:K02885
sce:YBR092C	ko:K01078
sce:YBR111C	ko:K01515
sce:YBR115C	ko:K00143
sce:YBR118W	ko:K03231
sce:YBR121C	ko:K01880
sce:YBR126C	ko:K00697
sce:YBR133C	ko:K02516
sce:YBR135W	ko:K02219
sce:YBR136W	ko:K02543
sce:YBR143C	ko:K03265
sce:YBR154C	ko:K03013
sce:YBR176W	ko:K00606
sce:YBR181C	ko:K02991
sce:YBR189W	ko:K02997
sce:YBR191W	ko:K02889
sce:YBR196C	ko:K01810
sce:YBR198C	ko:K03130
sce:YBR221C	ko:K00162
sce:YBR243C	ko:K01001
sce:YBR244W	ko:K00432
sce:YBR251W	ko:K02988
sce:YBR252W	ko:K01520
sce:YBR256C	ko:K00793
sce:YBR263W	ko:K00600
sce:YBR295W	ko:K01533
sce:YCL018W	ko:K00052
sce:YCL057W	ko:K01405
sce:YCR024C	ko:K01893
sce:YCR031C	ko:K02955
sce:YCR042C	ko:K03128
sce:YCR048W	ko:K00637
sce:YCR069W	ko:K01802
sce:YDL007W	ko:K03062
sce:YDL008W	ko:K03358
sce:YDL020C	ko:K03034
sce:YDL021W	ko:K01834
sce:YDL022W	ko:K00006
sce:YDL024C	ko:K01078
sce:YDL045C	ko:K00953
sce:YDL055C	ko:K00966
sce:YDL061C	ko:K02980
sce:YDL066W	ko:K00031
sce:YDL067C	ko:K02269
sce:YDL075W	ko:K02910
sce:YDL080C	ko:K01568
sce:YDL081C	ko:K02942
sce:YDL082W	ko:K02873
sce:YDL083C	ko:K02960
sce:YDL086W	ko:K01061
sce:YDL095W	ko:K00728
sce:YDL097C	ko:K03036
sce:YDL100C	ko:K01551
sce:YDL103C	ko:K00972
sce:YDL130W	ko:K02942
sce:YDL133C-A	ko:K02928
sce:YDL136W	ko:K02918
sce:YDL140C	ko:K03006
sce:YDL147W	ko:K03035
sce:YDL150W	ko:K03026
sce:YDL174C	ko:K00102
sce:YDL184C	ko:K02928
sce:YDL191W	ko:K02918
sce:YDL200C	ko:K00567
sce:YDL232W	ko:K00730
sce:YDL238C	ko:K01487
sce:YDR001C	ko:K01194
sce:YDR007W	ko:K01817
sce:YDR012W	ko:K02930
sce:YDR019C	ko:K00605
sce:YDR023W	ko:K01875
sce:YDR025W	ko:K02949
sce:YDR045C	ko:K03019
sce:YDR047W	ko:K01599
sce:YDR052C	ko:K02309
sce:YDR058C	ko:K01046
sce:YDR062W	ko:K00654
sce:YDR064W	ko:K02953
sce:YDR111C	ko:K00814
sce:YDR113C	ko:K02627
sce:YDR120C	ko:K00555
sce:YDR145W	ko:K03126
sce:YDR147W	ko:K00894
sce:YDR148C	ko:K00658
sce:YDR155C	ko:K01802
sce:YDR156W	ko:K03001
sce:YDR158W	ko:K00133
sce:YDR167W	ko:K03134
sce:YDR211W	ko:K03240
sce:YDR226W	ko:K00939
sce:YDR232W	ko:K00643
sce:YDR234W	ko:K01705
sce:YDR236C	ko:K00861
sce:YDR242W	ko:K01426
sce:YDR248C	ko:K00851
sce:YDR261C	ko:K01210
sce:YDR268W	ko:K01867
sce:YDR272W	ko:K01069
sce:YDR307W	ko:K00728
sce:YDR311W	ko:K03141
sce:YDR321W	ko:K01424
sce:YDR328C	ko:K03094
sce:YDR341C	ko:K01887
sce:YDR382W	ko:K02943
sce:YDR385W	ko:K03234
sce:YDR394W	ko:K03063
sce:YDR404C	ko:K03015
sce:YDR410C	ko:K00587
sce:YDR418W	ko:K02870
sce:YDR427W	ko:K03039
sce:YLR229C	ko:K04393
sce:YIR028W	ko:K03457
sce:Q0250	ko:K02261
sce:Q0275	ko:K02262
sce:YAL003W	ko:K03232
sce:YAL023C	ko:K00728
sce:YAL035W	ko:K03243
sce:YAL038W	ko:K00873
sce:YAL039C	ko:K01764
sce:YAL044C	ko:K02437
sce:YAL054C	ko:K01895
sce:YAL062W	ko:K00262
sce:YAR015W	ko:K01923
sce:YAR035W	ko:K00624
sce:YBL013W	ko:K00604
sce:YBL015W	ko:K01067
sce:YBL023C	ko:K02540
sce:YBL027W	ko:K02885
sce:YBL039C	ko:K01937
sce:YBL041W	ko:K02732
sce:YBL068W	ko:K00948
sce:YBL072C	ko:K02995
sce:YBL076C	ko:K01870
sce:YBL080C	ko:K02434
sce:YDL090C	ko:K05954
sce:YOL158C	ko:K08197
sce:YJR009C	ko:K00134
sce:YJR010W	ko:K00958
sce:YJR016C	ko:K01687
sce:YJR025C	ko:K00452
sce:YJR032W	ko:K01802
sce:YJR047C	ko:K03263
sce:YJR057W	ko:K00943
sce:YJR063W	ko:K03000
sce:YJR073C	ko:K00550
sce:YJR090C	ko:K03360
sce:YJR094W-A	ko:K02921
sce:YJR103W	ko:K01937
sce:YJR105W	ko:K00856
sce:YJR109C	ko:K01955
sce:YJR123W	ko:K02989
sce:YJR131W	ko:K01230
sce:YJR139C	ko:K00003
sce:YJR143C	ko:K00728
sce:YJR145C	ko:K02987
sce:YJR148W	ko:K00826
sce:YJR153W	ko:K01184
sce:YJR159W	ko:K00008
sce:YKL001C	ko:K00860
sce:YKL006W	ko:K02875
sce:YKL026C	ko:K00432
sce:YKL028W	ko:K03136
sce:YKL029C	ko:K00027
sce:YKL035W	ko:K00963
sce:YKL045W	ko:K02685
sce:YKL058W	ko:K03123
sce:YKL060C	ko:K01624
sce:YKL067W	ko:K00940
sce:YKL081W	ko:K03233
sce:YKL103C	ko:K01268
sce:YKL104C	ko:K00820
sce:YKL127W	ko:K01835
sce:YKL134C	ko:K01410
sce:YKL144C	ko:K03022
sce:YKL145W	ko:K03061
sce:YKL150W	ko:K00326
sce:YKL152C	ko:K01834
sce:YKL156W	ko:K02978
sce:YKL180W	ko:K02880
sce:YKL181W	ko:K00948
sce:YKL184W	ko:K01581
sce:YKL194C	ko:K01868
sce:YKL216W	ko:K00226
sce:YKR026C	ko:K03239
sce:YKR031C	ko:K01115
sce:YKR057W	ko:K02971
sce:YKR059W	ko:K03257
sce:YKR062W	ko:K03137
sce:YKR066C	ko:K00428
sce:YKR094C	ko:K02927
sce:YLL004W	ko:K02605
sce:YLL009C	ko:K02260
sce:YLL018C	ko:K01876
sce:YLL045C	ko:K02936
sce:YLR005W	ko:K03142
sce:YLR029C	ko:K02877
sce:YLR038C	ko:K02267
sce:YLR048W	ko:K02998
sce:YLR058C	ko:K00600
sce:YLR060W	ko:K01890
sce:YLR061W	ko:K02891
sce:YLR069C	ko:K02355
sce:YLR075W	ko:K02866
sce:YLR079W	ko:K03085
sce:YLR089C	ko:K00814
sce:YHL007C	ko:K04409
sce:YLR102C	ko:K03356
sce:YLR127C	ko:K03349
sce:YLR146C	ko:K00802
sce:YLR153C	ko:K01895
sce:YLR155C	ko:K01424
sce:YLR157C	ko:K01424
sce:YLR158C	ko:K01424
sce:YLR160C	ko:K01424
sce:YLR167W	ko:K02977
sce:YLR174W	ko:K00031
sce:YLR185W	ko:K02922
sce:YLR188W	ko:K02021
sce:YER095W	ko:K04482
sce:YJR068W	ko:K10755
