"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Pathways of gene"	"Reactions of gene"	"Citations"	"Accession-1"	"Accession-2"
YML075C	"YML075C"	115734	118898	YML075C-MONOMER	PWY-5910 // ERGOSTEROL-SYN-PWY // PWY-922	1.1.1.34-RXN		"YML075C"	
G3O-30500	"YFL010W-A"	114990	115274	G3O-30500-MONOMER	""	""		"YFL010W-A"	
G3O-28974	"YBL085W"	63876	66818	G3O-28974-MONOMER	""	""		"YBL085W"	
G3O-32446	"YLR380W"	878282	879508	G3O-32446-MONOMER	""	""		"YLR380W"	
G3O-32957	"YMR287C"	842436	845345	G3O-32957-MONOMER	""	""		"YMR287C"	
G3O-33533	"YOL142W"	55558	56280	G3O-33533-MONOMER	""	""		"YOL142W"	
G3O-29463	"YDL043C"	375680	376480	G3O-29463-MONOMER	""	""		"YDL043C"	
G3O-33468	"YOL057W"	220767	222902	G3O-33468-MONOMER	""	3.4.14.4-RXN		"YOL057W"	
G3O-30933	"YGR264C"	1019598	1021853	G3O-30933-MONOMER	TRNA-CHARGING-PWY	METHIONINE--TRNA-LIGASE-RXN		"YGR264C"	
G3O-34008	"YPL106C"	350194	352275	G3O-34008-MONOMER	""	""		"YPL106C"	
YBR286W	"YBR286W"	774700	776313	YBR286W-MONOMER	""	""		"YBR286W"	
G3O-31494	"YJL024C"	395931	396592	G3O-31494-MONOMER	""	""		"YJL024C"	
G3O-29961	"YDR420W"	1306267	1311675	G3O-29961-MONOMER	""	""		"YDR420W"	
G3O-31963	"YKL204W"	53704	55602	G3O-31963-MONOMER	""	""		"YKL204W"	
YLR351C	"YLR351C"	829489	830364	YLR351C-MONOMER	PWY-5026	RXN-1404 // 3.5.5.1-RXN		"YLR351C"	
G3O-30480	"YFR032C"	222090	222959	G3O-30480-MONOMER	""	""		"YFR032C"	
G3O-28956	"YBL058W"	111437	112708	G3O-28956-MONOMER	""	""		"YBL058W"	
G3O-32429	"YLR357W"	841331	844000	G3O-32429-MONOMER	""	""		"YLR357W"	
G3O-32941	"YMR268C"	802888	804222	G3O-32941-MONOMER	""	""		"YMR268C"	
G3O-33516	"YOL120C"	93395	94402	G3O-33516-MONOMER	""	""		"YOL120C"	
G3O-29446	"YDL017W"	424209	425732	G3O-29446-MONOMER	""	PROTEIN-KINASE-RXN		"YDL017W"	
G3O-33450	"YOL034W"	259923	263204	G3O-33450-MONOMER	""	""		"YOL034W"	
G3O-30917	"YGR239C"	969187	970053	G3O-30917-MONOMER	""	""		"YGR239C"	
G3O-33992	"YPL086C"	384773	386446	G3O-33992-MONOMER	""	HISTONE-ACETYLTRANSFERASE-RXN		"YPL086C"	
YBR149W	"YBR149W"	539987	541021	MONOMER3O-32367 // MONOMER3O-32366	PWY3O-6	1.1.1.117-RXN		"YBR149W"	
G3O-31451	"YIR039C"	430498	432111	G3O-31451-MONOMER	""	""		"YIR039C"	
G3O-29944	"YDR397C"	1266366	1266898	G3O-29944-MONOMER	""	""		"YDR397C"	
G3O-31947	"YKL183W"	98721	99641	G3O-31947-MONOMER	""	""		"YKL183W"	
YLR239C	"YLR239C"	616332	617318	YLR239C-MONOMER	PWY-7386 // PWY-7381 // PWY-7382 // PWY0-501	RXN-13037 // RXN0-947		"YLR239C"	
G3O-30461	"YFR008W"	160535	161200	G3O-30461-MONOMER	""	""		"YFR008W"	
G3O-28938	"YBL036C"	150447	151220	G3O-28938-MONOMER	""	""		"YBL036C"	
G3O-32411	"YLR329W"	786442	787333	G3O-32411-MONOMER	""	""		"YLR329W"	
G3O-32920	"YMR240C"	749930	751240	G3O-32920-MONOMER	""	""		"YMR240C"	
G3O-33497	"YOL098C"	132725	135838	G3O-33497-MONOMER	""	""		"YOL098C"	
G3O-29419	"YCL057C-A"	24032	24325	G3O-29419-MONOMER	""	""		"YCL057C-A"	
G3O-33431	"YOL015W"	297078	298838	G3O-33431-MONOMER	""	""		"YOL015W"	
G3O-30900	"YGR218W"	932541	935795	G3O-30900-MONOMER	""	""		"YGR218W"	
G3O-33969	"YPL058C"	445842	450377	G3O-33969-MONOMER	""	""		"YPL058C"	
YBR011C	"YBR011C"	257112	257975	YBR011C-MONOMER	""	INORGPYROPHOSPHAT-RXN		"YBR011C"	
G3O-31430	"YIR009W"	374525	374860	G3O-31430-MONOMER	""	""		"YIR009W"	
G3O-29927	"YDR378C"	1229349	1229609	G3O-29927-MONOMER	""	""		"YDR378C"	
G3O-31929	"YKL161C"	149386	150687	G3O-31929-MONOMER	""	""		"YKL161C"	
YLR100W	"YLR100W"	341810	342853	YLR100W-MONOMER	ERGOSTEROL-SYN-PWY // PWY-6074	RXN66-319 // RXN66-314		"YLR100W"	
G3O-30445	"YFL011W"	112345	113985	G3O-30445-MONOMER	""	""		"YFL011W"	
G3O-28920	"YBL016W"	192451	193512	G3O-28920-MONOMER	""	2.7.11.24-RXN		"YBL016W"	
G3O-32392	"YLR301W"	730825	731559	G3O-32392-MONOMER	""	""		"YLR301W"	
G3O-32903	"YMR222C"	715638	716309	G3O-32903-MONOMER	""	""		"YMR222C"	
G3O-33480	"YOL076W"	187024	189414	G3O-33480-MONOMER	PWY-7800	RXN-17853 // RXN-17852 // RXN-17851 // RXN-17850		"YOL076W"	
G3O-29382	"YCR088W"	265068	266846	G3O-29382-MONOMER	""	""		"YCR088W"	
G3O-33408	"YNL138W-A"	366033	366412	G3O-33408-MONOMER	""	""		"YNL138W-A"	
G3O-30881	"YGR195W"	888882	889622	G3O-30881-MONOMER	""	""		"YGR195W"	
G3O-33950	"YPL036W"	482843	485686	G3O-33950-MONOMER	""	3.6.3.6-RXN		"YPL036W"	
YAL033W	"YAL033W"	82706	83227	YAL033W-MONOMER	""	RXN0-6480 // 3.1.26.5-RXN		"YAL033W"	
G3O-31402	"YIL153W"	55198	56379	G3O-31402-MONOMER	""	PEPTIDYLPROLYL-ISOMERASE-RXN		"YIL153W"	
G3O-29907	"YDR356W"	1186107	1188941	G3O-29907-MONOMER	""	""		"YDR356W"	
G3O-31913	"YKL135C"	186460	188640	G3O-31913-MONOMER	""	""		"YKL135C"	
YKR031C	"YKR031C"	501344	506395	YKR031C-MONOMER	LIPASYN-PWY-1 // PWY-3561	PHOSCHOL-RXN		"YKR031C"	
G3O-30428	"YFL034W"	65477	68698	G3O-30428-MONOMER	""	""		"YFL034W"	
G3O-28890	"YAR002C-A"	154065	154724	G3O-28890-MONOMER	""	""		"YAR002C-A"	
G3O-32371	"YLR272C"	683672	687202	G3O-32371-MONOMER	""	""		"YLR272C"	
G3O-32886	"YMR199W"	662644	664284	G3O-32886-MONOMER	""	""		"YMR199W"	
G3O-29364	"YCR059C"	223454	224230	G3O-29364-MONOMER	""	""		"YCR059C"	
G3O-33359	"YNR053C"	721120	723112	G3O-33359-MONOMER	""	""		"YNR053C"	
G3O-30864	"YGR166W"	830515	832197	G3O-30864-MONOMER	""	""		"YGR166W"	
G3O-33932	"YPL013C"	528985	529350	G3O-33932-MONOMER	""	""		"YPL013C"	
G3O-3866	"YJR156C"	728574	729596	MONOMER3O-9135	THISYNARA-PWY-1 // PWY-7282	RXN3O-3797		"YJR156C"	
G3O-31385	"YIL134W"	97395	98330	G3O-31385-MONOMER	""	""		"YIL134W"	
G3O-29889	"YDR333C"	1133260	1135431	G3O-29889-MONOMER	""	""		"YDR333C"	
G3O-31896	"YKL110C"	228939	229880	G3O-31896-MONOMER	""	""		"YKL110C"	
YKL106W	"YKL106W"	237536	238891	YKL106W-MONOMER	PHESYN // ANAPHENOXI-PWY // PWY-5079 // ASPBIO-PWY // MALATE-ASPARTATE-SHUTTLE-PWY	RXN-13697 // RXN-10814 // RXN-11737 // ASPAMINOTRANS-RXN		"YKL106W"	
G3O-31892	"YKL105C"	239185	242583	G3O-31892-MONOMER	""	""		"YKL105C"	
YKL087C	"YKL087C"	277189	277863	YKL087C-MONOMER	""	HOLOCYTOCHROME-C-SYNTHASE-RXN		"YKL087C"	
G3O-30407	"YFL060C"	10301	10969	G3O-30407-MONOMER	""	""		"YFL060C"	
G3O-28862	"YAL059W"	36509	37147	G3O-28862-MONOMER	""	""		"YAL059W"	
G3O-32346	"YLR237W"	612367	614163	G3O-32346-MONOMER	""	""		"YLR237W"	
G3O-32862	"YMR174C"	610159	610365	G3O-32862-MONOMER	""	""		"YMR174C"	
G3O-29342	"YCR027C"	167370	167999	G3O-29342-MONOMER	""	""		"YCR027C"	
G3O-33338	"YNR024W"	672409	672969	G3O-33338-MONOMER	""	""		"YNR024W"	
G3O-30842	"YGR136W"	762428	763153	G3O-30842-MONOMER	""	""		"YGR136W"	
G3O-33895	"YOR396W"	1085473	1090863	G3O-33895-MONOMER	""	""		"YOR396W"	
G3O-31366	"YIL112W"	151595	154846	G3O-31366-MONOMER	""	""		"YIL112W"	
G3O-29869	"YDR310C"	1081128	1084316	G3O-29869-MONOMER	""	""		"YDR310C"	
G3O-34373	"Q0055"	13818	18830	G3O-34373-MONOMER	""	""		"Q0055"	
G3O-31876	"YKL081W"	282891	284455	G3O-31876-MONOMER	""	""		"YKL081W"	
YJR117W	"YJR117W"	642007	643368	YJR117W-MONOMER	""	RXN-11698		"YJR117W"	
G3O-30348	"YER019C-A"	194273	194539	G3O-30348-MONOMER	""	""		"YER019C-A"	
G3O-28844	"YAL034W-A"	79718	80587	G3O-28844-MONOMER	""	""		"YAL034W-A"	
G3O-32329	"YLR212C"	564860	566281	G3O-32329-MONOMER	""	""		"YLR212C"	
G3O-32843	"YMR153W"	564435	565862	G3O-32843-MONOMER	""	""		"YMR153W"	
G3O-29322	"YCR003W"	118620	119171	G3O-29322-MONOMER	""	""		"YCR003W"	
G3O-33319	"YNL336W"	8330	9475	G3O-33319-MONOMER	""	""		"YNL336W"	
G3O-30821	"YGR112W"	717358	718527	G3O-30821-MONOMER	""	""		"YGR112W"	
G3O-33836	"YOR368W"	1026843	1028048	G3O-33836-MONOMER	""	3.1.11.2-RXN		"YOR368W"	
G3O-31347	"YIL087C"	199646	200119	G3O-31347-MONOMER	""	""		"YIL087C"	
G3O-29852	"YDR288W"	1037195	1038106	G3O-29852-MONOMER	""	""		"YDR288W"	
G3O-34314	"YPR192W"	921860	922777	G3O-34314-MONOMER	""	""		"YPR192W"	
G3O-31855	"YKL056C"	334412	334915	G3O-31855-MONOMER	""	""		"YKL056C"	
YJL172W	"YJL172W"	97737	99467	YJL172W-MONOMER	""	GLY-X-CARBOXYPEPTIDASE-RXN		"YJL172W"	
G3O-30328	"YER167W"	518216	520771	G3O-30328-MONOMER	""	""		"YER167W"	
G3O-28827	"YAL015C"	126903	128102	G3O-28827-MONOMER	""	""		"YAL015C"	
G3O-32312	"YLR190W"	535214	536689	G3O-32312-MONOMER	""	""		"YLR190W"	
G3O-32824	"YMR131C"	533163	534698	G3O-32824-MONOMER	""	""		"YMR131C"	
G3O-29302	"YCL047C"	43661	44437	G3O-29302-MONOMER	""	""		"YCL047C"	
G3O-33300	"YNL313C"	45308	48022	G3O-33300-MONOMER	""	""		"YNL313C"	
G3O-30804	"YGR094W"	672186	675500	G3O-30804-MONOMER	TRNA-CHARGING-PWY	VALINE--TRNA-LIGASE-RXN		"YGR094W"	
G3O-33818	"YOR344C"	977194	978069	G3O-33818-MONOMER	""	""		"YOR344C"	
G3O-31327	"YIL057C"	247902	248396	G3O-31327-MONOMER	""	""		"YIL057C"	
G3O-29834	"YDR264C"	996029	998323	G3O-29834-MONOMER	""	""		"YDR264C"	
G3O-34297	"YPR169W"	878690	880168	G3O-34297-MONOMER	""	""		"YPR169W"	
G3O-31836	"YKL033W"	375456	378572	G3O-31836-MONOMER	""	""		"YKL033W"	
YJL035C	"YJL035C"	380249	381001	YJL035C-MONOMER	""	RXN-13996		"YJL035C"	
G3O-30308	"YER147C"	462968	464842	G3O-30308-MONOMER	""	""		"YER147C"	
G3O-1606	"YPL059W"	444579	445031	G3O-33970-MONOMER // MONOMER3O-161	PWY3O-592 // GLUT-REDOX-PWY	""		"YPL059W"	
G3O-32286	"YLR150W"	440467	441288	G3O-32286-MONOMER	""	""		"YLR150W"	
G3O-32805	"YMR109W"	486587	490246	G3O-32805-MONOMER	""	""		"YMR109W"	
G3O-29283	"YCL017C"	92777	94270	G3O-29283-MONOMER	PWY-7250 // PWY-7891 // PWY0-1021	RXN-14386 // RXN-14384 // RXN-14385 // RXN-12588 // RXN-12587 // RXN0-308		"YCL017C"	
G3O-33283	"YNL294C"	78659	80260	G3O-33283-MONOMER	""	""		"YNL294C"	
G3O-30787	"YGR075C"	636147	636875	G3O-30787-MONOMER	""	""		"YGR075C"	
G3O-33800	"YOR320C"	913619	915094	G3O-33800-MONOMER	""	""		"YOR320C"	
G3O-31308	"YIL036W"	285666	287429	G3O-31308-MONOMER	""	""		"YIL036W"	
G3O-29815	"YDR240C"	943674	945152	G3O-29815-MONOMER	""	""		"YDR240C"	
G3O-34278	"YPR144C"	819765	821423	G3O-34278-MONOMER	""	""		"YPR144C"	
G3O-31818	"YKL009W"	426242	426952	G3O-31818-MONOMER	""	""		"YKL009W"	
YIL162W	"YIL162W"	37385	38983	YIL162W-MONOMER	PWY-621	3.2.1.48-RXN // RXN-9985 // 3.2.1.26-RXN		"YIL162W"	
G3O-30290	"YER127W"	414481	415554	G3O-30290-MONOMER	""	""		"YER127W"	
G3O-32269	"YLR127C"	395758	398319	G3O-32269-MONOMER	""	""		"YLR127C"	
G3O-32786	"YMR086W"	439208	442090	G3O-32786-MONOMER	""	""		"YMR086W"	
G3O-29228	"YBR084C-A"	414186	415261	G3O-29228-MONOMER	""	""		"YBR084C-A"	
G3O-33266	"YNL272C"	126805	129084	G3O-33266-MONOMER	""	""		"YNL272C"	
G3O-30767	"YGR049W"	591314	591877	G3O-30767-MONOMER	""	""		"YGR049W"	
G3O-33783	"YOR298W"	875599	877038	G3O-33783-MONOMER	""	""		"YOR298W"	
G3O-31290	"YIL014W"	326103	327995	G3O-31290-MONOMER	PWY-7921	RXN-19016 // RXN-19017		"YIL014W"	
G3O-29797	"YDR216W"	895035	899006	G3O-29797-MONOMER	""	""		"YDR216W"	
G3O-34261	"YPR122W"	782045	785671	G3O-34261-MONOMER	""	""		"YPR122W"	
G3O-31759	"YJR145C"	702027	703068	G3O-31759-MONOMER	""	""		"YJR145C"	
YIL009W	"YIL009W"	339344	341428	YIL009W-MONOMER	PWY-5143 // PWY-5972 // YEAST-FAO-PWY // PWY-7288	RXN66-480 // RXN-16401 // RXN-16402 // RXN-16389 // RXN-12185 // RXN-7904 // LINOLENOYL-RXN // RXN-12702 // RXN-12746 // RXN-12978 // RXN-13290 // RXN-9673 // RXN66-484 // RXN-13614 // RXN-9623 // PHYTANATE--COA-LIGASE-RXN // R223-RXN // RXN-14172 // RXN-16380 // RXN-16393 // RXN-9644 // RXN-12184 // RXN66-477 // RXN66-469 // RXN66-483 // RXN66-474 // ACYLCOASYN-RXN		"YIL009W"	
G3O-30273	"YER109C"	375215	377614	G3O-30273-MONOMER	""	""		"YER109C"	
G3O-32249	"YLR099C"	339744	340928	G3O-32249-MONOMER	""	""		"YLR099C"	
G3O-32768	"YMR066W"	401541	404237	G3O-32768-MONOMER	""	""		"YMR066W"	
G3O-29202	"YBR282W"	768240	768680	G3O-29202-MONOMER	""	""		"YBR282W"	
G3O-33250	"YNL253W"	170018	171286	G3O-33250-MONOMER	""	""		"YNL253W"	
G3O-30746	"YGR020C"	526973	527329	G3O-30746-MONOMER	""	ATPSYN-RXN		"YGR020C"	
G3O-33762	"YOR272W"	832813	834195	G3O-33762-MONOMER	""	""		"YOR272W"	
G3O-31241	"YHR079C-A"	262192	262553	G3O-31241-MONOMER	""	""		"YHR079C-A"	
