"species"	"expanded"	"extracted"	"ratio_of_expanded_to_extracted"
"yHMPu5000041833_Candida_tammaniensis"	1097	217	5.05529953917051
"yHMPu5000035681_Candida_gotoi"	1666	144	11.5694444444444
"yHMPu5000035302_Candida_fragi"	1106	154	7.18181818181818
"yHMPu5000034629_Pichia_exigua"	571	347	1.64553314121037
"Candida_orthopsilosis"	1054	146	7.21917808219178
"Metschnikowia_drakensbergensis"	4046	30	134.866666666667
"yHMPu5000034648_Candida_restingae"	1128	111	10.1621621621622
"Candida_sojae"	1019	629	1.62003179650238
"Hyphopichia_burtonii"	1554	316	4.91772151898734
"yHMPu5000035282_Trigonopsis_vinaria"	556	93	5.97849462365591
"yHMPu5000035286_Candida_azyma"	560	79	7.08860759493671
"Lachancea_kluyveri"	573	228	2.51315789473684
"Vanderwaltozyma_polyspora"	629	136	4.625
"yHMPu5000034876_Tetrapisispora_iriomotensis"	688	165	4.16969696969697
"yHMPu5000034669_Blastobotrys_raffinofermentans"	638	38	16.7894736842105
"yHMPu5000035672_Phaffomyces_thermotolerans"	549	141	3.8936170212766
"Spathaspora_arborariae"	1104	167	6.61077844311377
"yHAB143_Kazachstania_siamensis"	544	277	1.96389891696751
"Pachysolen_tannophilus"	608	314	1.93630573248408
"Candida_tropicalis"	1167	131	8.90839694656488
"yHMPu5000035044_Barnettozyma_californica"	582	131	4.44274809160305
"yHMPu5000035243_Zygoascus_meyerae"	557	113	4.92920353982301
"yHMPu5000034612_Saturnispora_saitoi"	607	269	2.25650557620818
"yHMPu5000034887_Ogataea_trehaloabstinens"	611	167	3.65868263473054
"Lachancea_quebecensis"	533	170	3.13529411764706
"yHMPu5000034758_Lipomyces_japonicus"	61	143	0.426573426573427
"yHMPu5000035244_Candida_incommunis"	553	93	5.94623655913978
"yHAB160_Kazachstania_kunashirensis"	599	227	2.63876651982379
"Nakazawaea_peltata"	580	192	3.02083333333333
"yHMPu5000034615_Saturnispora_zaruensis"	625	136	4.59558823529412
"yHMPu5000034646_Wickerhamiella_cacticola"	675	236	2.86016949152542
"yHMPu5000034902_Ogataea_minuta"	527	438	1.20319634703196
"yHMPu5000026145_Ambrosiozyma_vanderkliftii"	603	85	7.09411764705882
"Lachancea_nothofagi"	550	178	3.08988764044944
"yHMPu5000034748_Lipomyces_oligophaga"	24	162	0.148148148148148
"yHMPu5000035665_Middelhovenomyces_tepae"	598	205	2.91707317073171
"yHMPu5000041863_Candida_gorgasii"	1131	245	4.61632653061224
"yHMPu5000035018_Candida_canberraensis"	1174	98	11.9795918367347
"Tetrapisispora_phaffii"	527	95	5.54736842105263
"yHMPu5000034875_Tetrapisispora_fleetii"	523	94	5.56382978723404
"Naumovozyma_castellii"	558	215	2.5953488372093
"Candida_intermedia"	2005	126	15.9126984126984
"yHMPu5000035639_Wickerhamomyces_canadensis"	561	106	5.29245283018868
"Kluyveromyces_lactis"	545	74	7.36486486486486
"yHMPu5000034754_Lipomyces_arxii"	30	41	0.731707317073171
"Ogataea_parapolymorpha"	541	112	4.83035714285714
"Metschnikowia_matae_maris"	4884	7	697.714285714286
"yHMPu5000034655_Botryozyma_nematodophila"	777	266	2.92105263157895
"yHMPu5000034947_Ambrosiozyma_philentoma"	649	116	5.5948275862069
"yHMPu5000035662_Meyerozyma_caribbica"	1081	172	6.28488372093023
"yHMPu5000034979_Cyberlindnera_misumaiensis"	578	158	3.65822784810127
"Metschnikowia_bowlesiae"	4110	23	178.695652173913
"Candida_sorboxylosa"	571	463	1.23326133909287
"Arxula_adeninivorans"	531	68	7.80882352941176
"yHMPu5000035033_Candida_cretensis"	1094	166	6.59036144578313
"yHMPu5000041713_Debaryomyces_maramus"	1169	293	3.98976109215017
"yHMPu5000034710_Kluyveromyces_dobzhanskii"	550	96	5.72916666666667
"yHMPu5000034903_Ogataea_naganishii"	590	139	4.24460431654676
"yHMPu5000035654_Tortispora_ganteri"	529	59	8.96610169491525
"yHMPu5000034597_Candida_stellimalicola"	544	136	4
"Nadsonia_fulvescens_var_elongata"	544	43	12.6511627906977
"Metschnikowia_dekortum"	4064	28	145.142857142857
"yHMPu5000035658_Starmera_amethionina"	587	274	2.14233576642336
"Eremothecium_sinecaudum"	494	215	2.29767441860465
"yHMPu5000035041_Ambrosiozyma_pseudovanderkliftii"	596	64	9.3125
"yHMPu5000034742_Lipomyces_suomiensis"	70	64	1.09375
"yHMPu5000035671_Phaffomyces_antillensis"	551	89	6.19101123595506
"yHMPu5000034631_Martiniozyma_abiesophila"	1055	236	4.47033898305085
"yHMPu5000035325_Cyberlindnera_petersonii"	569	195	2.91794871794872
"Saccharomyces_cerevisiae"	614	14	43.8571428571429
"Nakaseomyces_bacillisporus"	555	174	3.18965517241379
"Hanseniaspora_valbyensis"	601	119	5.05042016806723
"Kazachstania_naganishii"	540	206	2.62135922330097
"yHMPu5000034636_Ogataea_nitratoaversa"	602	89	6.76404494382022
"Yarrowia_deformans"	544	24	22.6666666666667
"yHMPu5000035040_Ambrosiozyma_maleeae"	589	272	2.16544117647059
"yHMPu5000035688_Cyberlindnera_xylosilytica"	711	183	3.88524590163934
"Nakaseomyces_bracarensis"	535	87	6.14942528735632
"yHMPu5000034986_Candida_oregonensis"	1986	306	6.49019607843137
"yHMPu5000035691_Candida_salmanticensis"	564	165	3.41818181818182
"yHMPu5000034627_Pichia_heedii"	593	120	4.94166666666667
"yHMPu5000034667_Blastobotrys_serpentis"	587	146	4.02054794520548
"yHAB164_Kazachstania_aerobia"	564	106	5.32075471698113
"Spathaspora_girioi"	1129	177	6.37853107344633
"Nakaseomyces_delphensis"	520	113	4.60176991150442
"Hanseniaspora_vinae"	531	90	5.9
"Lachancea_waltii"	607	215	2.82325581395349
"yHAB158_Kazachstania_viticola"	667	216	3.08796296296296
"Metschnikowia_santaceciliae"	4802	16	300.125
"yHMPu5000035677_Kodamaea_ohmeri"	1131	141	8.02127659574468
"Candida_versatilis"	577	205	2.81463414634146
"yHMPu5000026256_Zygotorulaspora_mrakii"	549	184	2.98369565217391
"Cyberlindnera_jadinii"	603	148	4.07432432432432
"Candida_albicans"	1207	4	301.75
"yHAB155_Kazachstania_spencerorum"	691	295	2.34237288135593
"Cyberlindnera_fabianii_JCM3601"	568	145	3.91724137931034
"yHMPu5000035046_Barnettozyma_populi"	558	133	4.19548872180451
"yHMPu5000041824_Debaryomyces_subglobosus"	1144	140	8.17142857142857
"yHMPu5000034625_Pichia_kudriavzevii"	652	252	2.58730158730159
"yHMPu5000034622_Pichia_occidentalis"	615	140	4.39285714285714
