"Pathways"	"Common-Name"
PWY-7990	"staphyloferrin A biosynthesis"
PWY-7683	"nitrite reduction (hemoglobin)"
CYCLOHEXANOL-OXIDATION-PWY	"cyclohexanol degradation"
PWY-6407	"yersiniabactin biosynthesis"
PWY-7722	"sulfoquinovose degradation II"
PWY-6574	"achromobactin biosynthesis"
PWY-7387	"hypotaurine degradation"
GLYCOL-GLYOXDEG-PWY	"superpathway of glycol metabolism and degradation"
PWY-5903	"bacillibactin biosynthesis"
PWY-761	"rhizobactin 1021 biosynthesis"
AMMASSIM-PWY	"ammonia assimilation cycle III"
PWY-6464	"polyvinyl alcohol degradation"
PWY-6289	"petrobactin biosynthesis"
PWY-7986	"anguibactin biosynthesis"
PWY-6963	"ammonia assimilation cycle I"
PWY-7013	"(<i>S</i>)-propane-1,2-diol degradation"
PWY-6376	"desferrioxamine B biosynthesis"
P641-PWY	"phenylmercury acetate degradation"
PWY-7989	"acinetoferrin biosynthesis"
PWY-3282	"superpathway of ammonia assimilation (plants)"
PWY-7616	"methanol oxidation to carbon dioxide"
PWY-6381	"bisucaberin biosynthesis"
GLNSYN-PWY	"L-glutamine biosynthesis I"
PWY-8023	"salmochelin biosynthesis"
PWY0-1280	"ethylene glycol degradation"
PWY-6409	"pyoverdine I biosynthesis"
ENTBACSYN-PWY	"enterobactin biosynthesis"
PWY-6964	"ammonia assimilation cycle II"
PWY66-389	"phytol degradation"
PWY-7577	"ferrichrome biosynthesis"
AMMOXID-PWY	"ammonia oxidation I (aerobic)"
PWY-5925	"hydroxylated mugineic acid phytosiderophore biosynthesis"
PWY3O-246	"(R,R)-butanediol degradation"
PWY-7984	"acinetobactin biosynthesis"
PWY-7082	"ammonia oxidation IV (autotrophic ammonia oxidizers)"
PWY-6388	"(S,S)-butanediol degradation"
PWY-7796	"pentose phosphate pathway (oxidative branch) II"
PWY-2242	"ammonia oxidation III"
NONOXIPENT-PWY	"pentose phosphate pathway (non-oxidative branch)"
PENTOSE-P-PWY	"pentose phosphate pathway"
P23-PWY	"reductive TCA cycle I"
P21-PWY	"pentose phosphate pathway (partial)"
PWY-5392	"reductive TCA cycle II"
OXIDATIVEPENT-PWY	"pentose phosphate pathway (oxidative branch) I"
P42-PWY	"incomplete reductive TCA cycle"
PWY-5434	"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I"
PWY-6007	"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis II"
PWY-7729	"5,6-dimethylbenzimidazole biosynthesis II (anaerobic)"
PWY-5523	"5,6-dimethylbenzimidazole biosynthesis I (aerobic)"
SERSYN-PWY	"L-serine biosynthesis I"
PWY-7070	"steviol biosynthesis"
PWY-7481	"oryzalide A biosynthesis"
PWY-8011	"L-serine biosynthesis II"
PWY-5107	"phytol salvage pathway"
PWY-7517	"brassicicene C biosynthesis"
SERDEG-PWY	"L-serine degradation"
PWY-5910	"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)"
PWY-7721	"methyl phomopsenoate biosynthesis"
PWY-6659	"fusicoccin A biosynthesis"
PWY18C3-14	"superpathway of glandular trichomes produced diterpenoids (tobacco)"
PWY-7065	"2&alpha;,7&beta;-dihydroxylation of taxusin"
PWY-7392	"taxadiene biosynthesis (engineered)"
PWY-2981	"diterpene phytoalexins precursors biosynthesis"
PWY-7484	"phytocassanes biosynthesis, shared reactions"
PWY-5660	"taxol biosynthesis"
PWY-7680	"carnosate bioynthesis"
PWY-6645	"labdane-type diterpenes biosynthesis"
PWY18C3-13	"<i>cis</i>-abienol biosynthesis"
PWY-6887	"kauralexin biosynthesis"
PWY18C3-7	"cembratrienediol biosynthesis"
PWY-7071	"steviol glucoside biosynthesis (rebaudioside A biosynthesis)"
PWY-7565	"aspyridone A biosynthesis"
PWY-7482	"cyclooctatin biosynthesis"
PWY-5121	"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)"
PWY-8037	"saliniketal A biosynthesis"
PWY-7572	"lolitrem B biosynthesis"
PWY-6304	"casbene biosynthesis"
PWY-5393	"raspberry ketone biosynthesis"
PWY-7994	"dolabralexins biosynthesis"
PWY-6691	"plaunotol biosynthesis"
PWY-5033	"nicotinate degradation II"
PWY18C3-18	"labdenediol and sclareol biosynthesis"
PWY-8049	"pederin biosynthesis"
PWY-6312	"barbaloin biosynthesis"
PWY-722	"nicotinate degradation I"
PWY-7672	"fusaric acid biosynthesis"
PWY-5055	"nicotinate degradation III"
PWY-7692	"bikaverin biosynthesis"
PWY-6333	"acetaldehyde biosynthesis I"
PWY-6627	"salinosporamide A biosynthesis"
PWY-12	"pentaketide chromone biosynthesis"
PWY-7563	"bassianin and desmethylbassianin biosynthesis"
PWY-6310	"aloesone biosynthesis II"
PWY-6316	"aromatic polyketides biosynthesis"
PWY-7689	"8-<i>O</i>-methylfusarubin biosynthesis"
PWY-6438	"phenylphenalenone biosynthesis"
PWY-7561	"tenellin biosynthesis"
P164-PWY	"purine nucleobases degradation I (anaerobic)"
PWY-4801	"aloesone biosynthesis I"
PWY-6314	"plumbagin biosynthesis"
PWY-5497	"purine nucleobases degradation II (anaerobic)"
PWY-7673	"fusarin C biosynthesis"
PWY-5837	"2-carboxy-1,4-naphthoquinol biosynthesis"
PWY-6432	"curcuminoid biosynthesis"
PWY-5855	"ubiquinol-7 biosynthesis (prokaryotic)"
PWY-7383	"anaerobic energy metabolism (invertebrates, cytosol)"
PWY-6125	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II"
PWY-7695	"aurofusarin biosynthesis"
PWY66-201	"nicotine degradation IV"
P181-PWY	"nicotine degradation I (pyridine pathway)"
PWY-7513	"flaviolin dimer and mompain biosynthesis"
PWY-7128	"nicotine degradation III (VPP pathway)"
PWY-5870	"ubiquinol-8 biosynthesis (eukaryotic)"
PWY-7389	"superpathway of anaerobic energy metabolism (invertebrates)"
PWY-7229	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"
PWY-7880	"coelimycin P1 biosynthesis"
PWY-6993	"nicotine degradation II (pyrrolidine pathway)"
PWY-6423	"hemoglobin degradation"
PWY66-221	"nicotine degradation V"
PWY-5873	"ubiquinol-7 biosynthesis (eukaryotic)"
PWY-7401	"crotonate fermentation (to acetate and cyclohexane carboxylate)"
DENOVOPURINE2-PWY	"superpathway of purine nucleotides <i>de novo</i> biosynthesis II"
PWY-641	"proanthocyanidins biosynthesis from flavanols"
PWY-7014	"paromamine biosynthesis I"
PWY-7233	"ubiquinol-6 bypass biosynthesis (eukaryotic)"
PWY-7402	"benzoate fermentation (to acetate and cyclohexane carboxylate)"
PWY-7228	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I"
PWY-7022	"paromamine biosynthesis II"
PWY-5857	"ubiquinol-10 biosynthesis (prokaryotic)"
PWY-6126	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"
PEPTIDOGLYCANSYN-PWY	"peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)"
PWY-6385	"peptidoglycan biosynthesis III (mycobacteria)"
PWY-5872	"ubiquinol-10 biosynthesis (eukaryotic)"
PWY-841	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I"
PWY0-1586	"peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)"
PWY-5265	"peptidoglycan biosynthesis II (staphylococci)"
PWY-7230	"ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)"
PWY-7248	"pectin degradation II"
PWY-6047	"dimethyl sulfide degradation I"
PWY1G-1	"mycothiol-mediated detoxification"
PWY3O-19	"ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)"
FERMENTATION-PWY	"mixed acid fermentation"
PWY3DJ-12	"ceramide <i>de novo</i> biosynthesis"
PWY-6057	"dimethyl sulfide degradation III (oxidation)"
PWY-6059	"dimethyl sulfide degradation II (oxidation)"
PWY-4061	"glutathione-mediated detoxification I"
PWY-5856	"ubiquinol-9 biosynthesis (prokaryotic)"
PWY-5109	"fermentation to 2-methylbutanoate"
PWY-5129	"sphingolipid biosynthesis (plants)"
PWY-7227	"adenosine deoxyribonucleotides <i>de novo</i> biosynthesis"
PPGPPMET-PWY	"ppGpp biosynthesis"
PWY-6405	"Rapoport-Luebering glycolytic shunt"
PWY66-423	"fructose 2,6-bisphosphate biosynthesis"
PWY-6745	"phytochelatins biosynthesis"
PWY-5871	"ubiquinol-9 biosynthesis (eukaryotic)"
PWY-7384	"anaerobic energy metabolism (invertebrates, mitochondrial)"
PWY-7839	"lacto-series glycosphingolipids biosynthesis"
PWY-7220	"adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II"
PWY66-420	"carnosine biosynthesis"
PWY-6100	"L-carnitine biosynthesis"
PWY-7535	"lovastatin biosynthesis"
PWY-6842	"glutathione-mediated detoxification II"
PWY-6708	"ubiquinol-8 biosynthesis (prokaryotic)"
PWY-804	"glycolate degradation II"
PWY-8042	"acylceramide biosynthesis"
PWY-6591	"manganese oxidation I"
PWY-6664	"di-myo-inositol phosphate biosynthesis"
PWY-6592	"manganese oxidation II"
PWY-7054	"<i>N</i>-acetylglutaminylglutamine amide biosynthesis"
PWY-3821	"D-galactose detoxification"
PWY-7404	"ceramide phosphoethanolamine biosynthesis"
PWY-6054	"dimethylsulfoniopropanoate biosynthesis I (Wollastonia)"
PWY-6053	"dimethylsulfoniopropanoate biosynthesis III (algae)"
PWY-6055	"dimethylsulfoniopropanoate biosynthesis II (Spartina)"
PWY-6646	"fluoroacetate degradation"
PWY-6049	"superpathway of dimethylsulfoniopropanoate degradation"
P163-PWY	"L-lysine fermentation to acetate and butanoate"
PWY-7838	"globo-series glycosphingolipids biosynthesis"
PWY-4181	"glutathione amide metabolism"
PWY-6056	"dimethylsulfoniopropanoate degradation II (cleavage)"
PWY-6046	"dimethylsulfoniopropanoate degradation I (cleavage)"
PWY1G-126	"mycothiol oxidation"
PWY-6052	"dimethylsulfoniopropanoate degradation III (demethylation)"
PWY-5642	"2,4-dinitrotoluene degradation"
PWY-5535	"acetate and ATP formation from acetyl-CoA II"
PWY-7841	"neolacto-series glycosphingolipids biosynthesis"
PWY-7681	"1-chloro-2-nitrobenzene degradation"
PWY-5643	"2,6-dinitrotoluene degradation"
GLUTATHIONESYN-PWY	"glutathione biosynthesis"
PWY1G-0	"mycothiol biosynthesis"
PWY-7112	"4-hydroxy-2-nonenal detoxification"
PWY-6841	"homophytochelatin biosynthesis"
P162-PWY	"L-glutamate degradation V (via hydroxyglutarate)"
SPHINGOLIPID-SYN-PWY	"sphingolipid biosynthesis (yeast)"
THIOREDOX-PWY	"thioredoxin pathway"
PWY66-421	"homocarnosine biosynthesis"
PWY0-1297	"superpathway of purine deoxyribonucleosides degradation"
GLUT-REDOX-PWY	"glutathione-glutaredoxin redox reactions"
CYANCAT-PWY	"cyanate degradation"
PROPFERM-PWY	"L-alanine fermentation to propanoate and acetate"
PWY-7836	"ganglio-series glycosphingolipids biosynthesis"
PWY-4081	"glutathione-peroxide redox reactions"
PWY-5532	"nucleoside and nucleotide degradation (archaea)"
PWY-6577	"farnesylcysteine salvage pathway"
PWY-6840	"homoglutathione biosynthesis"
PWY0-1312	"acetate and ATP formation from acetyl-CoA I"
PWY-7840	"gala-series glycosphingolipids biosynthesis"
PWY8J2-1	"bacillithiol biosynthesis"
PWY-6786	"detoxification of reactive carbonyls in chloroplasts"
PWY-4041	"&gamma;-glutamyl cycle"
P161-PWY	"acetylene degradation (anaerobic)"
PWY-6997	"furfural degradation"
P461-PWY	"hexitol fermentation to lactate, formate, ethanol and acetate"
PWY-7179-1	"purine deoxyribonucleosides degradation II"
PWY-8061	"8-oxo-(d)GTP detoxification II"
PWY-5536	"acetate formation from acetyl-CoA (succinate)"
PWY-5695	"inosine 5'-phosphate degradation"
PWY-6502	"8-oxo-(d)GTP detoxification I"
PWY-7179	"purine deoxyribonucleosides degradation I"
PWY-6353	"purine nucleotides degradation II (aerobic)"
PWY0-1296	"purine ribonucleosides degradation"
PWY-5044	"purine nucleotides degradation I (plants)"
PWY-6019	"pseudouridine degradation"
