"rxnID"	"Occur_num"	"formula"	"EC"	"keggID"	"biocycID"	"annote_method"
"MNXR95444"	332	"1 `diphosphate` + 1 `3',5'-cyclic AMP` = 1 `ATP`"	"4.6.1.1"	"kegg:R00089"	"ADENYLATECYC-RXN"	"MNX"
"MNXR100289"	328	"1 `H(+)` + 1 `NADH` + 1 `2-oxoglutarate` + 1 `L-glutamine` = 1 `NAD(+)` + 2 `L-glutamate`"	"1.4.1.14"	"kegg:R00093"	"GLUTAMATE-SYNTHASE-NADH-RXN"	"MNX"
"MNXR106388"	332	"2 `ferrocytochrome b5` + 1 `NAD(+)` = 1 `H(+)` + 1 `NADH` + 2 `ferricytochrome b5`"	"1.6.2.2"	"kegg:R00100"	"CYTOCHROME-B5-REDUCTASE-RXN"	"MNX"
"MNXR101888"	332	"1 `H(+)` + 1 `nicotinamide` + 1 `ADP-D-ribose` = 1 `H2O` + 1 `NAD(+)`"	"3.2.2.5;3.2.2.6;3.5.1.-"	"kegg:R00102"	"NADNUCLEOSID-RXN"	"MNX"
"MNXR101861"	319	"2 `H(+)` + 1 `AMP` + 1 `beta-nicotinamide D-ribonucleotide` = 1 `H2O` + 1 `NAD(+)`"	"3.6.1.22;3.6.1.9"	"kegg:R00103"	"NADPYROPHOSPHAT-RXN"	"MNX"
"MNXR101882"	332	"1 `H(+)` + 1 `NADP(+)` + 1 `ADP` = 1 `ATP` + 1 `NAD(+)`"	"2.7.1.23"	"kegg:R00104"	"NAD-KIN-RXN"	"MNX"
"MNXR106392"	331	"1 `H(+)` + 2 `H2O` + 1 `NADP(+)` + 2 `cob(II)alamin` = 2 `aquacob(III)alamin` + 1 `NADPH`"	"1.16.1.5"	"kegg:R00107"	"AQUACOBALAMIN-REDUCTASE-NADPH-RXN"	"MNX"
"MNXR106395"	331	"1 `H(+)` + 2 `O2` + 1 `NADPH` + 2 `N(omega)-hydroxy-L-arginine` = 2 `H2O` + 2 `L-citrulline` + 2 `nitric oxide` + 1 `NADP(+)`"	"1.14.13.165;1.14.13.39"	"kegg:R00111"	"RXN-13565"	"MNX"
"MNXR100291"	328	"1 `H(+)` + 1 `2-oxoglutarate` + 1 `L-glutamine` + 1 `NADPH` = 1 `NADP(+)` + 2 `L-glutamate`"	"1.4.1.13"	"kegg:R00114"	"GLUTAMATESYN-RXN"	"MNX"
"MNXR100098"	331	"1 `H(+)` + 1 `glutathione disulfide` + 1 `NADPH` = 1 `NADP(+)` + 2 `glutathione`"	"1.8.1.7"	"kegg:R00115"	"GLUTATHIONE-REDUCT-NADPH-RXN"	"MNX"
"MNXR96129"	332	"1 `H(+)` + 1 `AMP` + 1 `phosphate` = 1 `H2O` + 1 `ADP`"	"3.6.1.5"	"kegg:R00122"	"RXN-10862"	"MNX"
"MNXR95435"	317	"1 `P(1),P(4)-bis(5'-adenosyl) tetraphosphate` + 1 `phosphate` = 1 `H(+)` + 1 `ATP` + 1 `ADP`"	"2.7.7.53"	"kegg:R00126"	"ATP-ADENYLYLTRANSFERASE-RXN"	"MNX"
"MNXR95450"	332	"1 `AMP` + 1 `ATP` = 2 `ADP`"	"2.7.4.3"	"kegg:R00127"	"ADENYL-KIN-RXN"	"MNX"
"MNXR100482"	174	"1 `CO2` + 1 `H2O` = 1 `H(+)` + 1 `hydrogencarbonate`"	"4.2.1.1"	"kegg:R00132"	"CARBODEHYDRAT-RXN"	"MNX"
"MNXR95841"	332	"1 `diphosphate` + 1 `NAD(+)` = 1 `H(+)` + 1 `ATP` + 1 `beta-nicotinamide D-ribonucleotide`"	"2.7.7.1;2.7.7.18"	"kegg:R00137"	"2.7.7.1-RXN"	"MNX"
"MNXR101931"	332	"1 `UDP` + 1 `H2O` = 1 `H(+)` + 1 `UMP` + 1 `phosphate`"	"3.6.1.5;3.6.1.6"	"kegg:R00155"	"RXN-12197"	"MNX"
"MNXR101935"	331	"1 `UTP` + 1 `ADP` = 1 `UDP` + 1 `ATP`"	"2.7.4.6"	"kegg:R00156"	"UDPKIN-RXN"	"MNX"
"MNXR105118"	332	"1 `UDP` + 1 `ADP` = 1 `ATP` + 1 `UMP`"	"2.7.4.14;2.7.4.22;2.7.4.4"	"kegg:R00158"	"RXN-12002"	"MNX"
"MNXR101933"	332	"1 `UTP` + 1 `H2O` = 1 `H(+)` + 1 `UDP` + 1 `phosphate`"	"3.6.1.15;3.6.1.39;3.6.1.5"	"kegg:R00159"	"RXN-12196"	"MNX"
"MNXR99209"	272	"2 `H(+)` + 1 `FMN` + 1 `AMP` = 1 `H2O` + 1 `FAD`"	"3.6.1.18;3.6.1.9"	"kegg:R00160"	"FAD-PYROPHOSPHATASE-RXN"	"MNX"
"MNXR95501"	316	"1 `diphosphate` + 1 `FAD` = 1 `H(+)` + 1 `FMN` + 1 `ATP`"	"2.7.7.2"	"kegg:R00161"	"FADSYN-RXN"	"MNX"
"MNXR103361"	320	"1 `H(+)` + 1 `pyridoxal 5'-phosphate` + 1 `ADP` = 1 `ATP` + 1 `pyridoxal`"	"2.7.1.35"	"kegg:R00174"	"PYRIDOXKIN-RXN"	"MNX"
"MNXR101407"	331	"1 `diphosphate` + 1 `S-adenosyl-L-methionine` + 1 `phosphate` = 1 `H2O` + 1 `ATP` + 1 `L-methionine`"	"2.5.1.6"	"kegg:R00177"	"S-ADENMETSYN-RXN"	"MNX"
"MNXR95824"	332	"1 `IMP` + 1 `NH4(+)` = 1 `H(+)` + 1 `AMP` + 1 `H2O`"	"3.5.4.17;3.5.4.6"	"kegg:R00181"	"AMP-DEAMINASE-RXN"	"MNX"
"MNXR102037"	164	"1 `AMP` + 1 `H2O` = 1 `adenosine` + 1 `phosphate`"	"3.1.3.5"	"kegg:R00183"	"AMP-DEPHOSPHORYLATION-RXN"	"MNX"
"MNXR95456"	332	"1 `H(+)` + 1 `AMP` + 1 `ADP` = 1 `adenosine` + 1 `ATP`"	"2.7.1.20;2.7.1.74"	"kegg:R00185"	"ADENOSINE-KINASE-RXN"	"MNX"
"MNXR96340"	227	"2 `H(+)` + 1 `AMP` + 1 `ADP` = 1 `H2O` + 1 `P(1),P(3)-bis(5'-adenosyl) triphosphate`"	"3.6.1.29"	"kegg:R00187"	"BIS5-ADENOSYL-TRIPHOSPHATASE-RXN"	"MNX"
"MNXR96321"	264	"1 `AMP` + 1 `phosphate` = 1 `H2O` + 1 `adenosine 3',5'-bisphosphate`"	"3.1.3.7;3.1.3.97"	"kegg:R00188"	"325-BISPHOSPHATE-NUCLEOTIDASE-RXN"	"MNX"
"MNXR95482"	331	"1 `diphosphate` + 1 `AMP` = 1 `adenine` + 1 `5-phospho-alpha-D-ribose 1-diphosphate`"	"2.4.2.7;2.4.2.8"	"kegg:R00190"	"ADENPRIBOSYLTRAN-RXN"	"MNX"
"MNXR95886"	316	"1 `H(+)` + 1 `AMP` = 1 `H2O` + 1 `3',5'-cyclic AMP`"	"3.1.4.17;3.1.4.53"	"kegg:R00191"	"RXN0-5038"	"MNX"
"MNXR95492"	332	"1 `homocysteine zwitterion` + 1 `adenosine` = 1 `S-adenosyl-L-homocysteine` + 1 `H2O`"	"3.3.1.1"	"kegg:R00192"	"ADENOSYLHOMOCYSTEINASE-RXN"	"MNX"
"MNXR103371"	331	"1 `H(+)` + 1 `ADP` + 1 `phosphoenolpyruvate` = 1 `pyruvate` + 1 `ATP`"	"2.7.1.40"	"kegg:R00200"	"PEPDEPHOS-RXN"	"MNX"
"MNXR102425"	332	"1 `NADH` + 1 `CO2` + 1 `acetyl-CoA` = 1 `CoA` + 1 `pyruvate` + 1 `NAD(+)`"	"1.2.1;1.2.1.51;1.2.4.1;1.8.1.4;2.3.1.12"	"kegg:R00209"	"PYRUVDEH-RXN"	"MNX"
"MNXR101446"	325	"1 `NADH` + 1 `CO2` + 1 `pyruvate` = 1 `NAD(+)` + 1 `(S)-malate`"	"1.1.1.38;1.1.1.39"	"kegg:R00214"	"1.1.1.39-RXN"	"MNX"
"MNXR104339"	331	"1 `NH4(+)` + 1 `pyruvate` = 1 `L-serine`"	"4.3.1.15;4.3.1.17;4.3.1.19"	"kegg:R00220"	"4.3.1.17-RXN"	"MNX"
"MNXR104338"	248	"1 `NH4(+)` + 1 `pyruvate` = 1 `D-serine`"	"4.3.1.18"	"kegg:R00221"	"DSERDEAM-RXN"	"MNX"
"MNXR95271"	332	"1 `(2S)-2-acetolactate` + 1 `CO2` = 1 `H(+)` + 2 `pyruvate`"	"2.2.1.6"	"kegg:R00226"	"ACETOLACTSYN-RXN"	"MNX"
"MNXR95363"	331	"1 `H(+)` + 1 `CoA` + 1 `acetate` = 1 `H2O` + 1 `acetyl-CoA`"	"3.1.2.1"	"kegg:R00227"	"ACETYL-COA-HYDROLASE-RXN"	"MNX"
"MNXR95413"	332	"1 `diphosphate` + 1 `AMP` + 1 `acetyl-CoA` = 1 `CoA` + 1 `acetate` + 1 `ATP`"	"6.2.1.1"	"kegg:R00235"	"ACETATE--COA-LIGASE-RXN"	"MNX"
"MNXR95194"	332	"1 `CoA` + 1 `acetoacetyl-CoA` = 2 `acetyl-CoA`"	"2.3.1.9"	"kegg:R00238"	"ACETYL-COA-ACETYLTRANSFER-RXN"	"MNX"
"MNXR100277"	332	"1 `L-gamma-glutamyl phosphate(2-)` + 1 `ADP` = 1 `ATP` + 1 `L-glutamate`"	"2.7.2.11"	"kegg:R00239"	"GLUTKIN-RXN"	"MNX"
"MNXR100085"	332	"1 `H(+)` + 1 `NADH` + 1 `NH4(+)` + 1 `2-oxoglutarate` = 1 `H2O` + 1 `NAD(+)` + 1 `L-glutamate`"	"1.4.1.2;1.4.1.3;1.4.1.4"	"kegg:R00243"	"GLUTAMATE-DEHYDROGENASE-RXN"	"MNX"
"MNXR103352"	332	"2 `H(+)` + 1 `NADH` + 1 `L-glutamate` = 1 `H2O` + 1 `L-glutamate 5-semialdehyde` + 1 `NAD(+)`"	"1.2.1.88"	"kegg:R00245"	"RXN-14116"	"MNX"
"MNXR100086"	332	"1 `H(+)` + 1 `NH4(+)` + 1 `2-oxoglutarate` + 1 `NADPH` = 1 `H2O` + 1 `NADP(+)` + 1 `L-glutamate`"	"1.4.1.13;1.4.1.3;1.4.1.4"	"kegg:R00248"	"GLUTDEHYD-RXN"	"MNX"
"MNXR102200"	320	"1 `H(+)` + 1 `ADP` + 1 `L-glutamate` + 1 `phosphate` = 2 `H2O` + 1 `ATP` + 1 `5-oxo-L-proline`"	"3.5.2.9"	"kegg:R00251"	"5-OXOPROLINASE-ATP-HYDROLYSING-RXN"	"MNX"
"MNXR100024"	330	"1 `NH4(+)` + 1 `ATP` + 1 `L-glutamate` = 1 `H(+)` + 1 `L-glutamine` + 1 `ADP` + 1 `phosphate`"	"6.3.1.2"	"kegg:R00253"	"GLUTAMINESYN-RXN"	"MNX"
"MNXR100030"	332	"1 `NH4(+)` + 1 `L-glutamate` = 1 `H2O` + 1 `L-glutamine`"	"1.4.1.13;1.4.7.1;3.5.1.2;3.5.1.38;4.3.3.6;6.3.4.2;6.3.5.2;6.3.5.4;6.3.5.5"	"kegg:R00256"	"GLUTAMIN-RXN"	"MNX"
"MNXR97678"	332	"1 `H(+)` + 1 `diphosphate` + 1 `AMP` + 1 `NAD(+)` + 1 `L-glutamate` = 1 `H2O` + 1 `ATP` + 1 `deamido-NAD(+)` + 1 `L-glutamine`"	"6.3.5.1"	"kegg:R00257"	"NAD-SYNTH-GLN-RXN"	"MNX"
"MNXR95698"	331	"1 `2-oxoglutarate` + 1 `L-alanine` = 1 `pyruvate` + 1 `L-glutamate`"	"2.6.1.2"	"kegg:R00258"	"ALANINE-AMINOTRANSFERASE-RXN"	"MNX"
"MNXR95259"	332	"1 `H(+)` + 1 `CoA` + 1 `N-acetyl-L-glutamate(2-)` = 1 `acetyl-CoA` + 1 `L-glutamate`"	"2.3.1.1"	"kegg:R00259"	"N-ACETYLTRANSFER-RXN"	"MNX"
"MNXR95942"	312	"1 `CO2` + 1 `4-aminobutanoate` = 1 `H(+)` + 1 `L-glutamate`"	"4.1.1.15"	"kegg:R00261"	"GLUTDECARBOX-RXN"	"MNX"
"MNXR106443"	332	"2 `H(+)` + 1 `2-oxoglutarate` + 1 `NADPH` = 1 `H2O` + 1 `NADP(+)` + 1 `2,5-dioxopentanoate`"	"1.2.1.26;1.2.1.3"	"kegg:R00264"	"25-DIOXOVALERATE-DEHYDROGENASE-RXN"	"MNX"
"MNXR105305"	332	"1 `CO2` + 1 `2-oxoglutarate` = 1 `H(+)` + 1 `oxalosuccinate`"	"1.1.1.42"	"kegg:R00268"	"RXN-8642"	"MNX"
"MNXR105306"	332	"1 `NH4(+)` + 1 `2-oxoglutarate` = 1 `H2O` + 1 `2-oxoglutaramate`"	"3.5.1.111;3.5.1.3"	"kegg:R00269"	"RXN-13072"	"MNX"
"MNXR106445"	330	"1 `H(+)` + 1 `homocitrate(3-)` + 1 `CoA` = 1 `H2O` + 1 `2-oxoglutarate` + 1 `acetyl-CoA`"	"2.3.3.14"	"kegg:R00271"	"HOMOCITRATE-SYNTHASE-RXN"	"MNX"
"MNXR100446"	324	"1 `glutathione disulfide` + 2 `H2O` = 1 `H2O2` + 2 `glutathione`"	"1.11.1.9"	"kegg:R00274"	"GLUTATHIONE-PEROXIDASE-RXN"	"MNX"
"MNXR100022"	331	"1 `diphosphate` + 1 `UDP-D-glucose` = 1 `H(+)` + 1 `UTP` + 1 `D-glucopyranose 1-phosphate(2-)`"	"2.7.7.64;2.7.7.9"	"kegg:R00289"	"GLUC1PURIDYLTRANS-RXN"	"MNX"
"MNXR105057"	245	"1 `UDP-D-glucose` = 1 `UDP-alpha-D-galactose`"	"5.1.3.2"	"kegg:R00291"	"UDPGLUCEPIM-RXN"	"MNX"
"MNXR106455"	144	"1 `H2O` + 1 `UDP-4-dehydro-6-deoxy-alpha-D-glucose` = 1 `UDP-D-glucose`"	"4.2.1.76"	"kegg:R00293"	"UDP-GLUCOSE-46-DEHYDRATASE-RXN"	"MNX"
"MNXR100612"	332	"1 `H(+)` + 1 `D-glucopyranose 6-phosphate` + 1 `ADP` = 1 `ATP` + 1 `D-glucose`"	"2.7.1.1;2.7.1.2"	"kegg:R00299"	"GLUCOKIN-RXN"	"MNX"
"MNXR101928"	332	"1 `H(+)` + 1 `GMP` + 1 `phosphate` = 1 `H2O` + 1 `GDP`"	"3.6.1.42;3.6.1.5;3.6.1.6"	"kegg:R00328"	"GUANOSINE-DIPHOSPHATASE-RXN"	"MNX"
"MNXR96119"	331	"1 `ATP` + 1 `GDP` = 1 `GTP` + 1 `ADP`"	"2.7.4.6"	"kegg:R00330"	"GDPKIN-RXN"	"MNX"
"MNXR102043"	332	"1 `H(+)` + 1 `GDP` + 1 `phosphate` = 1 `H2O` + 1 `GTP`"	"3.6.1.15;3.6.1.5;3.6.5.1;3.6.5.2;3.6.5.3;3.6.5.4;3.6.5.5;3.6.5.6"	"kegg:R00335"	"RXN0-5462"	"MNX"
"MNXR103099"	323	"1 `CO2` + 1 `ADP` + 1 `phosphoenolpyruvate` = 1 `ATP` + 1 `oxaloacetate`"	"4.1.1.49"	"kegg:R00341"	"PEPCARBOXYKIN-RXN"	"MNX"
"MNXR101439"	332	"1 `H(+)` + 1 `NADH` + 1 `oxaloacetate` = 1 `NAD(+)` + 1 `(S)-malate`"	"1.1.1.299;1.1.1.37"	"kegg:R00342"	"MALATE-DEH-RXN"	"MNX"
"MNXR102391"	331	"1 `H(+)` + 1 `oxaloacetate` + 1 `ADP` + 1 `phosphate` = 1 `pyruvate` + 1 `ATP` + 1 `hydrogencarbonate`"	"6.4.1.1"	"kegg:R00344"	"PYRUVATE-CARBOXYLASE-RXN"	"MNX"
"MNXR106485"	331	"1 `NH4(+)` + 1 `oxaloacetate` = 1 `H2O` + 1 `2-oxosuccinamate`"	"3.5.1;3.5.1.3"	"kegg:R00348"	"RXN-6562"	"MNX"
"MNXR96920"	332	"1 `H(+)` + 1 `CoA` + 1 `citrate` = 1 `H2O` + 1 `acetyl-CoA` + 1 `oxaloacetate`"	"2.3.3.1;2.3.3.16;2.3.3.3"	"kegg:R00351"	"CITSYN-RXN"	"MNX"
"MNXR95268"	55	"1 `CoA` + 1 `citrate` + 1 `ATP` = 1 `acetyl-CoA` + 1 `oxaloacetate` + 1 `ADP` + 1 `phosphate`"	"2.3.3.8;4.1.3.6"	"kegg:R00352"	"ATP-CITRATE-PRO-S--LYASE-RXN"	"MNX"
"MNXR96079"	332	"1 `2-oxoglutarate` + 1 `L-aspartate` = 1 `oxaloacetate` + 1 `L-glutamate`"	"2.6.1.1"	"kegg:R00355"	"ASPAMINOTRANS-RXN"	"MNX"
"MNXR100352"	290	"1 `NH4(+)` + 1 `H2O2` + 1 `glyoxylate` = 1 `H2O` + 1 `glycine` + 1 `O2`"	"1.4.3.19;1.4.3.3"	"kegg:R00366"	"1.4.3.19-RXN"	"MNX"
"MNXR95618"	324	"1 `pyruvate` + 1 `glycine` = 1 `L-alanine` + 1 `glyoxylate`"	"2.6.1.44"	"kegg:R00369"	"ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN"	"MNX"
"MNXR100364"	323	"1 `2-oxoglutarate` + 1 `glycine` = 1 `glyoxylate` + 1 `L-glutamate`"	"2.6.1.4;2.6.1.44"	"kegg:R00372"	"GLYCINE-AMINOTRANSFERASE-RXN"	"MNX"
"MNXR102148"	106	"1 `acetoacetyl-CoA` + 1 `succinate` = 1 `acetoacetate` + 1 `succinyl-CoA`"	"2.8.3.5"	"kegg:R00410"	"RXNI-2"	"MNX"
"MNXR106519"	317	"1 `diphosphate` + 1 `UDP-N-acetyl-alpha-D-glucosamine` = 1 `H(+)` + 1 `UTP` + 1 `N-acetyl-alpha-D-glucosamine 1-phosphate`"	"2.7.7.23"	"kegg:R00416"	"NAG1P-URIDYLTRANS-RXN"	"MNX"
"MNXR100455"	332	"2 `H(+)` + 1 `diphosphate` + 1 `formate` + 1 `2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine` = 3 `H2O` + 1 `GTP`"	"3.5.4.25"	"kegg:R00425"	"GTP-CYCLOHYDRO-II-RXN"	"MNX"
"MNXR102052"	322	"1 `H(+)` + 1 `diphosphate` + 1 `GMP` = 1 `H2O` + 1 `GTP`"	"3.6.1.-;3.6.1.8;3.6.1.9"	"kegg:R00426"	"RXN-14140"	"MNX"
"MNXR100460"	330	"1 `H(+)` + 1 `GDP` + 1 `phosphoenolpyruvate` = 1 `pyruvate` + 1 `GTP`"	"2.7.1.40"	"kegg:R00430"	"RXN-14117"	"MNX"
"MNXR104637"	332	"1 `CoA` + 1 `succinate` + 1 `GTP` = 1 `GDP` + 1 `phosphate` + 1 `succinyl-CoA`"	"6.2.1.4"	"kegg:R00432"	"SUCCINATE--COA-LIGASE-GDP-FORMING-RXN"	"MNX"
"MNXR100463"	332	"1 `diphosphate` + 1 `3',5'-cyclic GMP` = 1 `GTP`"	"4.6.1.1;4.6.1.2"	"kegg:R00434"	"GUANYLCYC-RXN"	"MNX"
"MNXR105091"	214	"1 `CO2` + 2 `NH4(+)` + 1 `glyoxylate` = 2 `H(+)` + 1 `H2O` + 1 `(S)-ureidoglycolate`"	"3.5.1.116;3.5.3.19"	"kegg:R00469"	"UREIDOGLYCOLATE-HYDROLASE-RXN"	"MNX"
"MNXR101347"	331	"1 `H(+)` + 1 `CoA` + 1 `(S)-malate` = 1 `H2O` + 1 `acetyl-CoA` + 1 `glyoxylate`"	"2.3.3.9"	"kegg:R00472"	"MALSYN-RXN"	"MNX"
"MNXR100338"	63	"1 `glycolate` + 1 `O2` = 1 `H2O2` + 1 `glyoxylate`"	"1.1.3.15"	"kegg:R00475"	"RXN-969"	"MNX"
"MNXR96085"	332	"1 `4-phospho-L-aspartate` + 1 `ADP` = 1 `ATP` + 1 `L-aspartate`"	"2.7.2.4"	"kegg:R00480"	"ASPARTATEKIN-RXN"	"MNX"
"MNXR96056"	228	"1 `L-asparagine` + 1 `H2O` = 1 `NH4(+)` + 1 `L-aspartate`"	"3.5.1.1;3.5.1.38;3.5.5.4"	"kegg:R00485"	"ASPARAGHYD-RXN"	"MNX"
"MNXR96077"	312	"1 `CO2` + 1 `beta-alanine` = 1 `H(+)` + 1 `L-aspartate`"	"4.1.1.11;4.1.1.15"	"kegg:R00489"	"ASPDECARBOX-RXN"	"MNX"
"MNXR100136"	332	"1 `H2O` + 1 `glutathione` = 1 `L-cysteinylglycine` + 1 `L-glutamate`"	"3.4.19;3.4.19.13"	"kegg:R00494"	"RXN-12618"	"MNX"
"MNXR100450"	329	"1 `H(+)` + 1 `glutathione` + 1 `ADP` + 1 `phosphate` = 1 `glycine` + 1 `ATP` + 1 `L-gamma-glutamyl-L-cysteine`"	"6.3.2.3"	"kegg:R00497"	"GLUTATHIONE-SYN-RXN"	"MNX"
"MNXR96322"	264	"1 `adenosine 5'-phosphosulfate` + 1 `phosphate` = 1 `H2O` + 1 `3'-phosphoadenylyl sulfate`"	"3.1.3.7"	"kegg:R00508"	"R163-RXN"	"MNX"
"MNXR95159"	319	"1 `H(+)` + 1 `3'-phosphoadenylyl sulfate` + 1 `ADP` = 1 `adenosine 5'-phosphosulfate` + 1 `ATP`"	"2.7.1.25"	"kegg:R00509"	"ADENYLYLSULFKIN-RXN"	"MNX"
"MNXR102034"	164	"1 `H2O` + 1 `CMP` = 1 `cytidine` + 1 `phosphate`"	"3.1.3.5;3.1.3.91"	"kegg:R00511"	"RXN-14026"	"MNX"
"MNXR97047"	332	"1 `CDP` + 1 `ADP` = 1 `ATP` + 1 `CMP`"	"2.7.4.14;2.7.4.25"	"kegg:R00512"	"RXN-11832"	"MNX"
"MNXR97041"	330	"1 `H(+)` + 1 `CMP` + 1 `ADP` = 1 `ATP` + 1 `cytidine`"	"2.7.1.213;2.7.1.48"	"kegg:R00513"	"CYTIKIN-RXN"	"MNX"
"MNXR96559"	332	"1 `H(+)` + 1 `CMP` + 1 `phosphate` = 1 `H2O` + 1 `CDP`"	"3.6.1.5;3.6.1.6"	"kegg:R00514"	"RXN-12198"	"MNX"
"MNXR102053"	272	"1 `H(+)` + 1 `diphosphate` + 1 `CMP` = 1 `H2O` + 1 `CTP`"	"3.6.1.65;3.6.1.8;3.6.1.9"	"kegg:R00515"	"RXN0-383"	"MNX"
"MNXR97042"	327	"1 `H(+)` + 1 `GDP` + 1 `CMP` = 1 `cytidine` + 1 `GTP`"	"2.7.1.213;2.7.1.48"	"kegg:R00517"	"CYTIDINEKIN-RXN"	"MNX"
"MNXR99475"	240	"1 `NADH` + 1 `CO2` = 1 `formate` + 1 `NAD(+)`"	"1.2.1.2"	"kegg:R00519"	"1.2.1.2-RXN"	"MNX"
"MNXR99615"	98	"1 `formamide` + 1 `H2O` = 1 `NH4(+)` + 1 `formate`"	"3.5.1.49"	"kegg:R00524"	"FORMAMIDASE-RXN"	"MNX"
"MNXR104357"	332	"1 `H(+)` + 1 `formate` + 1 `glutathione` = 1 `H2O` + 1 `S-formylglutathionate(1-)`"	"3.1.2.12"	"kegg:R00527"	"S-FORMYLGLUTATHIONE-HYDROLASE-RXN"	"MNX"
"MNXR104240"	326	"1 `diphosphate` + 1 `adenosine 5'-phosphosulfate` = 1 `H(+)` + 1 `ATP` + 1 `sulfate`"	"2.7.7.4"	"kegg:R00529"	"SULFATE-ADENYLYLTRANS-RXN"	"MNX"
"MNXR95393"	322	"1 `FMN` + 1 `H2O` = 1 `riboflavin` + 1 `phosphate`"	"3.1.3.102;3.1.3.2"	"kegg:R00548"	"RXN0-5187"	"MNX"
"MNXR95945"	331	"1 `urea` + 1 `L-ornithine` = 1 `H2O` + 1 `L-arginine`"	"3.5.3.1"	"kegg:R00551"	"ARGINASE-RXN"	"MNX"
"MNXR106581"	331	"1 `H(+)` + 4 `O2` + 3 `NADPH` + 2 `L-arginine` = 4 `H2O` + 2 `L-citrulline` + 2 `nitric oxide` + 3 `NADP(+)`"	"1.14.13.165;1.14.13.39"	"kegg:R00557"	"NITRIC-OXIDE-SYNTHASE-RXN"	"MNX"
