"ID"	"NAME"	"EQUATION"	"EC.NUMBER"	"GENE.ASSOCIATION"	"LOWER.BOUND"	"UPPER.BOUND"	"OBJECTIVE"	"COMPARTMENT"	"MIRIAM"	"SUBSYSTEM"	"REPLACEMENT.ID"	"NOTE"	"REFERENCE"	"CONFIDENCE.SCORE"
"L-RHAMNONO-14-LACTONASE-RXN"	"L-rhamnono-gamma-lactonase"	"L-rhamnono-1,4-lactone[s] + H2O[s] => L-rhamnonate[s] + H+[s]"	"ec-code/3.1.1.65"	"yHMPu5000034918_Nakazawaea_holstii@Seq_2059 or Nakazawaea_peltata@Seq_3739 or yHMPu5000034660_Diddensiella_caesifluorescens@Seq_3003"	0	1000	NA	NA	"rhea/10289;kegg.reaction/R03772"	"L-rhamnose degradation II;L-rhamnose degradation III"	NA	NA	""	2
"L-RHAMNONATE-DEHYDRATASE-RXN"	"L-rhamnoate dehydratase;L-rhamnonate dehydratase"	"L-rhamnonate[s] => 2-dehydro-3-deoxy-L-rhamnonate[s] + H2O[s]"	"ec-code/4.2.1.90"	"yHMPu5000041829_Debaryomyces_fabryi@Seq_3216 or yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_646"	0	1000	NA	NA	"rhea/23080;kegg.reaction/R03774"	"L-rhamnose degradation II;L-rhamnose degradation III"	NA	NA	""	2
"L-PIPECOLATE-OXIDASE-RXN"	"L-pipecolate oxidase"	"L-pipecolate[s] + oxygen[s] => 1-piperideine 6-carboxylate[s] + hydrogen peroxide[s] + H+[s]"	"ec-code/1.5.3.7"	"Arthrobotrys_oligospora@Seq_9535"	0	1000	NA	NA	"rhea/11993;kegg.reaction/R02204"	"L-lysine degradation II (L-pipecolate pathway);L-lysine degradation V"	NA	NA	""	2
"L-LACTDEHYDROGFMN-RXN"	"L-lactate dehydrogenase"	"ETR-Quinones[s] + (S)-lactate[s] => ETR-Quinols[s] + pyruvate[s]"	""	"Xylona_heveae@Seq_6639"	0	1000	NA	NA	"rhea/45817"	"L-lactaldehyde degradation (aerobic)"	NA	NA	"pubmed/15911532"	2
"L-LACTATE-DEHYDROGENASE-RXN"	"L-lactate dehydrogenase"	"(S)-lactate[s] + NAD+[s] <=> NADH[s] + H+[s] + pyruvate[s]"	"ec-code/1.1.1.27"	"Lachancea_cidri@Seq_4450 or Lachancea_fermentati@Seq_1522 or Lachancea_fermentati@Seq_735"	-1000	1000	NA	NA	"rhea/23447;kegg.reaction/R00703"	"Bifidobacterium shunt;heterolactic fermentation;pyruvate fermentation to lactate;superpathway of glucose and xylose degradation"	NA	NA	""	2
"L-IDITOL-2-DEHYDROGENASE-RXN"	"L-iditol dehydrogenase;L-iditol 2-dehydrogenase"	"L-iditol[s] + NAD+[s] <=> keto-L-sorbose[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.14"	"yHMPu5000034761_Lipomyces_lipofer@Seq_3584 or yHMPu5000041713_Debaryomyces_maramus@Seq_3738"	-1000	1000	NA	NA	"rhea/10163;kegg.reaction/R07145"	""	NA	NA	""	2
"L-ARABINOKINASE-RXN"	"arabinose kinase"	"ATP[s] + beta-L-arabinopyranose[s] => ADP[s] + beta-L-arabinose 1-phosphate[s] + H+[s]"	"ec-code/2.7.1.46"	"Arthrobotrys_oligospora@Seq_7354"	0	1000	NA	NA	"rhea/20154;kegg.reaction/R01754"	"UDP-beta-L-arabinose biosynthesis II (from beta-L-arabinose)"	NA	NA	""	2
"L-ARABINITOL-4-DEHYDROGENASE-RXN"	"L-arabitol dehydrogenase;L-arabinitol 4-dehydrogenase"	"L-arabinitol[s] + NAD+[s] <=> L-xylulose[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.12"	"yHMPu5000034754_Lipomyces_arxii@Seq_2730 or Millerozyma_acaciae@Seq_1901 or yHMPu5000034605_Spencermartinsiella_europaea@Seq_6025"	-1000	1000	NA	NA	"rhea/16384;kegg.reaction/R01903"	"L-arabinose degradation II"	NA	NA	""	2
"RXN-16092"	"andilesin B C-6' enoyl reductase"	"andilesin B[s] + Donor-H2[s] => Acceptor[s] + andilesin C[s]"	"ec-code/1.1.99"	"yHMPu5000034754_Lipomyces_arxii@Seq_1149 or yHMPu5000035244_Candida_incommunis@Seq_2312 or yHMPu5000034760_Lipomyces_kononenkoae@Seq_1896 or yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_4338 or Geotrichum_candidum@Seq_2423 or Aspergillus_nidulans@Seq_3199 or yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_6627"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16089"	"peramine synthetase"	"L-arginine[s] + 2 ATP[s] + (S)-1-pyrroline-5-carboxylate[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + 2 AMP[s] + peramine[s] + 2 diphosphate[s] + 2 H+[s] + H2O[s]"	"ec-code/6.3.2"	"Botrytis_cinerea@Seq_3539 or Aspergillus_nidulans@Seq_3128 or Fusarium_graminearum@Seq_3635"	0	1000	NA	NA	""	"peramine biosynthesis"	NA	NA	"pubmed/16091042"	2
"RXN-16088"	"andilesin D reductase"	"andilesin D[s] + Donor-H2[s] => Acceptor[s] + andilesin A[s]"	"ec-code/1.1.99"	"Sclerotinia_sclerotiorum@Seq_6415 or Fusarium_graminearum@Seq_6498 or Fusarium_graminearum@Seq_13051 or Botrytis_cinerea@Seq_877 or yHMPu5000034761_Lipomyces_lipofer@Seq_2937 or Fusarium_graminearum@Seq_6785"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16087"	"andiconin monooxygenase"	"andiconin[s] + NADPH[s] + oxygen[s] + H+[s] => andilesin D[s] + NADP+[s] + H2O[s]"	"ec-code/1.14.13"	"Stagonospora_nodorum@Seq_7139 or Stagonospora_nodorum@Seq_1643 or Aspergillus_nidulans@Seq_9822"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"KYNURENINASE-RXN"	"kynureninase;kynurenine hydrolase"	"L-kynurenine[s] + H2O[s] => anthranilate[s] + L-alanine[s] + H+[s]"	"ec-code/3.7.1.3"	"yHMPu5000034899_Ogataea_kodamae@Seq_775"	0	1000	NA	NA	"rhea/16814;kegg.reaction/R00987"	"L-tryptophan degradation XI (mammalian, via kynurenine);L-tryptophan degradation I (via anthranilate)"	NA	NA	""	2
"RXN-16084"	"preandiloid A dehydrogenase"	"Acceptor[s] + preandiloid A[s] => preandiloid B[s] + Donor-H2[s]"	"ec-code/1.1.99"	"Stagonospora_nodorum@Seq_10301"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"KIEVITONE-HYDRATASE-RXN"	"kievitone hydratase"	"kievitone[s] + H+[s] + H2O[s] => kievitone hydrate[s]"	"ec-code/4.2.1.95"	"Aspergillus_nidulans@Seq_6098"	0	1000	NA	NA	"rhea/23607;kegg.reaction/R03622"	"kievitone detoxification"	NA	NA	""	2
"RXN-16080"	"epoxyfarnesyl-5,7-dihydroxy-4,6-dimethylphthalide synthase"	"farnesyl-5,7-dihydroxy-4,6-dimethylphthalide[s] + Donor-H2[s] + oxygen[s] => Acceptor[s] + epoxyfarnesyl-5,7-dihydroxy-4,6-dimethylphthalide[s] + H2O[s]"	"ec-code/1.14.13"	"Fusarium_graminearum@Seq_4598 or Fusarium_graminearum@Seq_5913 or Fusarium_graminearum@Seq_8871 or Aspergillus_nidulans@Seq_2420"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16078"	"farnesyl-5,7-dihydroxy-4,6-dimethylphthalide synthase"	"5,7-dihydroxy-4,6-dimethylphthalide[s] + (2E,6E)-farnesyl diphosphate[s] => farnesyl-5,7-dihydroxy-4,6-dimethylphthalide[s] + diphosphate[s]"	"ec-code/2.5.1"	"Stagonospora_nodorum@Seq_9968 or Aspergillus_nidulans@Seq_1995"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16074"	"5,7-dihydroxy-4,6-dimethylphthalide synthase"	"4,6-dihydroxy-2-(hydroxymethyl)-3,5-dimethylbenzoate[s] + H+[s] => 5,7-dihydroxy-4,6-dimethylphthalide[s] + H2O[s]"	"ec-code/3.1.1"	"Stagonospora_nodorum@Seq_7701 or Fusarium_graminearum@Seq_8181 or Stagonospora_nodorum@Seq_4560 or Stagonospora_nodorum@Seq_10130 or Aspergillus_nidulans@Seq_6933 or Fusarium_graminearum@Seq_3495 or Aspergillus_nidulans@Seq_6342"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16073"	"3,5-dimethylorsellinate hydroxylase"	"3,5-dimethylorsellinate[s] + Donor-H2[s] + oxygen[s] => Acceptor[s] + 4,6-dihydroxy-2-(hydroxymethyl)-3,5-dimethylbenzoate[s] + H2O[s]"	"ec-code/1.14.99"	"Stagonospora_nodorum@Seq_7701 or Fusarium_graminearum@Seq_8181 or Stagonospora_nodorum@Seq_4560 or Stagonospora_nodorum@Seq_10130 or Aspergillus_nidulans@Seq_6933 or Fusarium_graminearum@Seq_3495 or Aspergillus_nidulans@Seq_6342"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16072"	"3,5-dimethylorsellinate synthase"	"acetyl-CoA[s] + 3 malonyl-CoA[s] + 2 S-ADENOSYLMETHIONINE[s] => 2 S-adenosyl-L-homocysteine[s] + 3 CO2[s] + 4 coenzyme A[s] + 3,5-dimethylorsellinate[s]"	"ec-code/2.3.1"	"Botrytis_cinerea@Seq_1392 or Botrytis_cinerea@Seq_3983 or Botrytis_cinerea@Seq_4013 or Sclerotinia_sclerotiorum@Seq_927"	0	1000	NA	NA	"rhea/49629"	"anditomin biosynthesis"	NA	NA	""	2
"KDGALDOL-RXN"	"alpha-dehydro-beta-deoxy-D-glucarate aldolase"	"5-dehydro-4-deoxy-D-glucarate[s] <=> pyruvate[s] + tartronate semialdehyde[s]"	"ec-code/4.1.2.20"	"Xylona_heveae@Seq_1435"	-1000	1000	NA	NA	"rhea/27729;kegg.reaction/R02754"	"D-glucarate degradation I;D-galactarate degradation I"	NA	NA	""	2
"RXN3DJ-170"	"5-hydroxy-L-tryptophan decarboxylase;5-hydroxytryptophan decarboxylase"	"5-hydroxy-L-tryptophan[s] + H+[s] => CO2[s] + serotonin[s]"	"ec-code/4.1.1.28"	"Fusarium_graminearum@Seq_7817"	0	1000	NA	NA	"rhea/18534;kegg.reaction/R02701"	"serotonin and melatonin biosynthesis"	NA	NA	""	2
"RXN-16000"	"L-allo-threonine dehydrogenase"	"L-allo-threonine[s] + NADP+[s] => L-2-amino-3-oxobutanoate[s] + NADPH[s] + H+[s]"	""	"yHMPu5000035274_Wickerhamomyces_alni@Seq_1038 or yHMPu5000035703_Cyberlindnera_americana@Seq_5544"	0	1000	NA	NA	"rhea/30056"	""	NA	NA	""	2
"RXN-15983"	"ferrichrome synthetase"	"3 ATP[s] + 3 N5-acetyl-N5-hydroxy-L-ornithine[s] + Fe3+[s] + 3 glycine[s] => 3 AMP[s] + ferrichrome[s] + 3 diphosphate[s] + 6 H+[s] + 3 H2O[s]"	"ec-code/6.3.2"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_3881 or yHMPu5000034761_Lipomyces_lipofer@Seq_7418"	0	1000	NA	NA	""	"ferrichrome biosynthesis"	NA	NA	"pubmed/11395469"	2
"ISOCHORSYN-RXN"	"isochorismate synthase;vibriobactin-specific isochorismate synthase"	"chorismate[s] <=> isochorismate[s]"	"ec-code/5.4.4.2"	"Candida_versatilis@Seq_2997"	-1000	1000	NA	NA	"rhea/18988;kegg.reaction/R01717"	"2-carboxy-1,4-naphthoquinol biosynthesis;salicylate biosynthesis I;2,3-dihydroxybenzoate biosynthesis"	NA	NA	""	2
"RXN-15977"	"propanoyl-CoA oxidase"	"oxygen[s] + propanoyl-CoA[s] => acryloyl-CoA[s] + hydrogen peroxide[s]"	"ec-code/1.3.3.6"	"Arthrobotrys_oligospora@Seq_8174"	0	1000	NA	NA	""	"crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered);propanoyl-CoA degradation II"	NA	NA	"pubmed/24497638"	2
"INORGPYROPHOSPHAT-RXN"	"inorganic pyrophosphatase;inorganic diphosphatase;diphosphate phosphatase"	"diphosphate[s] + H2O[s] => H+[s] + 2 phosphate[s]"	"ec-code/3.6.1.1"	"Arthrobotrys_oligospora@Seq_6579"	0	1000	NA	NA	"rhea/24576;kegg.reaction/R00004"	"glyphosate degradation III;(aminomethyl)phosphonate degradation"	NA	NA	""	2
"RXN-15954"	"candicidin polyketide synthase"	"4-aminobenzoyl-CoA[s] + 4 (S)-methylmalonyl-CoA[s] + 15 malonyl-CoA[s] + 28 NADPH[s] + 47 H+[s] => 15 CO2[s] + 20 coenzyme A[s] + candicinolide[s] + 28 NADP+[s] + 16 H2O[s]"	"ec-code/2.3.1"	"Arthrobotrys_oligospora@Seq_2609"	0	1000	NA	NA	""	"candicidin biosynthesis"	NA	NA	""	2
"RXN-15951"	"ferrichrome A synthetase"	"3 ATP[s] + 3 methylglutaconyl hydroxy ornithine[s] + Fe3+[s] + glycine[s] + 2 L-serine[s] => 3 AMP[s] + ferrichrome A[s] + 3 diphosphate[s] + 3 H+[s] + 3 H2O[s]"	"ec-code/6.3.2"	"Saitoella_complicata@Seq_538 or Botrytis_cinerea@Seq_15582"	0	1000	NA	NA	""	"ferrichrome A biosynthesis"	NA	NA	"pubmed/20070524"	2
"RXN-15950"	"N-hydroxyornithine acylase"	"N5-hydroxy-L-ornithine[s] + 3-methylglutaconyl-CoA[s] => coenzyme A[s] + methylglutaconyl hydroxy ornithine[s]"	"ec-code/3.5.1"	"Fusarium_graminearum@Seq_2892 or Fusarium_graminearum@Seq_6908"	0	1000	NA	NA	""	"ferrichrome A biosynthesis"	NA	NA	"pubmed/20070524"	2
"INDANOL-DEHYDROGENASE-RXN"	"Aldo-keto reductase family 1 member C1;Aldo-keto reductase family 1 member C3"	"1-indanol[s] + NAD-P-OR-NOP[s] <=> indanone[s] + NADH-P-OR-NOP[s] + H+[s]"	"ec-code/1.1.1.112"	"yHMPu5000034665_Kodamaea_laetipori@Seq_4143"	-1000	1000	NA	NA	"rhea/16324;rhea/16320;kegg.reaction/R03583"	""	NA	NA	""	2
"RXN-15914"	"bacimethrin diphosphokinase"	"ATP[s] + bacimethrin[s] => AMP[s] + bacimethrin pyrophosphate[s] + H+[s]"	"ec-code/2.7.6"	"Schizosaccharomyces_pombe@Seq_1524"	0	1000	NA	NA	""	"bacimethrin and bacimethrin pyrophosphate biosynthesis"	NA	NA	"pubmed/24654570"	2
"RXN-15910"	"alpha-glucosidase"	"MALTOSE[s] + H2O[s] => 2 Glucopyranose[s]"	"ec-code/3.2.1.20"	"yHMPu5000034761_Lipomyces_lipofer@Seq_483 or Kuraishia_capsulata@Seq_12 or yHMPu5000034761_Lipomyces_lipofer@Seq_2248 or yHMPu5000034761_Lipomyces_lipofer@Seq_1374"	0	1000	NA	NA	"kegg.reaction/R00028"	"starch degradation I"	NA	NA	""	2
"HYDROXYPYRUVATE-REDUCTASE-RXN"	"hydroxypyruvate reductase;hydroxypyruvate oxidoreductase;hydroxypyruvate reductase Me"	"(R)-glycerate[s] + NAD-P-OR-NOP[s] <=> NADH-P-OR-NOP[s] + hydroxypyruvate[s] + H+[s]"	"ec-code/1.1.1.81"	"Xylona_heveae@Seq_4840 or Aspergillus_nidulans@Seq_7958 or Neurospora_crassa@Seq_2740 or Stagonospora_nodorum@Seq_4130 or Aspergillus_nidulans@Seq_2272 or Aspergillus_nidulans@Seq_2093"	-1000	1000	NA	NA	"kegg.reaction/R01388;rhea/17908"	"L-serine biosynthesis II;formaldehyde assimilation I (serine pathway)"	NA	NA	""	2
"RXN-15855"	"syringaldehyde dehydrogenase"	"syringaldehyde[s] + NAD+[s] + H2O[s] => syringate[s] + NADH[s] + 2 H+[s]"	"ec-code/1.2.1"	"Fusarium_graminearum@Seq_10210 or Fusarium_graminearum@Seq_10534 or Neurospora_crassa@Seq_8057"	0	1000	NA	NA	""	""	NA	NA	"pubmed/24916011"	2
"HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN"	"hydroxymethylglutaryl-CoA lyase"	"(S)-3-hydroxy-3-methylglutaryl-CoA[s] => acetoacetate[s] + acetyl-CoA[s]"	"ec-code/4.1.3.4"	"Geotrichum_candidum@Seq_6760 or Aspergillus_nidulans@Seq_6945"	0	1000	NA	NA	"rhea/24405;kegg.reaction/R01360"	"mevalonate degradation;L-leucine degradation I;ketogenesis"	NA	NA	""	2
"RXN-15836"	"alpha-cyclopiazonate hydroxylase"	"alpha-cyclopiazonate[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => 2-oxocyclopiazonate[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]"	"ec-code/1.14.14"	"Stagonospora_nodorum@Seq_11083 or Sclerotinia_sclerotiorum@Seq_13089 or Botrytis_cinerea@Seq_6751 or Aspergillus_nidulans@Seq_8064 or Stagonospora_nodorum@Seq_536 or Aspergillus_nidulans@Seq_9810 or Stagonospora_nodorum@Seq_3009 or Stagonospora_nodorum@Seq_5263 or Stagonospora_nodorum@Seq_7278 or Stagonospora_nodorum@Seq_159 or Botrytis_cinerea@Seq_12869 or Botrytis_cinerea@Seq_13280 or Sclerotinia_sclerotiorum@Seq_6697 or Stagonospora_nodorum@Seq_8957 or Aspergillus_nidulans@Seq_2608"	0	1000	NA	NA	""	"alpha-cyclopiazonate detoxification"	NA	NA	"pubmed/5143339"	2
"RXN-15823"	"(-)-dehydrodiconiferyl acid dehydrogenase"	"(-)-dehydrodiconiferyl acid[s] + ETR-Quinones[s] => (-)-dehydrodiconiferyl acid aldehyde[s] + ETR-Quinols[s]"	""	"Botrytis_cinerea@Seq_13605 or yHMPu5000034760_Lipomyces_kononenkoae@Seq_6681 or Stagonospora_nodorum@Seq_483 or Fusarium_graminearum@Seq_8982"	0	1000	NA	NA	""	"(-)-dehydrodiconiferyl alcohol degradation"	NA	NA	"pubmed/24916011"	2
"RXN-15822"	"(-)-dehydrodiconiferyl acid aldehyde hydroxylase"	"(-)-dehydrodiconiferyl acid aldehyde gem-diol[s] + ETR-Quinones[s] => (-)-dehydrodiconiferyl acid carboxylate[s] + ETR-Quinols[s] + H+[s]"	""	"Botrytis_cinerea@Seq_13605 or yHMPu5000034760_Lipomyces_kononenkoae@Seq_6681 or Stagonospora_nodorum@Seq_483 or Fusarium_graminearum@Seq_8982"	0	1000	NA	NA	""	"(-)-dehydrodiconiferyl alcohol degradation"	NA	NA	"pubmed/24916011"	2
"RXN-15820"	"4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene dioxygenase"	"4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene[s] + oxygen[s] => 5-formylferulate[s] + vanillin[s]"	"ec-code/1.13.11"	"Botrytis_cinerea@Seq_8682"	0	1000	NA	NA	""	"(-)-dehydrodiconiferyl alcohol degradation"	NA	NA	"pubmed/24916011"	2
"RXN-15819"	"(-)-dehydrodiconiferyl aldehyde dehydrogenase"	"(-)-dehydrodiconiferyl aldehyde[s] + NAD+[s] + H2O[s] => (-)-dehydrodiconiferyl acid[s] + NADH[s] + 2 H+[s]"	"ec-code/1.2.1"	"Fusarium_graminearum@Seq_10210 or Fusarium_graminearum@Seq_10534 or Neurospora_crassa@Seq_8057"	0	1000	NA	NA	""	"(-)-dehydrodiconiferyl alcohol degradation"	NA	NA	"pubmed/24916011"	2
"HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN"	"benzoylformate decarboxylase;p-hydroxybenzoylformate carboxy-lyase"	"2-(4-hydroxyphenyl)-2-oxoacetate[s] + H+[s] => 4-hydroxybenzaldehyde[s] + CO2[s]"	"ec-code/4.1.1.7"	"yHMPu5000034671_Blastobotrys_peoriensis@Seq_5222 or Candida_versatilis@Seq_2425"	0	1000	NA	NA	"kegg.reaction/R02672"	"4-hydroxymandelate degradation"	NA	NA	""	2
"RXN-15801"	"hercynylcysteine S-oxide synthase"	"hercynine[s] + L-cysteine[s] + oxygen[s] => S-(hercyn-2-yl)-L-cysteine S-oxide[s] + H2O[s]"	"ec-code/1.14.99.51"	"Neurospora_crassa@Seq_7215 or Fusarium_graminearum@Seq_880 or Fusarium_graminearum@Seq_1254 or Aspergillus_nidulans@Seq_254 or Aspergillus_nidulans@Seq_3484 or yHMPu5000034655_Botryozyma_nematodophila@Seq_2554 or Lipomyces_starkeyi@Seq_7426"	0	1000	NA	NA	"rhea/42705"	"ergothioneine biosynthesis II (fungi)"	NA	NA	""	2
"HOMOGENTISATE-12-DIOXYGENASE-RXN"	"homogentisate 1,2-dioxygenase;homogentisate dioxygenase;homogentisate oxygenase"	"homogentisate[s] + oxygen[s] => 4-maleyl-acetoacetate[s] + H+[s]"	"ec-code/1.13.11.5"	"Arthrobotrys_oligospora@Seq_2807 or Stagonospora_nodorum@Seq_2194 or Aspergillus_nidulans@Seq_10137"	0	1000	NA	NA	"rhea/15450;kegg.reaction/R02519"	"L-tyrosine degradation I"	NA	NA	""	2
"RXN-15749"	"fumiquinazoline C oxidase"	"fumiquinazoline A[s] + oxygen[s] => fumiquinazoline C[s] + hydrogen peroxide[s]"	"ec-code/1.5.3"	"Xylona_heveae@Seq_1061 or Aspergillus_nidulans@Seq_8794 or Neurospora_crassa@Seq_29"	0	1000	NA	NA	""	"fumiquinazoline D biosynthesis"	NA	NA	"pubmed/21899262"	2
"RXN-15748"	"fumiquinazoline A synthetase"	"ATP[s] + fumiquinazoline F-indoline-2',3'-diol[s] + L-alanine[s] => AMP[s] + fumiquinazoline A[s] + diphosphate[s] + H+[s] + H2O[s]"	"ec-code/6.3.2"	"Stagonospora_nodorum@Seq_8035"	0	1000	NA	NA	""	"fumiquinazoline D biosynthesis"	NA	NA	"pubmed/20804163"	2
