"ID"	"NAME"	"EQUATION"	"EC.NUMBER"	"GENE.ASSOCIATION"	"LOWER.BOUND"	"UPPER.BOUND"	"OBJECTIVE"	"COMPARTMENT"	"MIRIAM"	"SUBSYSTEM"	"REPLACEMENT.ID"	"NOTE"	"REFERENCE"	"CONFIDENCE.SCORE"
"L-RHAMNONATE-DEHYDRATASE-RXN"	"L-rhamnoate dehydratase;L-rhamnonate dehydratase"	"L-rhamnonate[s] => 2-dehydro-3-deoxy-L-rhamnonate[s] + H2O[s]"	"ec-code/4.2.1.90"	"yHMPu5000041829_Debaryomyces_fabryi@Seq_3216 or yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_646"	0	1000	NA	NA	"rhea/23080;kegg.reaction/R03774"	"L-rhamnose degradation II;L-rhamnose degradation III"	NA	NA	""	2
"L-LACTATE-DEHYDROGENASE-RXN"	"L-lactate dehydrogenase"	"(S)-lactate[s] + NAD+[s] <=> NADH[s] + H+[s] + pyruvate[s]"	"ec-code/1.1.1.27"	"Lachancea_cidri@Seq_4450 or Lachancea_fermentati@Seq_1522 or Lachancea_fermentati@Seq_735"	-1000	1000	NA	NA	"rhea/23447;kegg.reaction/R00703"	"Bifidobacterium shunt;heterolactic fermentation;pyruvate fermentation to lactate;superpathway of glucose and xylose degradation"	NA	NA	""	2
"L-IDITOL-2-DEHYDROGENASE-RXN"	"L-iditol dehydrogenase;L-iditol 2-dehydrogenase"	"L-iditol[s] + NAD+[s] <=> keto-L-sorbose[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.14"	"yHMPu5000041713_Debaryomyces_maramus@Seq_3738"	-1000	1000	NA	NA	"rhea/10163;kegg.reaction/R07145"	""	NA	NA	""	2
"L-ARABINITOL-4-DEHYDROGENASE-RXN"	"L-arabitol dehydrogenase;L-arabinitol 4-dehydrogenase"	"L-arabinitol[s] + NAD+[s] <=> L-xylulose[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.12"	"Millerozyma_acaciae@Seq_1901 or yHMPu5000034605_Spencermartinsiella_europaea@Seq_6025"	-1000	1000	NA	NA	"rhea/16384;kegg.reaction/R01903"	"L-arabinose degradation II"	NA	NA	""	2
"RXN-16093"	"anditomin synthase"	"2-oxoglutarate[s] + andilesin C[s] + oxygen[s] => CO2[s] + anditomin[s] + succinate[s] + H2O[s]"	"ec-code/1.14.20"	"Aspergillus_nidulans@Seq_9556"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16092"	"andilesin B C-6' enoyl reductase"	"andilesin B[s] + Donor-H2[s] => Acceptor[s] + andilesin C[s]"	"ec-code/1.1.99"	"yHMPu5000034754_Lipomyces_arxii@Seq_1149 or Aspergillus_nidulans@Seq_3199"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16088"	"andilesin D reductase"	"andilesin D[s] + Donor-H2[s] => Acceptor[s] + andilesin A[s]"	"ec-code/1.1.99"	"Sclerotinia_sclerotiorum@Seq_6415 or Fusarium_graminearum@Seq_6498 or Botrytis_cinerea@Seq_877"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16087"	"andiconin monooxygenase"	"andiconin[s] + NADPH[s] + oxygen[s] + H+[s] => andilesin D[s] + NADP+[s] + H2O[s]"	"ec-code/1.14.13"	"Stagonospora_nodorum@Seq_7139 or Stagonospora_nodorum@Seq_1643"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"KYNURENINASE-RXN"	"kynureninase;kynurenine hydrolase"	"L-kynurenine[s] + H2O[s] => anthranilate[s] + L-alanine[s] + H+[s]"	"ec-code/3.7.1.3"	"yHMPu5000034899_Ogataea_kodamae@Seq_775"	0	1000	NA	NA	"rhea/16814;kegg.reaction/R00987"	"L-tryptophan degradation XI (mammalian, via kynurenine);L-tryptophan degradation I (via anthranilate)"	NA	NA	""	2
"RXN-16084"	"preandiloid A dehydrogenase"	"Acceptor[s] + preandiloid A[s] => preandiloid B[s] + Donor-H2[s]"	"ec-code/1.1.99"	"Stagonospora_nodorum@Seq_10301"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16080"	"epoxyfarnesyl-5,7-dihydroxy-4,6-dimethylphthalide synthase"	"farnesyl-5,7-dihydroxy-4,6-dimethylphthalide[s] + Donor-H2[s] + oxygen[s] => Acceptor[s] + epoxyfarnesyl-5,7-dihydroxy-4,6-dimethylphthalide[s] + H2O[s]"	"ec-code/1.14.13"	"Sclerotinia_sclerotiorum@Seq_1940"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16078"	"farnesyl-5,7-dihydroxy-4,6-dimethylphthalide synthase"	"5,7-dihydroxy-4,6-dimethylphthalide[s] + (2E,6E)-farnesyl diphosphate[s] => farnesyl-5,7-dihydroxy-4,6-dimethylphthalide[s] + diphosphate[s]"	"ec-code/2.5.1"	"Aspergillus_nidulans@Seq_1995"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16074"	"5,7-dihydroxy-4,6-dimethylphthalide synthase"	"4,6-dihydroxy-2-(hydroxymethyl)-3,5-dimethylbenzoate[s] + H+[s] => 5,7-dihydroxy-4,6-dimethylphthalide[s] + H2O[s]"	"ec-code/3.1.1"	"Stagonospora_nodorum@Seq_7701 or Fusarium_graminearum@Seq_8181 or Aspergillus_nidulans@Seq_6933 or Fusarium_graminearum@Seq_3495"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16073"	"3,5-dimethylorsellinate hydroxylase"	"3,5-dimethylorsellinate[s] + Donor-H2[s] + oxygen[s] => Acceptor[s] + 4,6-dihydroxy-2-(hydroxymethyl)-3,5-dimethylbenzoate[s] + H2O[s]"	"ec-code/1.14.99"	"Stagonospora_nodorum@Seq_7701 or Fusarium_graminearum@Seq_8181 or Aspergillus_nidulans@Seq_6933 or Fusarium_graminearum@Seq_3495"	0	1000	NA	NA	""	"anditomin biosynthesis"	NA	NA	"pubmed/25216349"	2
"RXN-16072"	"3,5-dimethylorsellinate synthase"	"acetyl-CoA[s] + 3 malonyl-CoA[s] + 2 S-ADENOSYLMETHIONINE[s] => 2 S-adenosyl-L-homocysteine[s] + 3 CO2[s] + 4 coenzyme A[s] + 3,5-dimethylorsellinate[s]"	"ec-code/2.3.1"	"Botrytis_cinerea@Seq_1392 or Botrytis_cinerea@Seq_3983 or Botrytis_cinerea@Seq_4013 or Sclerotinia_sclerotiorum@Seq_927"	0	1000	NA	NA	"rhea/49629"	"anditomin biosynthesis"	NA	NA	""	2
"RXN3DJ-170"	"5-hydroxy-L-tryptophan decarboxylase;5-hydroxytryptophan decarboxylase"	"5-hydroxy-L-tryptophan[s] + H+[s] => CO2[s] + serotonin[s]"	"ec-code/4.1.1.28"	"Fusarium_graminearum@Seq_7817"	0	1000	NA	NA	"rhea/18534;kegg.reaction/R02701"	"serotonin and melatonin biosynthesis"	NA	NA	""	2
"RXN-16000"	"L-allo-threonine dehydrogenase"	"L-allo-threonine[s] + NADP+[s] => L-2-amino-3-oxobutanoate[s] + NADPH[s] + H+[s]"	""	"yHMPu5000034902_Ogataea_minuta@Seq_2420 or yHMPu5000035274_Wickerhamomyces_alni@Seq_1038 or Wickerhamiella_domercqiae@Seq_1860"	0	1000	NA	NA	"rhea/30056"	""	NA	NA	""	2
"ISOCHORSYN-RXN"	"isochorismate synthase;vibriobactin-specific isochorismate synthase"	"chorismate[s] <=> isochorismate[s]"	"ec-code/5.4.4.2"	"Candida_versatilis@Seq_2997"	-1000	1000	NA	NA	"rhea/18988;kegg.reaction/R01717"	"2-carboxy-1,4-naphthoquinol biosynthesis;salicylate biosynthesis I;2,3-dihydroxybenzoate biosynthesis"	NA	NA	""	2
"RXN-15950"	"N-hydroxyornithine acylase"	"N5-hydroxy-L-ornithine[s] + 3-methylglutaconyl-CoA[s] => coenzyme A[s] + methylglutaconyl hydroxy ornithine[s]"	"ec-code/3.5.1"	"Fusarium_graminearum@Seq_6908"	0	1000	NA	NA	""	"ferrichrome A biosynthesis"	NA	NA	"pubmed/20070524"	2
"RXN-15910"	"alpha-glucosidase"	"MALTOSE[s] + H2O[s] => 2 Glucopyranose[s]"	"ec-code/3.2.1.20"	"yHMPu5000034761_Lipomyces_lipofer@Seq_483 or yHMPu5000034761_Lipomyces_lipofer@Seq_1374"	0	1000	NA	NA	"kegg.reaction/R00028"	"starch degradation I"	NA	NA	""	2
"HYDROXYPYRUVATE-REDUCTASE-RXN"	"hydroxypyruvate reductase;hydroxypyruvate oxidoreductase;hydroxypyruvate reductase Me"	"(R)-glycerate[s] + NAD-P-OR-NOP[s] <=> NADH-P-OR-NOP[s] + hydroxypyruvate[s] + H+[s]"	"ec-code/1.1.1.81"	"Stagonospora_nodorum@Seq_4130"	-1000	1000	NA	NA	"kegg.reaction/R01388;rhea/17908"	"L-serine biosynthesis II;formaldehyde assimilation I (serine pathway)"	NA	NA	""	2
"RXN-15855"	"syringaldehyde dehydrogenase"	"syringaldehyde[s] + NAD+[s] + H2O[s] => syringate[s] + NADH[s] + 2 H+[s]"	"ec-code/1.2.1"	"Fusarium_graminearum@Seq_10210 or Fusarium_graminearum@Seq_10534 or Neurospora_crassa@Seq_8057"	0	1000	NA	NA	""	""	NA	NA	"pubmed/24916011"	2
"HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN"	"hydroxymethylglutaryl-CoA lyase"	"(S)-3-hydroxy-3-methylglutaryl-CoA[s] => acetoacetate[s] + acetyl-CoA[s]"	"ec-code/4.1.3.4"	"Geotrichum_candidum@Seq_6760"	0	1000	NA	NA	"rhea/24405;kegg.reaction/R01360"	"mevalonate degradation;L-leucine degradation I;ketogenesis"	NA	NA	""	2
"RXN-15836"	"alpha-cyclopiazonate hydroxylase"	"alpha-cyclopiazonate[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => 2-oxocyclopiazonate[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]"	"ec-code/1.14.14"	"Sclerotinia_sclerotiorum@Seq_13089 or Botrytis_cinerea@Seq_16063 or Aspergillus_nidulans@Seq_9810 or Stagonospora_nodorum@Seq_5263 or Botrytis_cinerea@Seq_13280 or Stagonospora_nodorum@Seq_8957 or Aspergillus_nidulans@Seq_2608"	0	1000	NA	NA	""	"alpha-cyclopiazonate detoxification"	NA	NA	"pubmed/5143339"	2
"RXN-15820"	"4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene dioxygenase"	"4,2'-dihydroxy-3,3'-dimethoxy-5'-(2''-carboxyvinyl)stilbene[s] + oxygen[s] => 5-formylferulate[s] + vanillin[s]"	"ec-code/1.13.11"	"Botrytis_cinerea@Seq_8682"	0	1000	NA	NA	""	"(-)-dehydrodiconiferyl alcohol degradation"	NA	NA	"pubmed/24916011"	2
"RXN-15819"	"(-)-dehydrodiconiferyl aldehyde dehydrogenase"	"(-)-dehydrodiconiferyl aldehyde[s] + NAD+[s] + H2O[s] => (-)-dehydrodiconiferyl acid[s] + NADH[s] + 2 H+[s]"	"ec-code/1.2.1"	"Fusarium_graminearum@Seq_10210 or Fusarium_graminearum@Seq_10534 or Neurospora_crassa@Seq_8057"	0	1000	NA	NA	""	"(-)-dehydrodiconiferyl alcohol degradation"	NA	NA	"pubmed/24916011"	2
"HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN"	"benzoylformate decarboxylase;p-hydroxybenzoylformate carboxy-lyase"	"2-(4-hydroxyphenyl)-2-oxoacetate[s] + H+[s] => 4-hydroxybenzaldehyde[s] + CO2[s]"	"ec-code/4.1.1.7"	"yHMPu5000034671_Blastobotrys_peoriensis@Seq_5222 or Candida_versatilis@Seq_2425"	0	1000	NA	NA	"kegg.reaction/R02672"	"4-hydroxymandelate degradation"	NA	NA	""	2
"RXN-15801"	"hercynylcysteine S-oxide synthase"	"hercynine[s] + L-cysteine[s] + oxygen[s] => S-(hercyn-2-yl)-L-cysteine S-oxide[s] + H2O[s]"	"ec-code/1.14.99.51"	"Aspergillus_nidulans@Seq_254 or Aspergillus_nidulans@Seq_3484 or yHMPu5000034655_Botryozyma_nematodophila@Seq_2554"	0	1000	NA	NA	"rhea/42705"	"ergothioneine biosynthesis II (fungi)"	NA	NA	""	2
"HOMOGENTISATE-12-DIOXYGENASE-RXN"	"homogentisate 1,2-dioxygenase;homogentisate dioxygenase;homogentisate oxygenase"	"homogentisate[s] + oxygen[s] => 4-maleyl-acetoacetate[s] + H+[s]"	"ec-code/1.13.11.5"	"Arthrobotrys_oligospora@Seq_2807 or Stagonospora_nodorum@Seq_2194 or Aspergillus_nidulans@Seq_10137"	0	1000	NA	NA	"rhea/15450;kegg.reaction/R02519"	"L-tyrosine degradation I"	NA	NA	""	2
"RXN0-901"	"xanthine:NAD+ oxidoreductase;xanthine dehydrogenase"	"NAD+[s] + H2O[s] + xanthine[s] <=> NADH[s] + H+[s] + urate[s]"	"ec-code/1.17.1.4"	"yHMPu5000034918_Nakazawaea_holstii@Seq_5765"	-1000	1000	NA	NA	"rhea/16672;kegg.reaction/R02103"	"purine nucleobases degradation II (anaerobic);purine nucleobases degradation I (anaerobic);theophylline degradation;caffeine degradation III (bacteria, via demethylation);inosine 5'-phosphate degradation;adenosine nucleotides degradation II;guanosine nucleotides degradation III;guanosine nucleotides degradation I;guanosine nucleotides degradation II;adenosine nucleotides degradation I"	NA	NA	""	2
"RXN-15738"	"paspalinine synthase"	"paspalicine[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => paspalinine[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]"	"ec-code/1.14.14"	"Fusarium_graminearum@Seq_8050"	0	1000	NA	NA	"kegg.reaction/R10362"	"aflatrem biosynthesis"	NA	NA	"pubmed/19801473"	2
"RXN-15737"	"paspalicine synthase"	"13-desoxypaxilline[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => paspalicine[s] + Ox-NADPH-Hemoprotein-Reductases[s] + 2 H2O[s]"	"ec-code/1.14.19"	"Fusarium_graminearum@Seq_8050"	0	1000	NA	NA	"kegg.reaction/R10361"	"aflatrem biosynthesis"	NA	NA	"pubmed/19801473"	2
"RXN-15718"	"2-methylbutanoate polyketide synthase"	"Holo-LovF[s] + 2 malonyl-CoA[s] + 2 NADPH[s] + 3 H+[s] + S-ADENOSYLMETHIONINE[s] => 2-methylbutanoyl-LovF[s] + S-adenosyl-L-homocysteine[s] + 2 CO2[s] + 2 coenzyme A[s] + 2 NADP+[s] + H2O[s]"	"ec-code/2.3.1.244"	"yHMPu5000034754_Lipomyces_arxii@Seq_4243 or Aspergillus_nidulans@Seq_8440 or Sclerotinia_sclerotiorum@Seq_11433 or Aspergillus_nidulans@Seq_1235"	0	1000	NA	NA	"rhea/42853"	"lovastatin biosynthesis"	NA	NA	""	2
"RXN-15716"	"5-aminolevulinyl-CoA cyclase"	"5-aminolevulinyl-CoA[s] => coenzyme A[s] + 2-amino-3-hydroxycyclopent-2-enone[s] + H+[s]"	""	"yHMPu5000034611_Saturnispora_mendoncae@Seq_2010"	0	1000	NA	NA	""	"2-amino-3-hydroxycyclopent-2-enone biosynthesis"	NA	NA	"pubmed/20394362"	2
"HALOALKANE-DEHALOGENASE-RXN"	"haloalkane dehalogenase"	"1-Haloalkanes[s] + H2O[s] => Halide-Anions[s] + H+[s] + Primary-Alcohols[s]"	"ec-code/3.8.1.5"	"yHMPu5000034674_Blastobotrys_muscicola@Seq_6397"	0	1000	NA	NA	"rhea/19082;kegg.reaction/R02337"	""	NA	NA	""	2
"RXN0-7219"	"galactoside-arabinose galactohydrolase"	"3-O-beta-D-galactopyranosyl-D-arabinose[s] + H2O[s] => D-ARABINOSE[s] + beta-D-galactopyranose[s]"	"ec-code/3.2.1"	"yHMPu5000034673_Blastobotrys_nivea@Seq_6825"	0	1000	NA	NA	""	""	NA	NA	""	2
"RXN-15667"	"benzodiazepinedione synthetase"	"anthranilate[s] + 2 ATP[s] + L-tryptophan[s] => 2 ADP[s] + (R)-benzodiazepinedione[s] + H+[s] + 2 phosphate[s]"	"ec-code/6.3.2"	"Coccidioides_immitis@Seq_5482"	0	1000	NA	NA	""	"acetylaszonalenin biosynthesis"	NA	NA	"pubmed/20225828"	2
"RXN0-7143"	"Kemp eliminase"	"5-nitro benzisoxazole[s] => 2-cyano-4-nitrophenol[s]"	""	"Schizosaccharomyces_pombe@Seq_769"	0	1000	NA	NA	""	""	NA	NA	"pubmed/21332126"	2
"RXN0-7119"	"isobutyraldehyde reductase"	"isobutanal[s] + NADPH[s] + H+[s] => isobutanol[s] + NADP+[s]"	"ec-code/1.1.1"	"yHMPu5000035047_Barnettozyma_pratensis@Seq_382 or Candida_versatilis@Seq_1302"	0	1000	NA	NA	""	""	NA	NA	""	2
"RXN-15637"	"4-sulfoacetophenone monooxygenase"	"4-sulfoacetophenone[s] + NADPH[s] + oxygen[s] + H+[s] => 4-sulfophenyl acetate[s] + NADP+[s] + H2O[s]"	"ec-code/1.14.13"	"Stagonospora_nodorum@Seq_9333 or yHMPu5000041829_Debaryomyces_fabryi@Seq_5475"	0	1000	NA	NA	""	"3-(4-sulfophenyl)butanoate degradation"	NA	NA	"pubmed/23001656"	2
"GUANIDINOBUTYRASE-RXN"	"guanidinobutyrase;guanidinobutyrate amidinohydrolase"	"4-guanidinobutanoate[s] + H2O[s] => 4-aminobutanoate[s] + urea[s]"	"ec-code/3.5.3.7"	"Ascoidea_asiatica@Seq_6967 or yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_1708 or yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_5630 or yHMPu5000034661_Dipodascus_albidus@Seq_1482 or yHMPu5000026256_Zygotorulaspora_mrakii@Seq_2078 or yHMPu5000034952_Citeromyces_siamensis@Seq_4037 or yHMPu5000035261_Candida_ponderosae@Seq_3924 or yHMPu5000034952_Citeromyces_siamensis@Seq_6012 or yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_218 or Schizosaccharomyces_pombe@Seq_2391 or yHMPu5000034607_Saccharomycopsis_capsularis@Seq_2256 or yHMPu5000035658_Starmera_amethionina@Seq_2597 or Xylona_heveae@Seq_4257 or yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_6120"	0	1000	NA	NA	"rhea/19502;kegg.reaction/R01990"	"L-arginine degradation XII;L-arginine degradation IX (arginine:pyruvate transaminase pathway);L-arginine degradation VIII (arginine oxidase pathway);L-arginine degradation X (arginine monooxygenase pathway)"	NA	NA	""	2
"RXN-15608"	"didemethylasterriquinone D synthetase"	"2 ATP[s] + 2 (indol-3-yl)pyruvate[s] => 2 AMP[s] + didemethylasterriquinone D[s] + 2 diphosphate[s]"	""	"Aspergillus_nidulans@Seq_3228"	0	1000	NA	NA	""	"terrequinone A biosynthesis"	NA	NA	"pubmed/17704773"	2
"RXN0-7075"	"acetyl-CoA:oxalate CoA-transferase"	"acetyl-CoA[s] + oxalate[s] <=> acetate[s] + oxalyl-CoA[s]"	"ec-code/2.8.3.19"	"Aspergillus_nidulans@Seq_993"	-1000	1000	NA	NA	"kegg.reaction/R10614;rhea/37886"	""	NA	NA	""	2
"RXN-15601"	"8beta-hydroxyfusicocca-1,10(14)-diene-16-al reductase"	"8beta-hydroxyfusicocca-1,10(14)-diene-16-al[s] + NADH-P-OR-NOP[s] + H+[s] => fusicocca-1,10(14)-diene-8beta,16-diol[s] + NAD-P-OR-NOP[s]"	"ec-code/1.1.1"	"yHMPu5000035031_Candida_kruisii@Seq_5239 or Stagonospora_nodorum@Seq_2399 or Aspergillus_nidulans@Seq_2070 or yHMPu5000035243_Zygoascus_meyerae@Seq_2448 or yHMPu5000041693_Debaryomyces_nepalensis@Seq_4031 or yHMPu5000034748_Lipomyces_oligophaga@Seq_4060 or Fusarium_graminearum@Seq_6139"	0	1000	NA	NA	""	"fusicoccin A biosynthesis"	NA	NA	"pubmed/21299202"	2
"RXN-15592"	"fusicoccadiene 8-ol C-16 hydroxylase"	"fusicocca-2,10(14)-diene-8beta-ol[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => fusicocca-2,10(14)-diene-8beta,16-diol[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]"	"ec-code/1.14.14"	"Botrytis_cinerea@Seq_6751"	0	1000	NA	NA	""	"brassicicene C biosynthesis"	NA	NA	"pubmed/19700326"	2
"RXN-15591"	"fusicoccadiene C-8 hydroxylase"	"fusicocca-2,10(14)-diene[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => fusicocca-2,10(14)-diene-8beta-ol[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]"	"ec-code/1.14.14"	"Botrytis_cinerea@Seq_3017 or Botrytis_cinerea@Seq_1051 or Coccidioides_immitis@Seq_3773 or Botrytis_cinerea@Seq_10139"	0	1000	NA	NA	""	"brassicicene C biosynthesis"	NA	NA	"pubmed/19700326"	2
"GLYOXYLATE-REDUCTASE-NADP+-RXN"	"glyoxylate reductase;glyoxylate reductase (NADP+)"	"glyoxylate[s] + NADPH[s] + H+[s] => glycolate[s] + NADP+[s]"	"ec-code/1.1.1.79"	"Stagonospora_nodorum@Seq_4130"	0	1000	NA	NA	"kegg.reaction/R00465"	""	NA	NA	""	2
"RXN0-7020"	"2,5-didehydrogluconate reductase (2-keto-L-gulonate forming);2,5-diketo-D-gluconate reductase"	"2,5-didehydro-D-gluconate[s] + NADPH[s] + H+[s] => 2-keto-L-gulonate[s] + NADP+[s]"	"ec-code/1.1.1.346"	"yHMPu5000034887_Ogataea_trehaloabstinens@Seq_3869 or yHMPu5000035047_Barnettozyma_pratensis@Seq_382"	0	1000	NA	NA	""	"ketogluconate metabolism;L-ascorbate biosynthesis VI (engineered pathway)"	NA	NA	"pubmed/3597405;pubmed/10427017;pubmed/9618487;pubmed/Maremonti96"	2
"RXN0-7013"	"2''-O-acetyl-ADP-ribose deacetylase"	"2''-O-acetyl-ADP-ribose[s] + H2O[s] => acetate[s] + ADP-D-ribose[s] + H+[s]"	"ec-code/3.1.1.y"	"Sclerotinia_sclerotiorum@Seq_7187"	0	1000	NA	NA	""	""	NA	NA	"pubmed/21257746"	2
"GLYOXIII-RXN"	"glyoxalase;glyoxalase III"	"methylglyoxal[s] + H2O[s] => (R)-lactate[s] + H+[s]"	"ec-code/4.2.1.130"	"yHMPu5000035659_Saturnispora_dispora@Seq_2102"	0	1000	NA	NA	"kegg.reaction/R09796;rhea/27754"	""	NA	NA	""	2
