"Query.ID"	"Predicted.EC.number"
"yHMPu5000034952_Citeromyces_siamensis@Seq_85"	"1.2.1.47"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_4422"	"1.2.1.47"
"yHMPu5000035048_Barnettozyma_salicaria@Seq_317"	"1.1.1.250"
"Botrytis_cinerea@Seq_5417"	"1.1.1.289"
"yHMPu5000035335_Candida_blattae@Seq_3140"	"3.6.4.9"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_9015"	"1.8.1.16"
"yHMPu5000034675_Blastobotrys_mokoenaii@Seq_417"	"1.1.1.353"
"yHMPu5000035674_Kregervanrija_delftensis@Seq_1935"	"2.5.1.67"
"yHMPu5000034761_Lipomyces_lipofer@Seq_3584"	"1.1.1.287"
"yHMPu5000034673_Blastobotrys_nivea@Seq_7251"	"1.1.1.372"
"yHMPu5000034673_Blastobotrys_nivea@Seq_6404"	"1.2.1.85"
"Metschnikowia_hamakuensis@Seq_1972"	"2.6.1.66"
"yHMPu5000034967_Candida_freyschussii@Seq_2194"	"1.2.1.47"
"Arxula_adeninivorans@Seq_4646"	"1.1.1.289"
"Saprochaete_clavata@Seq_1484"	"2.7.7.48"
"Arthrobotrys_oligospora@Seq_10575"	"3.2.1.78"
"yHMPu5000035022_Candida_emberorum@Seq_769"	"3.2.2.n1"
"yHMPu5000041822_Dipodascus_geniculatus@Seq_5301"	"1.6.5.3"
"Aspergillus_nidulans@Seq_10669"	"3.1.1.74"
"Arthrobotrys_oligospora@Seq_10285"	"3.1.1.11"
"yHMPu5000034974_Deakozyma_indianensis@Seq_4046"	"3.2.1.4"
"Sclerotinia_sclerotiorum@Seq_14042"	"3.2.1.4"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_7991"	"3.2.1.17"
"yHMPu5000034748_Lipomyces_oligophaga@Seq_3786"	"2.7.7.48"
"yHMPu5000034754_Lipomyces_arxii@Seq_5516"	"2.4.1.129"
"Xylona_heveae@Seq_1004"	"3.2.1.17"
"Lachancea_kluyveri@Seq_2245"	"2.1.1.72"
"Fusarium_graminearum@Seq_2373"	"1.6.5.8"
"yHMPu5000035695_Hanseniaspora_pseudoguilliermondii@Seq_3981"	"1.6.5.3"
"Arthrobotrys_oligospora@Seq_11289"	"2.7.7.48"
"yHMPu5000034754_Lipomyces_arxii@Seq_7880"	"3.2.1.22"
"Wickerhamiella_domercqiae@Seq_1793"	"2.6.1.37"
"Stagonospora_nodorum@Seq_10364"	"1.14.13.22"
"Fusarium_graminearum@Seq_2038"	"1.10.3.2"
"Arthrobotrys_oligospora@Seq_1094"	"2.4.1.13"
"Arthrobotrys_oligospora@Seq_5641"	"4.2.2.2"
"Meyerozyma_guilliermondii@Seq_4914"	"1.6.5.3"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_7168"	"1.6.5.3"
"yHMPu5000034979_Cyberlindnera_misumaiensis@Seq_572"	"1.1.1.274"
"Arthrobotrys_oligospora@Seq_8436"	"2.4.2.29"
"Metschnikowia_hibisci@Seq_5078"	"1.6.5.3"
"Xylona_heveae@Seq_1137"	"1.1.1.17"
"Babjeviella_inositovora@Seq_5161"	"1.6.5.3"
"Stagonospora_nodorum@Seq_8846"	"3.2.1.8"
"yHMPu5000034605_Spencermartinsiella_europaea@Seq_5559"	"2.1.1.72"
"yHMPu5000035645_Yarrowia_divulgata@Seq_3663"	"3.1.4.52"
"yHMPu5000035643_Yarrowia_bubula@Seq_4060"	"2.1.1.197"
"Schizosaccharomyces_pombe@Seq_1059"	"1.2.1.8"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_5166"	"2.1.1.79"
"Stagonospora_nodorum@Seq_6908"	"2.1.1.197"
"Aspergillus_nidulans@Seq_3046"	"1.14.13.22"
"Xylona_heveae@Seq_809"	"3.2.1.45"
"Fusarium_graminearum@Seq_10154"	"2.1.1.197"
"yHMPu5000035699_Cyberlindnera_maclurae@Seq_1991"	"1.10.3.2"
"yHMPu5000034636_Ogataea_nitratoaversa@Seq_834"	"1.6.5.3"
"yHMPu5000035335_Candida_blattae@Seq_3481"	"3.2.1.4"
"Lachancea_fantastica@Seq_4524"	"2.1.1.222"
"yHMPu5000034760_Lipomyces_kononenkoae@Seq_7452"	"2.1.1.148"
"Fusarium_graminearum@Seq_11139"	"1.1.1.47"
"Sclerotinia_sclerotiorum@Seq_6119"	"3.1.1.73"
"Saprochaete_clavata@Seq_1809"	"2.7.7.48"
"Arxula_adeninivorans@Seq_2891"	"1.1.1.28"
"Neurospora_crassa@Seq_10341"	"1.4.3.2"
"Schizosaccharomyces_pombe@Seq_3134"	"2.1.1.37"
"Spathaspora_passalidarum@Seq_3302"	"3.2.1.4"
"yHMPu5000034742_Lipomyces_suomiensis@Seq_3151"	"3.6.3.4"
"yHMPu5000034632_Candida_athensensis@Seq_2717"	"1.6.5.2"
"Lachancea_cidri@Seq_4450"	"1.1.1.27"
"Fusarium_graminearum@Seq_8974"	"3.1.1.74"
"Botrytis_cinerea@Seq_15834"	"4.2.2.2"
"Ascoidea_rubescens@Seq_3551"	"3.2.1.96"
"Fusarium_graminearum@Seq_9183"	"1.10.3.3"
"Aspergillus_nidulans@Seq_1060"	"1.13.12.4"
"Fusarium_graminearum@Seq_7091"	"3.5.5.1"
"Botrytis_cinerea@Seq_7164"	"3.2.1.4"
"yHMPu5000035325_Cyberlindnera_petersonii@Seq_2582"	"2.1.1.86"
"Saccharomycopsis_malanga@Seq_5555"	"1.6.5.2"
"Neurospora_crassa@Seq_5657"	"1.10.3.2"
"yHMPu5000034918_Nakazawaea_holstii@Seq_5337"	"1.6.5.3"
"Saitoella_complicata@Seq_3644"	"2.7.7.48"
"yHMPu5000034760_Lipomyces_kononenkoae@Seq_3932"	"2.7.9.2"
"Neurospora_crassa@Seq_10626"	"3.2.1.4"
"Aspergillus_nidulans@Seq_9013"	"4.2.2.10"
"Alloascoidea_hylecoeti@Seq_1782"	"3.2.1.4"
"Yarrowia_keelungensis@Seq_3983"	"3.4.19.3"
"Metschnikowia_matae_maris@Seq_339"	"1.5.1.8"
"yHMPu5000034957_Hanseniaspora_osmophila@Seq_1001"	"3.6.4.9"
"Candida_sorboxylosa@Seq_877"	"1.4.7.1"
"Sclerotinia_sclerotiorum@Seq_13229"	"1.13.11.60"
"Metschnikowia_cerradonensis@Seq_1420"	"6.3.4.16"
"yHAB166_Kazachstania_yakushimaensis@Seq_311"	"2.3.1.175"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_516"	"2.5.1.51"
"yHMPu5000026142_Citeromyces_matritensis@Seq_6555"	"2.5.1.112"
"yHAB134_Kazachstania_turicensis@Seq_953"	"2.6.1.66"
"yHMPu5000035658_Starmera_amethionina@Seq_5458"	"3.6.4.9"
"yHMPu5000034675_Blastobotrys_mokoenaii@Seq_2675"	"1.1.1.353"
"yHMPu5000034952_Citeromyces_siamensis@Seq_4842"	"1.2.1.47"
"Saitoella_complicata@Seq_465"	"1.2.1.97"
"yHMPu5000034673_Blastobotrys_nivea@Seq_6130"	"1.1.1.353"
"yHAB134_Kazachstania_turicensis@Seq_5592"	"2.7.11.27"
"yHMPu5000034952_Citeromyces_siamensis@Seq_835"	"1.1.1.250"
"yHMPu5000026145_Ambrosiozyma_vanderkliftii@Seq_5110"	"1.1.1.289"
"yHMPu5000034892_Ogataea_pilisensis@Seq_1817"	"1.1.1.353"
"yHMPu5000034952_Citeromyces_siamensis@Seq_2362"	"4.6.1.15"
"yHMPu5000034613_Saturnispora_serradocipensis@Seq_1769"	"1.1.1.289"
"yHMPu5000034952_Citeromyces_siamensis@Seq_11099"	"1.1.1.215"
"yHMPu5000034952_Citeromyces_siamensis@Seq_6283"	"1.1.1.250"
"Aspergillus_nidulans@Seq_1543"	"1.3.99.12"
"Neurospora_crassa@Seq_10322"	"1.3.3.5"
"yHMPu5000034952_Citeromyces_siamensis@Seq_2864"	"6.3.4.16"
"yHMPu5000034952_Citeromyces_siamensis@Seq_6310"	"1.2.1.97"
"yHAB159_Kazachstania_solicola@Seq_4191"	"3.4.19.14"
"yHMPu5000035673_Candida_orba@Seq_5606"	"2.7.11.27"
"yHMPu5000035274_Wickerhamomyces_alni@Seq_815"	"1.4.7.1"
"yHMPu5000034637_Ogataea_populiabae@Seq_358"	"5.3.1.34"
"yHAB134_Kazachstania_turicensis@Seq_1974"	"6.3.4.16"
"Aspergillus_nidulans@Seq_2214"	"1.1.1.173"
"Kuraishia_capsulata@Seq_4121"	"4.2.1.146"
"yHMPu5000034952_Citeromyces_siamensis@Seq_5925"	"1.6.2.6"
"Botrytis_cinerea@Seq_6252"	"3.2.1.40"
"Botrytis_cinerea@Seq_5545"	"4.1.2.54"
"Sclerotinia_sclerotiorum@Seq_8264"	"1.1.1.365"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_587"	"3.4.11.14"
"yHMPu5000034673_Blastobotrys_nivea@Seq_3230"	"1.1.1.353"
"yHMPu5000035671_Phaffomyces_antillensis@Seq_1446"	"3.2.1.23"
"Arthrobotrys_oligospora@Seq_3622"	"6.3.2.8"
"Lachancea_fermentati@Seq_1522"	"1.1.1.27"
"yHMPu5000034761_Lipomyces_lipofer@Seq_951"	"2.7.7.68"
"yHMPu5000034990_Candida_corydali@Seq_3855"	"2.3.1.108"
"Metschnikowia_matae_maris@Seq_1638"	"1.6.99.3"
"yHMPu5000035687_Cyberlindnera_suaveolens@Seq_2678"	"3.2.1.4"
"yHMPu5000035022_Candida_emberorum@Seq_366"	"3.2.1.17"
"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_2826"	"2.7.7.48"
"yHMPu5000041863_Candida_gorgasii@Seq_3298"	"3.2.1.17"
"Candida_albicans@CM_00050W"	"1.6.5.3"
"yHMPu5000026142_Citeromyces_matritensis@Seq_5869"	"2.1.1.86"
"Fusarium_graminearum@Seq_10472"	"3.2.1.23"
"yHMPu5000034749_Lipomyces_mesembrius@Seq_971"	"2.1.1.86"
"yHAB155_Kazachstania_spencerorum@Seq_6322"	"1.6.5.3"
"Aspergillus_nidulans@Seq_3040"	"3.2.1.21"
"yHMPu5000041693_Debaryomyces_nepalensis@Seq_5205"	"2.3.1.79"
"yHMPu5000035665_Middelhovenomyces_tepae@Seq_3639"	"1.1.1.22"
"Metschnikowia_ipomoeae@Seq_2007"	"3.2.1.17"
"Metschnikowia_matae_maris@Seq_2839"	"2.1.1.79"
"Arthrobotrys_oligospora@Seq_113"	"3.1.21.4"
"Stagonospora_nodorum@Seq_2430"	"3.2.1.8"
"Spathaspora_girioi@Seq_5111"	"3.2.1.39"
"yHMPu5000034952_Citeromyces_siamensis@Seq_1379"	"1.18.1.3"
"yHMPu5000034675_Blastobotrys_mokoenaii@Seq_717"	"1.1.1.18"
"Aspergillus_nidulans@Seq_3315"	"3.2.1.139"
"Fusarium_graminearum@Seq_4580"	"3.2.1.8"
"Fusarium_graminearum@Seq_4580"	"3.1.1.11"
"Aspergillus_nidulans@Seq_5582"	"3.2.1.22"
"Sclerotinia_sclerotiorum@Seq_2068"	"3.2.1.39"
"Arthrobotrys_oligospora@Seq_4756"	"2.7.7.48"
"Schizosaccharomyces_pombe@Seq_5043"	"5.1.1.1"
"Neurospora_crassa@Seq_250"	"1.10.3.2"
"yHMPu5000034654_Aciculoconidium_aculeatum@Seq_2113"	"1.6.5.2"
"Arthrobotrys_oligospora@Seq_3194"	"6.3.2.9"
"Aspergillus_nidulans@Seq_10678"	"3.2.1.25"
"Hanseniaspora_valbyensis@Seq_3413"	"1.6.5.3"
"Saitoella_complicata@Seq_4283"	"6.2.1.2"
"yHMPu5000034675_Blastobotrys_mokoenaii@Seq_6191"	"3.2.1.17"
"yHMPu5000035650_Trigonopsis_variabilis@Seq_2626"	"1.6.5.3"
"Arthrobotrys_oligospora@Seq_728"	"3.2.1.8"
"Geotrichum_candidum@Seq_6760"	"4.1.3.4"
"Fusarium_graminearum@Seq_8120"	"2.7.7.48"
"yHMPu5000035674_Kregervanrija_delftensis@Seq_3281"	"3.4.23.24"
"Arthrobotrys_oligospora@Seq_7662"	"3.2.1.25"
"Candida_versatilis@Seq_2997"	"5.4.4.2"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_610"	"2.1.1.197"
"Stagonospora_nodorum@Seq_5158"	"2.7.7.59"
"Fusarium_graminearum@Seq_2318"	"3.5.1.5"
"Aspergillus_nidulans@Seq_4400"	"2.7.7.48"
"Fusarium_graminearum@Seq_1238"	"3.2.1.39"
"Coccidioides_immitis@Seq_4411"	"1.11.1.7"
"Alloascoidea_hylecoeti@Seq_5639"	"1.6.5.3"
"Sclerotinia_sclerotiorum@Seq_8397"	"3.2.1.78"
"yHMPu5000034660_Diddensiella_caesifluorescens@Seq_3120"	"3.1.1.1"
"Stagonospora_nodorum@Seq_4929"	"3.1.1.74"
"Wickerhamomyces_anomalus@Seq_5539"	"1.6.5.3"
"Fusarium_graminearum@Seq_7498"	"4.2.3.6"
"Lipomyces_starkeyi@Seq_4667"	"3.5.1.49"
"yHMPu5000034754_Lipomyces_arxii@Seq_2760"	"3.2.1.21"
"Scheffersomyces_stipitis@Seq_2251"	"1.6.5.3"
"Neurospora_crassa@Seq_2538"	"3.2.1.155"
"Metschnikowia_borealis@Seq_4333"	"2.6.1.66"
"Botrytis_cinerea@Seq_16078"	"1.4.3.22"
"Sclerotinia_sclerotiorum@Seq_11605"	"1.3.99.30"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_6469"	"1.1.1.353"
"yHAB158_Kazachstania_viticola@Seq_3243"	"1.2.1.97"
"Botrytis_cinerea@Seq_2553"	"1.17.3.2"
"yHMPu5000034761_Lipomyces_lipofer@Seq_2244"	"1.5.1.8"
"Metschnikowia_matae_maris@Seq_1710"	"6.3.4.16"
"yHAB158_Kazachstania_viticola@Seq_5207"	"2.7.7.83"
"yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_1809"	"2.7.11.27"
"Metschnikowia_bowlesiae@Seq_3761"	"1.1.1.289"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_10629"	"6.3.4.16"
"yHMPu5000034986_Candida_oregonensis@Seq_1841"	"1.5.1.8"
"yHMPu5000034946_Ambrosiozyma_oregonensis@Seq_2344"	"1.4.7.1"
"yHMPu5000034952_Citeromyces_siamensis@Seq_4037"	"3.5.3.17"
"yHMPu5000035641_Yamadazyma_scolyti@Seq_524"	"1.2.1.97"
"yHMPu5000034952_Citeromyces_siamensis@Seq_11351"	"1.1.1.168"
"yHMPu5000034952_Citeromyces_siamensis@Seq_3293"	"1.7.1.15"
"Aspergillus_nidulans@Seq_10090"	"1.1.1.72"
"Nakaseomyces_nivariensis@Seq_4444"	"1.11.1.22"
"yHAB147_Kazachstania_taianensis@Seq_3641"	"6.3.4.16"
"yHMPu5000034902_Ogataea_minuta@Seq_2235"	"3.1.3.53"
"Arthrobotrys_oligospora@Seq_9004"	"2.3.1.165"
"Ascoidea_rubescens@Seq_2171"	"1.6.5.7"
"yHMPu5000035274_Wickerhamomyces_alni@Seq_4536"	"1.6.5.7"
"Candida_parapsilosis@Seq_3886"	"1.1.1.168"
"yHMPu5000034952_Citeromyces_siamensis@Seq_3520"	"3.4.11.14"
"Schizosaccharomyces_pombe@Seq_605"	"2.4.1.134"
"yHMPu5000026142_Citeromyces_matritensis@Seq_1154"	"3.4.13.20"
"yHMPu5000035261_Candida_ponderosae@Seq_1463"	"1.3.1.108"
"Metschnikowia_borealis@Seq_2825"	"1.4.7.1"
"Lachancea_waltii@Seq_105"	"1.1.1.289"
"Metschnikowia_ipomoeae@Seq_2976"	"6.3.4.16"
"yHMPu5000034952_Citeromyces_siamensis@Seq_10588"	"2.6.1.3"
"yHMPu5000026142_Citeromyces_matritensis@Seq_499"	"6.3.4.16"
"Stagonospora_nodorum@Seq_2853"	"1.1.1.372"
"yHMPu5000035296_Priceomyces_carsonii@Seq_2580"	"1.1.1.353"
"Metschnikowia_hibisci@Seq_1492"	"2.1.1.86"
"Fusarium_graminearum@Seq_8057"	"1.10.3.2"
"yHMPu5000035282_Trigonopsis_vinaria@Seq_5234"	"3.2.1.17"
"yHMPu5000034671_Blastobotrys_peoriensis@Seq_2677"	"3.2.1.21"
"Candida_boidinii_JCM9604@Seq_2252"	"1.6.5.3"
"yHMPu5000034646_Wickerhamiella_cacticola@Seq_3468"	"2.7.1.21"
"Arthrobotrys_oligospora@Seq_6732"	"2.4.1.64"
"Candida_versatilis@Seq_2347"	"2.7.7.58"
"Sclerotinia_sclerotiorum@Seq_229"	"3.1.1.74"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_1751"	"2.4.2.2"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_1751"	"2.4.2.15"
"Botrytis_cinerea@Seq_8789"	"2.7.7.48"
"Botrytis_cinerea@Seq_1614"	"3.1.1.74"
"yHMPu5000034760_Lipomyces_kononenkoae@Seq_2048"	"2.1.1.37"
"yHMPu5000026274_Komagataella_populi@Seq_2009"	"1.1.3.13"
"yHMPu5000035696_Hanseniaspora_singularis@Seq_4371"	"1.6.5.3"
"yHMPu5000041822_Dipodascus_geniculatus@Seq_6176"	"1.6.5.3"
"Coccidioides_immitis@Seq_4917"	"3.4.24.39"
"yHMPu5000034635_Nadsonia_fulvescens@Seq_6316"	"1.6.5.3"
"Coccidioides_immitis@Seq_2475"	"1.3.1.32"
"Coccidioides_immitis@Seq_7734"	"1.6.5.11"
"Spathaspora_girioi@Seq_5849"	"1.6.5.3"
"yHMPu5000034947_Ambrosiozyma_philentoma@Seq_816"	"4.2.2.2"
"Kuraishia_capsulata@Seq_3160"	"4.6.1.17"
"Kuraishia_capsulata@Seq_3160"	"4.1.99.22"
"Babjeviella_inositovora@Seq_4263"	"4.2.1.17"
"yHMPu5000034654_Aciculoconidium_aculeatum@Seq_5110"	"2.7.7.48"
"Saitoella_complicata@Seq_5403"	"3.2.1.4"
"yHMPu5000034604_Sporopachydermia_lactativora@Seq_4935"	"3.2.1.17"
"Aspergillus_nidulans@Seq_9392"	"1.6.5.11"
"yHMPu5000034612_Saturnispora_saitoi@Seq_718"	"1.6.5.3"
"yHMPu5000034986_Candida_oregonensis@Seq_412"	"3.2.1.4"
"Aspergillus_nidulans@Seq_6975"	"3.2.1.78"
"yHMPu5000034670_Blastobotrys_proliferans@Seq_4741"	"3.2.1.55"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_11481"	"1.6.5.3"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_2827"	"1.13.99.1"
"Neurospora_crassa@Seq_1368"	"2.1.1.144"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_9579"	"1.6.5.3"
"yHMPu5000034892_Ogataea_pilisensis@Seq_3940"	"3.2.1.17"
"yHMPu5000034673_Blastobotrys_nivea@Seq_1477"	"3.2.1.17"
"yHMPu5000035696_Hanseniaspora_singularis@Seq_1305"	"1.6.5.3"
"Nakaseomyces_castellii@Seq_584"	"2.7.7.48"
"Sclerotinia_sclerotiorum@Seq_628"	"3.2.1.4"
"Fusarium_graminearum@Seq_733"	"2.7.2.1"
"Botrytis_cinerea@Seq_7520"	"3.6.1.7"
"yHMPu5000035037_Candida_montana@Seq_5529"	"1.6.5.3"
"Metschnikowia_hibisci@Seq_207"	"1.6.99.3"
"yHMPu5000034669_Blastobotrys_raffinofermentans@Seq_2298"	"1.1.1.304"
"Aspergillus_nidulans@Seq_9616"	"2.7.7.77"
"Botrytis_cinerea@Seq_15602"	"3.2.1.51"
"Botrytis_cinerea@Seq_15602"	"3.2.1.4"
"Arthrobotrys_oligospora@Seq_5436"	"4.2.2.2"
"Schizosaccharomyces_pombe@Seq_2391"	"3.5.3.11"
"Stagonospora_nodorum@Seq_11252"	"3.2.1.8"
"yHMPu5000034674_Blastobotrys_muscicola@Seq_1341"	"3.2.1.39"
"yHMPu5000035691_Candida_salmanticensis@Seq_4938"	"3.2.1.4"
"Schizosaccharomyces_pombe@Seq_4314"	"3.2.1.1"
"Aspergillus_nidulans@Seq_9781"	"3.2.1.23"
"yHMPu5000034673_Blastobotrys_nivea@Seq_773"	"3.1.1.4"
"Aspergillus_nidulans@Seq_8049"	"4.2.2.2"
"Stagonospora_nodorum@Seq_3323"	"3.2.1.17"
"yHMPu5000034613_Saturnispora_serradocipensis@Seq_9"	"1.6.5.3"
"Arthrobotrys_oligospora@Seq_10148"	"3.2.1.4"
"Metschnikowia_continentalis@Seq_3040"	"1.6.5.3"
"yHMPu5000035703_Cyberlindnera_americana@Seq_3447"	"1.6.5.3"
"yHMPu5000034605_Spencermartinsiella_europaea@Seq_3355"	"3.2.1.22"
"Botrytis_cinerea@Seq_9429"	"3.4.23.20"
"Neurospora_crassa@Seq_347"	"4.2.1.76"
"Aspergillus_nidulans@Seq_8297"	"4.1.2.54"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_431"	"1.2.1.47"
"Stagonospora_nodorum@Seq_3431"	"2.4.1.321"
"yHMPu5000035011_Candida_pyralidae@Seq_3854"	"1.1.1.289"
"yHAB160_Kazachstania_kunashirensis@Seq_5180"	"1.1.1.119"
"yHAB160_Kazachstania_kunashirensis@Seq_726"	"2.6.1.4"
"yHMPu5000034605_Spencermartinsiella_europaea@Seq_5977"	"1.1.1.353"
"yHMPu5000035633_Candida_hispaniensis@Seq_1152"	"1.6.5.7"
"yHMPu5000034952_Citeromyces_siamensis@Seq_4010"	"1.8.1.16"
"yHMPu5000034978_Cyberlindnera_mrakii@Seq_2842"	"1.7.1.2"
"Metschnikowia_similis@Seq_4973"	"1.4.7.1"
"Aspergillus_nidulans@Seq_10447"	"1.1.1.119"
"yHMPu5000035282_Trigonopsis_vinaria@Seq_479"	"6.3.4.16"
"Metschnikowia_hamakuensis@Seq_4046"	"6.3.4.16"
"Metschnikowia_borealis@Seq_5440"	"2.6.1.66"
"yHMPu5000026142_Citeromyces_matritensis@Seq_626"	"1.14.19.47"
"Arxula_adeninivorans@Seq_2722"	"1.7.1.2"
"Metschnikowia_matae@Seq_2267"	"1.8.1.16"
"yHAB159_Kazachstania_solicola@Seq_3558"	"3.4.13.20"
"Nakaseomyces_castellii@Seq_3471"	"1.11.1.22"
"yHMPu5000035335_Candida_blattae@Seq_4440"	"1.2.1.47"
"Metschnikowia_continentalis@Seq_3306"	"1.4.7.1"
